dataset,model,scope,horizon,seeds,parameter_count,rmse_mean,rmse_sd,mae_mean,mae_sd,r2_mean,r2_sd,nrmse_mean,nrmse_sd
Qcells,Discrete,predefined_daylight,12,"42,43,44",98802,0.16019590695699057,0.02791649262839075,0.14683745056390762,0.030601041447766614,-15.713425954182943,5.960373378941462,0.026536407648510174,0.004624359277184888
Qcells,Discrete,predefined_daylight,48,"42,43,44",98802,1.5583852132161458,0.019859299328559663,1.2513119379679363,0.018695429351317017,-1.001516302426656,0.05096399937078922,0.258146079240444,0.003289687437132405
Qcells,Discrete,predefined_daylight,96,"42,43,44",98802,1.701858679453532,0.007840418083623667,1.3501249154408772,0.008900259060127534,-0.11519277095794678,0.010282872617572835,0.28191241921217763,0.001298763085486634
Qcells,Discrete,predefined_daylight,144,"42,43,44",98802,1.326594352722168,0.02509490029792889,1.0161361893018086,0.04449711498852967,0.2649899919827779,0.027740507009658476,0.21974998735453502,0.004156963288602303
Qcells,Discrete,regular_full_timeline,12,"42,43,44",98802,0.09095406532287598,0.02086226789588231,0.07246774807572365,0.01859046257054127,-543.9495849609375,241.54179191192395,0.015066515746529422,0.003455828902708437
Qcells,Discrete,regular_full_timeline,48,"42,43,44",98802,0.5133782227834066,0.006401674085707149,0.200955331325531,0.007642557224914648,0.2713920871416728,0.018125923978019404,0.08504096051159232,0.0010604355404463443
Qcells,Discrete,regular_full_timeline,96,"42,43,44",98802,0.8935929934183756,0.004505073826881517,0.431172509988149,0.011018932798060856,0.6638413468996683,0.0033940274415712158,0.14802343203168664,0.0007462642325116179
Qcells,Discrete,regular_full_timeline,144,"42,43,44",98802,0.8853740890820821,0.017040350283404573,0.4924256503582001,0.02583198141575027,0.7906418244043986,0.008045662365001835,0.1466619728032024,0.002822729308029293
Qcells,GFNODE,predefined_daylight,12,"42,43,44",98738,0.1868119885524114,0.0053386857489869256,0.16334653397401175,0.0036201211580654657,-21.289682388305664,1.279052467560565,0.030945354198010488,0.0008843518166818344
Qcells,GFNODE,predefined_daylight,48,"42,43,44",98738,1.5226176977157593,0.11344696669878465,1.2306290864944458,0.10722525057747166,-0.9175583521525065,0.2862906813735252,0.25222120019751393,0.018792458633878593
