split,dataset,timestamps,independent_valid_windows,source_missing_fraction
train,Sanyo,30528,20409,0.0
validation,Sanyo,6624,3619,0.0
test,Sanyo,6912,4177,0.0
train,Hanwha,30528,20183,0.0
validation,Hanwha,6624,4239,0.0
test,Hanwha,6912,4535,0.0
train,Qcells,30528,12747,0.0
validation,Qcells,6624,2999,0.0
test,Qcells,6912,3019,0.0
train,ALL_THREE,30528,30313,0.0
validation,ALL_THREE,6624,6409,0.0
test,ALL_THREE,6912,6697,0.0
train,Sanyo∩Hanwha,30528,,
validation,Sanyo∩Hanwha,6624,,
test,Sanyo∩Hanwha,6912,,
train,Sanyo∩Qcells,30528,,
validation,Sanyo∩Qcells,6624,,
test,Sanyo∩Qcells,6912,,
train,Hanwha∩Qcells,30528,,
validation,Hanwha∩Qcells,6624,,
test,Hanwha∩Qcells,6912,,
