evaluated_targets,rmse,mae,r2,nrmse,horizon,scope,prefix_source,model,seed,dataset,parameters,actual_epochs,best_epoch,best_validation_loss,training_seconds
50124,0.1965262144804,0.1434352844953537,0.9840322732925416,0.0324414868894159,12,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Sanyo,1496832,15,15,0.0179404853999865,31.76795870000205
9219,0.233411967754364,0.1788283586502075,0.9793105721473694,0.0385303879777889,12,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Sanyo,1496832,15,15,0.0179404853999865,31.76795870000205
200496,0.6252710223197937,0.4131267666816711,0.8454465270042419,0.103216365951741,48,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Sanyo,1496832,15,15,0.0179404853999865,31.76795870000205
49254,1.0336253643035889,0.756537675857544,0.641086757183075,0.1706252969522645,48,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Sanyo,1496832,15,15,0.0179404853999865,31.76795870000205
400992,0.9197472929954528,0.6260513067245483,0.7588473558425903,0.151826919508815,96,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Sanyo,1496832,15,15,0.0179404853999865,31.76795870000205
136926,1.389655351638794,1.1154626607894895,0.3125779628753662,0.229396805867305,96,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Sanyo,1496832,15,15,0.0179404853999865,31.76795870000205
601488,0.9024176001548768,0.6327709555625916,0.8082217574119568,0.1489662273381976,144,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Sanyo,1496832,15,15,0.0179404853999865,31.76795870000205
263547,1.221602201461792,0.9837695956230164,0.4368467926979065,0.2016554987719303,144,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Sanyo,1496832,15,15,0.0179404853999865,31.76795870000205
54420,0.213080883026123,0.1518925130367279,0.982858419418335,0.0365561470864731,12,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Hanwha,1496832,15,15,0.0179404853999865,31.76795870000205
14617,0.281668871641159,0.2068108171224594,0.9651278257369996,0.0483230994501406,12,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Hanwha,1496832,15,15,0.0179404853999865,31.76795870000205
217680,0.5866823196411133,0.3781798779964447,0.8742666244506836,0.1006511934118673,48,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Hanwha,1496832,15,15,0.0179404853999865,31.76795870000205
68044,0.8904201984405518,0.6076784729957581,0.6811306476593018,0.1527604507766604,48,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Hanwha,1496832,15,15,0.0179404853999865,31.76795870000205
435360,0.8554330468177795,0.5677861571311951,0.7732592821121216,0.1467580565557673,96,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Hanwha,1496832,15,15,0.0179404853999865,31.76795870000205
165255,1.2387391328811646,0.9418572783470154,0.3610801696777344,0.2125180321212692,96,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Hanwha,1496832,15,15,0.0179404853999865,31.76795870000205
653040,0.8406354784965515,0.5756751298904419,0.8049477934837341,0.1442193863738597,144,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Hanwha,1496832,15,15,0.0179404853999865,31.76795870000205
290271,1.1283634901046753,0.8822704553604126,0.4510800242424011,0.1935819916149668,144,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Hanwha,1496832,15,15,0.0179404853999865,31.76795870000205
36228,0.1690234690904617,0.1308364272117614,-1817.1708984375,0.0279986908726329,12,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Qcells,1496832,15,15,0.0179404853999865,31.76795870000205
