path,workspace,filename,file_type,size_bytes,rows,columns,column_names,has_original_timestamp,timestamp_parse_status,timestamp_start,timestamp_end,timestamp_interval_distribution,duplicate_timestamps,missing_timestamps,per_column_missing_ratio,suspected_normalized,contains_original_power_units,contains_missing_mask,contains_isolation_forest,is_sliding_window_array,maps_to_original_timestamps,source_references,in_git_master,lineage_level,notes
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\ASOC_stage0_audit\CLAIM_EVIDENCE_MATRIX.csv,PV_improve_v1,CLAIM_EVIDENCE_MATRIX.csv,csv,2746,8,8,"[""claim"", ""status"", ""paper_location"", ""code_evidence"", ""result_evidence"", ""missing/conflict"", ""recommended_modification"", ""rerun""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""claim"": 0.0, ""code_evidence"": 0.0, ""missing/conflict"": 0.0, ""paper_location"": 0.0, ""recommended_modification"": 0.0, ""rerun"": 0.0, ""result_evidence"": 0.0, ""status"": 0.0}",UNKNOWN,NO,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,No content-supported lineage level could be assigned.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\ASOC_stage0_audit\EXPERIMENT_PROVENANCE.csv,PV_improve_v1,EXPERIMENT_PROVENANCE.csv,csv,2469,6,7,"[""paper_item"", ""paper_location"", ""script/config/seed/date"", ""raw_metrics_or_checkpoint"", ""recomputable"", ""single_run_uncertainty"", ""finding""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""finding"": 0.0, ""paper_item"": 0.0, ""paper_location"": 0.0, ""raw_metrics_or_checkpoint"": 0.0, ""recomputable"": 0.0, ""script/config/seed/date"": 0.0, ""single_run_uncertainty"": 0.0}",UNKNOWN,NO,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,No content-supported lineage level could be assigned.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\ASOC_stage0_audit\PROJECT_INVENTORY.csv,PV_improve_v1,PROJECT_INVENTORY.csv,csv,6392,31,6,"[""type"", ""relative_path"", ""purpose_or_structure"", ""modified_local"", ""sha256"", ""key_evidence""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""key_evidence"": 0.0, ""modified_local"": 0.0, ""purpose_or_structure"": 0.0, ""relative_path"": 0.0, ""sha256"": 0.16129032, ""type"": 0.0}",UNKNOWN,NO,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,No content-supported lineage level could be assigned.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\ASOC_stage0_audit\TIMESTAMP_AND_SPLIT_AUDIT.csv,PV_improve_v1,TIMESTAMP_AND_SPLIT_AUDIT.csv,csv,2018,3,13,"[""dataset"", ""raw_timestamp_range"", ""raw_adjacent_delta_distribution"", ""day_PR_timestamp_range_pre_IF"", ""day_PR_adjacent_delta_distribution"", ""day_PR_rows_pre_IF"", ""post_IF_rows_inferred"", ""preprocessor_fit_range"", ""train/validation/test_timestamp_ranges"", ""cross_date_window_counts"", ""split_shared_positions_H12,H24,H48,H72,H96,H120,H144"", ""train/test_windows_H12,H24,H48,H72,H96,H120,H144"", ""audit_status""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""audit_status"": 0.0, ""cross_date_window_counts"": 0.0, ""dataset"": 0.0, ""day_PR_adjacent_delta_distribution"": 0.0, ""day_PR_rows_pre_IF"": 0.0, ""day_PR_timestamp_range_pre_IF"": 0.0, ""post_IF_rows_inferred"": 0.0, ""preprocessor_fit_range"": 0.0, ""raw_adjacent_delta_distribution"": 0.0, ""raw_timestamp_range"": 0.0, ""split_shared_positions_H12,H24,H48,H72,H96,H120,H144"": 0.0, ""train/test_windows_H12,H24,H48,H72,H96,H120,H144"": 0.0, ""train/validation/test_timestamp_ranges"": 0.0}",NO,NO,NO,NO,YES,UNKNOWN,[],NO,WINDOWED,Window/prediction-oriented fields detected from content.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_Benchmark_Results.csv,PV_improve_v1,GFNODE_Benchmark_Results.csv,csv,806,15,8,"[""Dataset"", ""Horizon"", ""Best_LR"", ""R2"", ""RMSE"", ""MAE"", ""MAPE"", ""Time_s""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""Best_LR"": 0.0, ""Dataset"": 0.0, ""Horizon"": 0.0, ""MAE"": 0.0, ""MAPE"": 0.0, ""R2"": 0.0, ""RMSE"": 0.0, ""Time_s"": 0.0}",NO,NO,NO,NO,YES,UNKNOWN,"[""C:\\Users\\Zhujiangkun-Yohkoh\\Desktop\\光伏项目_最新\\PVforecast16\\GFNODE_experiments\\gfnode_solo_benchmark.py""]",NO,WINDOWED,Window/prediction-oriented fields detected from content.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.10.0_pickle_py27_np17.pkl,PVforecast16,joblib_0.10.0_pickle_py27_np17.pkl,pkl,986,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.10.0_pickle_py33_np18.pkl,PVforecast16,joblib_0.10.0_pickle_py33_np18.pkl,pkl,1068,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.10.0_pickle_py34_np19.pkl,PVforecast16,joblib_0.10.0_pickle_py34_np19.pkl,pkl,1068,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.10.0_pickle_py35_np19.pkl,PVforecast16,joblib_0.10.0_pickle_py35_np19.pkl,pkl,1068,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.11.0_pickle_py36_np111.pkl,PVforecast16,joblib_0.11.0_pickle_py36_np111.pkl,pkl,1068,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py27_np16.pkl,PVforecast16,joblib_0.9.2_pickle_py27_np16.pkl,pkl,670,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py27_np16.pkl_01.npy,PVforecast16,joblib_0.9.2_pickle_py27_np16.pkl_01.npy,npy,120,5,"{""joblib_0.9.2_pickle_py27_np16.pkl_01"": [5]}","[""joblib_0.9.2_pickle_py27_np16.pkl_01""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py27_np16.pkl_01"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py27_np16.pkl_02.npy,PVforecast16,joblib_0.9.2_pickle_py27_np16.pkl_02.npy,npy,120,5,"{""joblib_0.9.2_pickle_py27_np16.pkl_02"": [5]}","[""joblib_0.9.2_pickle_py27_np16.pkl_02""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py27_np16.pkl_02"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py27_np16.pkl_03.npy,PVforecast16,joblib_0.9.2_pickle_py27_np16.pkl_03.npy,npy,236,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Inspection failed: ValueError: Array can't be memory-mapped: Python objects in dtype.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py27_np16.pkl_04.npy,PVforecast16,joblib_0.9.2_pickle_py27_np16.pkl_04.npy,npy,104,1,"{""joblib_0.9.2_pickle_py27_np16.pkl_04"": [1, 3]}","[""joblib_0.9.2_pickle_py27_np16.pkl_04""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py27_np16.pkl_04"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py27_np17.pkl,PVforecast16,joblib_0.9.2_pickle_py27_np17.pkl,pkl,670,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py27_np17.pkl_01.npy,PVforecast16,joblib_0.9.2_pickle_py27_np17.pkl_01.npy,npy,120,5,"{""joblib_0.9.2_pickle_py27_np17.pkl_01"": [5]}","[""joblib_0.9.2_pickle_py27_np17.pkl_01""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py27_np17.pkl_01"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py27_np17.pkl_02.npy,PVforecast16,joblib_0.9.2_pickle_py27_np17.pkl_02.npy,npy,120,5,"{""joblib_0.9.2_pickle_py27_np17.pkl_02"": [5]}","[""joblib_0.9.2_pickle_py27_np17.pkl_02""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py27_np17.pkl_02"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py27_np17.pkl_03.npy,PVforecast16,joblib_0.9.2_pickle_py27_np17.pkl_03.npy,npy,236,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Inspection failed: ValueError: Array can't be memory-mapped: Python objects in dtype.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py27_np17.pkl_04.npy,PVforecast16,joblib_0.9.2_pickle_py27_np17.pkl_04.npy,npy,104,1,"{""joblib_0.9.2_pickle_py27_np17.pkl_04"": [1, 3]}","[""joblib_0.9.2_pickle_py27_np17.pkl_04""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py27_np17.pkl_04"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py33_np18.pkl,PVforecast16,joblib_0.9.2_pickle_py33_np18.pkl,pkl,691,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py33_np18.pkl_01.npy,PVforecast16,joblib_0.9.2_pickle_py33_np18.pkl_01.npy,npy,120,5,"{""joblib_0.9.2_pickle_py33_np18.pkl_01"": [5]}","[""joblib_0.9.2_pickle_py33_np18.pkl_01""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py33_np18.pkl_01"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
