dataset,horizon,model,rmse_mean,rank,gap_to_best_percent
Hanwha,12,ModernTCN,0.16064296662807465,1,0.0
Hanwha,12,Discrete Candidate,0.17307261625925696,2,7.737437805142022
Hanwha,12,iTransformer,0.1834616015354792,3,14.204565183507167
Hanwha,12,PatchTST,0.22354605793952942,4,39.157077730698205
Hanwha,48,Discrete Candidate,0.5129570166269938,1,0.0
Hanwha,48,iTransformer,0.521701713403066,2,1.7047620936299968
Hanwha,48,ModernTCN,0.5478505690892538,3,6.802432042299844
Hanwha,48,PatchTST,0.5788128972053528,4,12.838479335247555
Hanwha,96,ModernTCN,0.7769840757052103,1,0.0
Hanwha,96,Discrete Candidate,0.7837878266970316,2,0.8756615746141394
Hanwha,96,iTransformer,0.7878901561101278,3,1.4036427188058864
Hanwha,96,PatchTST,0.8624608119328817,4,11.001092416223667
Hanwha,144,ModernTCN,0.7586983442306519,1,0.0
Hanwha,144,Discrete Candidate,0.7696008483568827,2,1.4370011756499101
Hanwha,144,iTransformer,0.772310713926951,3,1.7941741668228595
Hanwha,144,PatchTST,0.8200119336446127,4,8.081418640254846
Qcells,12,ModernTCN,0.060079544782638494,1,0.0
Qcells,12,Discrete Candidate,0.09095406532287593,2,51.38940491632922
Qcells,12,iTransformer,0.12614620228608445,3,109.96530972807501
Qcells,12,PatchTST,0.14922878642876938,4,148.38534807256534
Qcells,48,ModernTCN,0.4766806165377299,1,0.0
Qcells,48,iTransformer,0.4986477196216583,2,4.608348299010334
Qcells,48,Discrete Candidate,0.5133782227834066,3,7.6985732107636595
Qcells,48,PatchTST,0.5209401448567709,4,9.284944003075024
Qcells,96,ModernTCN,0.7717111905415853,1,0.0
Qcells,96,iTransformer,0.875433623790741,2,13.440576542159954
Qcells,96,Discrete Candidate,0.8935929934183756,3,15.793706812940457
Qcells,96,PatchTST,0.8980276385943095,4,16.368357696624237
Qcells,144,ModernTCN,0.7570490638415018,1,0.0
Qcells,144,PatchTST,0.8585061430931091,2,13.401651768352064
Qcells,144,iTransformer,0.8669755061467489,3,14.520385475076903
Qcells,144,Discrete Candidate,0.8853740890820821,4,16.95068805572777
Sanyo,12,ModernTCN,0.14373019586006797,1,0.0
Sanyo,12,Discrete Candidate,0.14614510536193848,2,1.680168518118208
Sanyo,12,PatchTST,0.23060031731923422,3,60.43971549565046
Sanyo,12,iTransformer,0.23276140292485556,4,61.943286539083346
Sanyo,48,ModernTCN,0.5591659943262736,1,0.0
Sanyo,48,iTransformer,0.57858806848526,2,3.4734004492507964
Sanyo,48,Discrete Candidate,0.5923659801483154,3,5.937411459014741
Sanyo,48,PatchTST,0.6019372542699178,4,7.649116787793653
Sanyo,96,iTransformer,0.7715347210566202,1,0.0
Sanyo,96,ModernTCN,0.7823445598284403,2,1.401082605461479
Sanyo,96,PatchTST,0.8680529197057089,3,12.509896964443357
Sanyo,96,Discrete Candidate,0.8927842378616333,4,15.715367500112155
Sanyo,144,ModernTCN,0.7824670076370239,1,0.0
Sanyo,144,iTransformer,0.7863825360933939,2,0.5004081217679035
Sanyo,144,PatchTST,0.8486912449200948,3,8.46351815945081
Sanyo,144,Discrete Candidate,0.8719446857770284,4,11.435329191734045
