section,model,seed,scope,horizon,rmse_kw,mae_kw,diff_mae_kw,artifact_source,n,positive_count,prevalence,auroc,auprc,brier,f1,precision,recall,miss_rate,onset_time_mae_steps,onset_time_mae_minutes,onset_time_n,up_count,down_count,up_recall,down_recall,direction_accuracy,identification_rate,probability_bin,mean_predicted_probability,observed_event_rate,actual_epochs,best_epoch,best_validation_first_event_nll,stop_reason,numerically_finite,training_seconds,mean_epoch_seconds,backbone_parameters,power_head_parameters,event_head_parameters,total_inference_parameters,trainable_parameters,trainable_fraction,inference_ms_per_sample,threshold_kw,power_max_abs_difference_kw,power_mean_abs_difference_kw,max_abs_difference_kw,mean_abs_difference_kw,rmse_difference_kw,mae_difference_kw
power,TRAJECTORY_ONLY,42,full_timeline,3,0.4030815362930298,0.19502899050712585,0.1351211667060852,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,full_timeline,6,0.4400230646133423,0.2094784677028656,0.1326143592596054,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,full_timeline,12,0.481767475605011,0.2312507927417755,0.13394679129123688,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,daylight,12,0.6701191067695618,0.4227704405784607,0.13394679129123688,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,ramp_step,12,0.9608327150344849,0.7169058918952942,0.13394679129123688,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,onset_near,12,0.7990145683288574,0.5579513907432556,0.13394679129123688,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,all12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,208812,36486,0.1747313372794667,0.9332770617049805,0.6817431969290394,0.15870648742771226,0.5988996594183914,0.43294925526325434,0.9711396151948692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,daylight,all12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,107560,36486,0.3392153216809223,0.8383641063151588,0.681785068700552,0.3069643044400589,0.5993808782732255,0.43345240134073837,0.9711396151948692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,sunrise_sunset_transition,all12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,69636,10077,0.14470963294847491,0.8736831028425439,0.5151665324729899,0.2084410952962467,0.4520117713974825,0.30102108036890646,0.9069167410935794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,1,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3046,0.1750474110683294,0.9421341931553175,0.7214510347940036,0.1466419583951586,0.6255833686890114,0.46208085239736757,0.9681549573210768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,2,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3045,0.174989943106718,0.9402965684693378,0.7114460542650469,0.1471765351753889,0.6243105642766228,0.461068463105123,0.9665024630541872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,3,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3044,0.1749324751451066,0.9386567189383322,0.6998952098796295,0.14828273033462402,0.6217758985200845,0.4583852867830424,0.9661629434954008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,4,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3043,0.1748750071834952,0.9361608604202466,0.695363965719594,0.1570382387961808,0.6055801503140121,0.4409295352323838,0.9664804469273743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,5,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3042,0.1748175392218838,0.9341223818327431,0.6905216902568891,0.1545388017638874,0.609038961038961,0.44523773355612944,0.9635108481262328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,6,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3041,0.1747600712602724,0.9322359279265088,0.6833865786115448,0.1565199280620504,0.6082634358496427,0.44392382103990324,0.9658007234462348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,7,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3040,0.174702603298661,0.9321026381757612,0.6756232375907747,0.1575610643382718,0.6014014420635727,0.4349933891582195,0.9740131578947369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,8,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3039,0.1746451353370496,0.930390132290803,0.6707649051600255,0.16189239787267673,0.5990113991728034,0.4319173697992435,0.976966107272129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,9,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3038,0.17458766737543818,0.9301892773917988,0.6683156332272352,0.16725310826277243,0.5815089913995309,0.41353906032805116,0.9792626728110599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,10,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3037,0.1745301994138268,0.9292543178822922,0.6613452111115591,0.16594968763610585,0.5787416959749903,0.4114460341714127,0.975304576885084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,11,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3036,0.1744727314522154,0.9275852663960081,0.6581520755016749,0.16804345209259033,0.5737593473827328,0.4068310150117064,0.9729907773386034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,3035,0.174415263490604,0.927745207027117,0.6558274155728351,0.17357994640283997,0.5661995996568487,0.39833690987124465,0.9785831960461285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first_onset,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,17401,5623,0.3231423481409114,0.9474475889195235,0.8456393130606761,0.19962354707322846,0.5421753607103219,0.5648487184428599,0.521252000711364,0.478747999288636,2.487205731832139,12.436028659160696,2931,3125,2498,0.46144,0.2674139311449159,0.7198908222449676,,,,,,,,,,,,,,,,,,,,,,,,,
first_onset,STEP_MULTITASK,42,daylight,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,9655,5623,0.5823925427239772,0.8465138133770315,0.845646507506072,0.355400376006899,0.5422255110535565,0.5649575944487278,0.521252000711364,0.478747999288636,2.487205731832139,12.436028659160696,2931,3125,2498,0.46144,0.2674139311449159,0.7198908222449676,,,,,,,,,,,,,,,,,,,,,,,,,
first_onset,STEP_MULTITASK,42,sunrise_sunset_transition,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,7134,2742,0.3843566021867115,0.9053181203408093,0.8039814232287168,0.2737284713373615,0.606358686105744,0.5848864791596069,0.6294675419401896,0.37053245805981033,2.7387022016222478,13.693511008111239,1726,1660,1082,0.6186746987951808,0.24861367837338263,0.7508690614136733,,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,1,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,930,930,0.05344520429860353,,,,,,,,,,,499,431,,,,0.9935483870967742,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,2,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,930,930,0.05344520429860353,,,,,,,,,,,499,431,,,,0.4924731182795699,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,3,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,771,771,0.044307798402390665,,,,,,,,,,,416,355,,,,0.4033722438391699,,,,,,,,,,,,,,,,,,,,,,,,
