section,model,seed,scope,horizon,n,positive_count,prevalence,event_type,rmse_kw,mae_kw,diff_mae_kw,backbone_parameters,power_head_parameters,event_head_parameters,total_parameters,actual_epochs,best_epoch,stop_reason,numerically_finite,training_seconds,mean_epoch_seconds,inference_ms_per_sample,threshold_kw,step_pos_weight,artifact_source,best_validation_objective,auroc,auprc,brier,f1,precision,recall,miss_rate,onset_time_mae_steps,onset_time_mae_minutes,onset_time_n,up_count,down_count,up_recall,down_recall,direction_accuracy,identification_rate,probability_bin,mean_predicted_probability,observed_event_rate
prevalence,LABELS,,train,12,802104,80214,0.1000044881960444,ramp_step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,train,12,66842,14457,0.21628616737979114,first_onset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,train,12,66842,6981,0.10444032195326292,upward_onset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,train,12,66842,7476,0.11184584542652823,downward_onset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,validation,12,209820,29568,0.14092078924792678,ramp_step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,validation,12,17485,4453,0.25467543608807547,first_onset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,validation,12,17485,2162,0.12364884186445525,upward_onset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,validation,12,17485,2291,0.13102659422362026,downward_onset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,test,12,208812,36486,0.1747313372794667,ramp_step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,test,12,17401,5623,0.3231423481409114,first_onset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,test,12,17401,3125,0.17958738003563013,upward_onset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevalence,LABELS,,test,12,17401,2498,0.14355496810528132,downward_onset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,full_timeline,3,,,,,0.4030815362930298,0.19502899050712585,0.1351211667060852,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,full_timeline,6,,,,,0.4400230646133423,0.2094784677028656,0.1326143592596054,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,full_timeline,12,,,,,0.481767475605011,0.2312507927417755,0.13394679129123688,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,daylight,12,,,,,0.6701191067695618,0.4227704405784607,0.13394679129123688,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
