section,array,year,scope,metric,value,unit,notes
weather,ALL,ALL,past_only,dominant_records_per_5min,300,records,
weather,ALL,ALL,past_only,observed_5min_bins_2021_2023,560,intervals,
weather,ALL,ALL,past_only,records_per_bin_distribution,"{""252"": 1, ""300"": 559}",records,
source_coverage,Calyxo,2021,calendar_year,expected_5min_intervals,105120,intervals,
source_coverage,Calyxo,2021,calendar_year,pv_rows_present,100539,intervals,
source_coverage,Calyxo,2021,calendar_year,pv_values_valid,99074,intervals,
source_coverage,Calyxo,2021,calendar_year,weather_bins_present,0,intervals,
source_coverage,Calyxo,2021,calendar_year,weather_complete_bins,0,intervals,
source_coverage,Calyxo,2022,calendar_year,expected_5min_intervals,105120,intervals,
source_coverage,Calyxo,2022,calendar_year,pv_rows_present,102901,intervals,
source_coverage,Calyxo,2022,calendar_year,pv_values_valid,100501,intervals,
source_coverage,Calyxo,2022,calendar_year,weather_bins_present,0,intervals,
source_coverage,Calyxo,2022,calendar_year,weather_complete_bins,0,intervals,
source_coverage,Calyxo,2023,calendar_year,expected_5min_intervals,105120,intervals,
source_coverage,Calyxo,2023,calendar_year,pv_rows_present,101810,intervals,
source_coverage,Calyxo,2023,calendar_year,pv_values_valid,95794,intervals,
source_coverage,Calyxo,2023,calendar_year,weather_bins_present,560,intervals,
source_coverage,Calyxo,2023,calendar_year,weather_complete_bins,544,intervals,
alignment,Calyxo,ALL,common,common_start,2023-01-01 09:05:00,,
alignment,Calyxo,ALL,common,common_end,2023-01-03 07:40:00,,
coverage,Calyxo,2021,full_timeline,expected_intervals,0,intervals,
coverage,Calyxo,2021,full_timeline,pv_rows_present,0,intervals,
coverage,Calyxo,2021,full_timeline,weather_rows_present,0,intervals,
coverage,Calyxo,2021,full_timeline,complete_intervals,0,intervals,
coverage,Calyxo,2021,full_timeline,partial_intervals,0,intervals,
coverage,Calyxo,2021,full_timeline,no_weather_intervals,0,intervals,
coverage,Calyxo,2022,full_timeline,expected_intervals,0,intervals,
coverage,Calyxo,2022,full_timeline,pv_rows_present,0,intervals,
coverage,Calyxo,2022,full_timeline,weather_rows_present,0,intervals,
coverage,Calyxo,2022,full_timeline,complete_intervals,0,intervals,
coverage,Calyxo,2022,full_timeline,partial_intervals,0,intervals,
coverage,Calyxo,2022,full_timeline,no_weather_intervals,0,intervals,
coverage,Calyxo,2023,full_timeline,expected_intervals,560,intervals,
coverage,Calyxo,2023,full_timeline,pv_rows_present,560,intervals,
coverage,Calyxo,2023,full_timeline,pv_values_valid,560,intervals,
coverage,Calyxo,2023,full_timeline,malformed_source_records,0,intervals,
coverage,Calyxo,2023,full_timeline,weather_rows_present,560,intervals,
coverage,Calyxo,2023,full_timeline,weather_values_valid,560,intervals,
coverage,Calyxo,2023,full_timeline,complete_intervals,544,intervals,
coverage,Calyxo,2023,full_timeline,partial_intervals,16,intervals,
coverage,Calyxo,2023,full_timeline,no_weather_intervals,0,intervals,
coverage,Calyxo,2023,full_timeline,pv_valid_weather_incomplete,16,intervals,
coverage,Calyxo,2023,full_timeline,weather_valid_pv_missing,0,intervals,
coverage,Calyxo,2023,full_timeline,longest_complete_segment,925,minutes,
coverage,Calyxo,2023,full_timeline,longest_weather_gap,0,minutes,
coverage,Calyxo,2023,daylight,classified_intervals,290,intervals,Daylight threshold: past-interval mean irradiance >20 W/m2; missing-weather intervals unclassified.
coverage,Calyxo,2023,daylight,pv_value_valid_ratio,1.0,ratio,
coverage,Calyxo,2023,daylight,weather_complete_ratio,0.9793103448275862,ratio,
coverage,Calyxo,2023,night,classified_intervals,270,intervals,Daylight threshold: past-interval mean irradiance >20 W/m2; missing-weather intervals unclassified.
coverage,Calyxo,2023,night,pv_value_valid_ratio,1.0,ratio,
coverage,Calyxo,2023,night,weather_complete_ratio,0.9629629629629629,ratio,
descriptive,Calyxo,2023,past_only,usable_feature_rows,560,intervals,
correlation,Calyxo,2023,past_only,mean_vs_next_ramp_pearson,0.04423153628932448,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,mean_vs_next_ramp_spearman,0.04040699157792022,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,mean_vs_hour_ramp_pearson,-0.032882431604536744,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,mean_vs_hour_ramp_spearman,0.014094713837544317,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,mean_vs_abs_hour_ramp_pearson,0.5405694749536778,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,mean_vs_abs_hour_ramp_spearman,0.8440585108108779,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,std_vs_next_ramp_pearson,-0.03956826816724637,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,std_vs_next_ramp_spearman,0.024646292363208276,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,std_vs_hour_ramp_pearson,-0.07350685691669276,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,std_vs_hour_ramp_spearman,-0.028704441279517667,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,std_vs_abs_hour_ramp_pearson,0.42439710427860905,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,std_vs_abs_hour_ramp_spearman,0.8550755628445109,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_next_ramp_pearson,0.052942181037928346,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_next_ramp_spearman,0.02259662635372445,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_hour_ramp_pearson,-0.0049768520478187025,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_hour_ramp_spearman,0.019478137903438077,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_abs_hour_ramp_pearson,0.5071878878907502,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_abs_hour_ramp_spearman,0.8418093280003767,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,maximum_vs_next_ramp_pearson,0.023913102028546625,r,"Feature interval is (t-5min,t]; target begins at t."
