condition,seed,horizon,scope,rmse_kw,nrmse,mae_kw,r2,trajectory_diff_mae_kw,parameter_count,parameter_difference_vs_mean_only_pct,actual_epochs,best_epoch,best_validation_rmse_kw,training_seconds,mean_epoch_seconds,inference_seconds,inference_ms_per_sample,test_samples,ramp_threshold_kw
MEAN_ONLY,42,3,regular_full_timeline,0.40308155077020325,0.0639811985349529,0.19502899050712585,0.9512907045306201,0.1351211667060852,74444,1.2895599376712696,20,15,0.4413650929927826,56.87204120000001,2.8317091600000026,0.40628209999999854,0.02334820412619956,17401,0.15069979429244995
MEAN_ONLY,42,3,daylight,0.559670830397977,0.08883663974571064,0.34368544816970825,0.9039271894439168,0.1351211667060852,74444,1.2895599376712696,20,15,0.4413650929927826,56.87204120000001,2.8317091600000026,0.40628209999999854,0.02334820412619956,17401,0.15069979429244995
MEAN_ONLY,42,3,ramp,0.8548354848895481,0.13568817220469018,0.6353240013122559,0.6451753190698581,0.1351211667060852,74444,1.2895599376712696,20,15,0.4413650929927826,56.87204120000001,2.8317091600000026,0.40628209999999854,0.02334820412619956,17401,0.15069979429244995
MEAN_ONLY,42,6,regular_full_timeline,0.44002306113714573,0.06984493033922948,0.2094784677028656,0.9419520120783026,0.1326143592596054,74444,1.2895599376712696,20,15,0.4413650929927826,56.87204120000001,2.8317091600000026,0.40628209999999854,0.02334820412619956,17401,0.15069979429244995
MEAN_ONLY,42,6,daylight,0.6117913925281827,0.09710974484574329,0.37958788871765137,0.8852058060488285,0.1326143592596054,74444,1.2895599376712696,20,15,0.4413650929927826,56.87204120000001,2.8317091600000026,0.40628209999999854,0.02334820412619956,17401,0.15069979429244995
MEAN_ONLY,42,6,ramp,0.9048041945388058,0.14361971341885807,0.671321451663971,0.6025526191661563,0.1326143592596054,74444,1.2895599376712696,20,15,0.4413650929927826,56.87204120000001,2.8317091600000026,0.40628209999999854,0.02334820412619956,17401,0.15069979429244995
MEAN_ONLY,42,12,regular_full_timeline,0.4817674653906419,0.07647102625248285,0.2312507927417755,0.9303750158137819,0.13394679129123688,74444,1.2895599376712696,20,15,0.4413650929927826,56.87204120000001,2.8317091600000026,0.40628209999999854,0.02334820412619956,17401,0.15069979429244995
MEAN_ONLY,42,12,daylight,0.6701190980702234,0.10636811080479737,0.4227704405784607,0.8622063120984487,0.13394679129123688,74444,1.2895599376712696,20,15,0.4413650929927826,56.87204120000001,2.8317091600000026,0.40628209999999854,0.02334820412619956,17401,0.15069979429244995
MEAN_ONLY,42,12,ramp,0.9608326986585927,0.15251312677120518,0.7169058918952942,0.5510155934826902,0.13394679129123688,74444,1.2895599376712696,20,15,0.4413650929927826,56.87204120000001,2.8317091600000026,0.40628209999999854,0.02334820412619956,17401,0.15069979429244995
MEAN_ONLY,43,3,regular_full_timeline,0.4123814484715611,0.06545737277326368,0.19590820372104645,0.949017136829928,0.13355237245559692,74444,1.2895599376712696,18,13,0.4465055465698242,51.4404069000002,2.8460326611111038,0.381890999999996,0.021946497327739553,17401,0.15069979429244995
