section,model,seed,split,scope,horizon_steps,feature,metric,value,unit,count,source_path,notes
scaling,,,train,,,,target_min,0.0,kW,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\prepared_data.npz,
scaling,,,train,,,,target_max,6.047201156616211,kW,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\prepared_data.npz,
scaling,,,train,,,,target_range,6.047201156616211,kW,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\prepared_data.npz,
scaling,,,train,,,,forward_formula,(y_kw-target_min)/target_range,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\run_nwp_minimal_screen.py,
scaling,,,validation,,,,inverse_formula,scaled_prediction*target_range+target_min,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\run_nwp_minimal_screen.py,
artifact,HISTORY_ONLY,42,validation,,,,run_complete,True,,59424,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
artifact,HISTORY_ONLY,42,,,,,prediction_shape,"(59424, 144)",,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
artifact,HISTORY_ONLY,42,,,,,labels_equal_common,True,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
artifact,HISTORY_ONLY,42,,,,,origins_equal_common,True,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
artifact,HISTORY_ONLY,42,,,,,nwp_mask_equal_common,True,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
checkpoint,HISTORY_ONLY,42,,,,,checkpoint_epoch,5,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\best_validation.pt,
checkpoint,HISTORY_ONLY,42,,,,,log_best_epoch,5,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
checkpoint,HISTORY_ONLY,42,,,,,checkpoint_validation_mse,2.1767980711956314,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\best_validation.pt,
checkpoint,HISTORY_ONLY,42,,,,,log_best_validation_mse,2.1767980711956314,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
checkpoint,HISTORY_ONLY,42,,,,,sample_forward_max_abs_difference,0.011737823486328125,kW,4608,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\best_validation.pt,32 deterministic Validation origins; CPU re-forward
checkpoint,HISTORY_ONLY,42,,,,,sample_forward_mean_abs_difference,0.0003911906387656927,kW,4608,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\best_validation.pt,
training_log,HISTORY_ONLY,42,epoch,,1,,train_mse,0.04049214526401976,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,1,,validation_mse,5.10367537013259,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,1,,seconds,11.322506700000304,seconds,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,2,,train_mse,0.00952984372046418,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,2,,validation_mse,5.871204308713806,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,2,,seconds,10.115071799998987,seconds,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,3,,train_mse,0.00831762121211236,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,3,,validation_mse,5.013137285060013,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
