Hanwha_ground_ghi,Hanwha_power,Qcells_ground_ghi,Qcells_power,Sanyo_ground_ghi,Sanyo_power,active_power_valid,actual_unique_timestamps,archive_http_verified,archive_status,availability_policy,column_names,continuous_L72_H144_windows,continuous_segment_count,coverage_ratio,cycle_utc,dominant_interval_minutes,download_status,downloaded_bytes_this_run,duplicate_timestamps,endStep,expected_nwp_points,expected_timestamps,extraction_seconds,failure_reason,fallback_cycles,file_size_bytes,first_timestamp,forecast_age_hours,forecast_lead_hours,forecast_origin_acst,forecast_origin_utc,gfs_ground_ghi_direction_accuracy,gfs_ground_ghi_mae_wm2,gfs_ground_ghi_pearson,gfs_pv_direction_accuracy,gfs_pv_power_pearson,gfs_v16_boundary_utc,grib_url,grid_distance_degrees,grid_latitude,grid_longitude,group,group_type,idx_file_bytes,idx_url,inventory_line,last_timestamp,legal_segment_count,local_grib_path,local_idx_path,malformed_physical_lines,missing_by_column,missing_timestamps,model,months_covered,nominal_issue_time_utc,notes,nwp_valid,official_object_last_modified,parsed_records,period,period_end,period_start,physical_lines,policy_available_time_utc,record_type,reverse_timestamps,sample_count,segment_id,segment_length_5min,selected_cycle_utc,selected_file_bytes,short_name,site,source,source_mtime_ns,source_object,source_path,split,startStep,stepType,three_array_common_nwp,timezone_status,trajectory_cycle_policy,typeOfStatisticalProcessing,units,valid_nwp_points,valid_time_acst,valid_time_utc,valid_timestamp_count,validityDate,validityTime,value,variable
,,,,,,,,,,,timestamp|Active_Energy_Delivered_Received|Current_Phase_Average|Active_Power|Performance_Ratio|Wind_Speed|Weather_Temperature_Celsius|Weather_Relative_Humidity|Global_Horizontal_Radiation|Diffuse_Horizontal_Radiation|Wind_Direction|Weather_Daily_Rainfall|Radiation_Global_Tilted|Radiation_Diffuse_Tilted,,,,,5,,,0,,,,,,,293666816,2008-09-12 05:55:00,,,,,,,,,,,,,,,,,,,,2025-08-23 05:50:00,,,,2,"{""Active_Energy_Delivered_Received"": 35612, ""Active_Power"": 35574, ""Current_Phase_Average"": 35574, ""Diffuse_Horizontal_Radiation"": 43564, ""Global_Horizontal_Radiation"": 43564, ""Performance_Ratio"": 739901, ""Radiation_Diffuse_Tilted"": 601296, ""Radiation_Global_Tilted"": 643423, ""Weather_Daily_Rainfall"": 43539, ""Weather_Relative_Humidity"": 43606, ""Weather_Temperature_Celsius"": 43616, ""Wind_Direction"": 45722, ""Wind_Speed"": 926139}",,,,,,,,1767910,,,,1767913,,PV_FILE,0,,,,,,,Sanyo,DKASC user-downloaded raw CSV,1787469836618722900,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,NAIVE; interpreted as ACST by validated project convention,,,,,,,,,,,
,,,,,,105378,105382,,,,,103442,,0.9997533394049788,,,,,,,,105408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,2020,,,,,PV_YEAR,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,100534,100539,,,,,96640,,0.9564212328767123,,,,,,,,105120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4581,,,,,,,,2021,,,,,PV_YEAR,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,102890,102901,,,,,100310,,0.9788907914764079,,,,,,,,105120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219,,,,,,,,2022,,,,,PV_YEAR,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,96941,101797,,,,,72047,,0.9683885083713851,,,,,,,,105120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3323,,,,,,,,2023,,,,,PV_YEAR,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,85414,104244,,,,,1899,,0.9889571948998178,,,,,,,,105408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164,,,,,,,,2024,,,,,PV_YEAR,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8928,8928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8352,8352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8928,8928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8640,8640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
