section,model,seed,scope,horizon,rmse_kw,mae_kw,diff_mae_kw,actual_epochs,best_epoch,best_validation_objective,stop_reason,numerically_finite,training_seconds,mean_epoch_seconds,backbone_parameters,power_head_parameters,event_head_parameters,total_parameters,inference_ms_per_sample,threshold_kw,step_pos_weight,artifact_source,n,positive_count,prevalence,auroc,auprc,brier,f1,precision,recall,miss_rate,onset_time_mae_steps,onset_time_mae_minutes,onset_time_n,up_count,down_count,up_recall,down_recall,direction_accuracy,identification_rate,probability_bin,mean_predicted_probability,observed_event_rate,mask_equal_to_full,daylight_definition
power,TRAJECTORY_ONLY,42,full_timeline,3,0.4030815362930298,0.19502899050712585,0.1351211667060852,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,full_timeline,6,0.4400230646133423,0.2094784677028656,0.1326143592596054,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,full_timeline,12,0.481767475605011,0.2312507927417755,0.13394679129123688,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,daylight,12,0.6701191067695618,0.4227704405784607,0.13394679129123688,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,ramp_step,12,0.9608327150344849,0.7169058918952942,0.13394679129123688,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,42,onset_near,12,0.7990145683288574,0.5579513907432556,0.13394679129123688,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,43,full_timeline,3,0.41238144040107727,0.19590820372104645,0.13355237245559692,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\43\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,43,full_timeline,6,0.44752299785614014,0.21256747841835022,0.13295644521713257,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\43\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,43,full_timeline,12,0.4876216650009155,0.23452074825763702,0.13141803443431854,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\43\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,43,daylight,12,0.6783857941627502,0.4270092844963074,0.13141803443431854,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\43\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,43,ramp_step,12,0.972485363483429,0.7279741168022156,0.13141803443431854,reused,reused,reused,reused,True,0,0,19136,55308,0,74444,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\43\test_predictions.npz,,,,,,,,,,,,,,,,,,,,,,,,
