section,task,scope,horizon,model,seed,n,positive_count,prevalence,auroc,auprc,brier,spearman_abs_change,f1_at_0_5,precision_at_0_5,recall_at_0_5,ece_10bin
prevalence,ramp_step,train_full_timeline,all12,LABELS,,802104,80214,0.1000044881960444,1.0,1.0,0.0,0.5603990188244405,nan,nan,nan,nan
prevalence,ramp_step,train_daylight,all12,LABELS,,363903,80178,0.22032794453466994,1.0,1.0,0.0,0.7178792562585973,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,1,LABELS,,66842,6688,0.10005685048322911,1.0,1.0,0.0,0.5605254565900651,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,2,LABELS,,66842,6687,0.10004188982974777,1.0,1.0,0.0,0.5604842603651098,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,3,LABELS,,66842,6686,0.10002692917626642,1.0,1.0,0.0,0.5604430611066672,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,4,LABELS,,66842,6685,0.10001196852278507,1.0,1.0,0.0,0.5604058057335858,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,5,LABELS,,66842,6684,0.09999700786930373,1.0,1.0,0.0,0.5603724934575712,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,6,LABELS,,66842,6684,0.09999700786930373,1.0,1.0,0.0,0.5603764407360984,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,7,LABELS,,66842,6684,0.09999700786930373,1.0,1.0,0.0,0.5603803883252884,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,8,LABELS,,66842,6683,0.09998204721582239,1.0,1.0,0.0,0.5603470720601955,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,9,LABELS,,66842,6682,0.09996708656234105,1.0,1.0,0.0,0.5603137517086448,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,10,LABELS,,66842,6683,0.09998204721582239,1.0,1.0,0.0,0.5603549682674894,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,11,LABELS,,66842,6684,0.09999700786930373,1.0,1.0,0.0,0.5603922329577031,nan,nan,nan,nan
prevalence,ramp_step,train_full_timeline,12,LABELS,,66842,6684,0.09999700786930373,1.0,1.0,0.0,0.5603922329577883,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,all12,LABELS,,802104,26409,0.03292465814906795,1.0,1.0,0.0,0.3039489261557718,nan,nan,nan,nan
prevalence,ramp_onset,train_daylight,all12,LABELS,,363903,26409,0.072571536920553,1.0,1.0,0.0,0.3583924003376254,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,1,LABELS,,66842,2200,0.03291343765895694,1.0,1.0,0.0,0.30386348434396915,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,2,LABELS,,66842,2200,0.03291343765895694,1.0,1.0,0.0,0.3038648496368593,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,3,LABELS,,66842,2200,0.03291343765895694,1.0,1.0,0.0,0.30387160947708175,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,4,LABELS,,66842,2200,0.03291343765895694,1.0,1.0,0.0,0.30387720543491314,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,5,LABELS,,66842,2200,0.03291343765895694,1.0,1.0,0.0,0.3038877304226416,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,6,LABELS,,66842,2201,0.03292839831243829,1.0,1.0,0.0,0.3039634448844901,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,7,LABELS,,66842,2201,0.03292839831243829,1.0,1.0,0.0,0.3039710638671852,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,8,LABELS,,66842,2201,0.03292839831243829,1.0,1.0,0.0,0.30398196318027654,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,9,LABELS,,66842,2201,0.03292839831243829,1.0,1.0,0.0,0.3039911477575916,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,10,LABELS,,66842,2202,0.03294335896591963,1.0,1.0,0.0,0.3040714319451448,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,11,LABELS,,66842,2202,0.03294335896591963,1.0,1.0,0.0,0.30406197787072897,nan,nan,nan,nan
prevalence,ramp_onset,train_full_timeline,12,LABELS,,66842,2201,0.03292839831243829,1.0,1.0,0.0,0.3039811860103519,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,all12,LABELS,,209820,29568,0.14092078924792678,1.0,1.0,0.0,0.6428189141349451,nan,nan,nan,nan
prevalence,ramp_step,validation_daylight,all12,LABELS,,99960,29556,0.2956782713085234,1.0,1.0,0.0,0.7904162872943622,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,1,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,2,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,3,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,4,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,5,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,6,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,7,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,8,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,9,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,10,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,11,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,12,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,all12,LABELS,,209820,8352,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_daylight,all12,LABELS,,99960,8340,0.08343337334933974,1.0,1.0,0.0,0.3313425290960133,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,1,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,2,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,3,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,4,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,5,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,6,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,7,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,8,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,9,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,10,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,11,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,12,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,all12,LABELS,,208812,36486,0.1747313372794667,1.0,1.0,0.0,0.6908369831297324,nan,nan,nan,nan
prevalence,ramp_step,test_daylight,all12,LABELS,,107560,36486,0.3392153216809223,1.0,1.0,0.0,0.8200273614693733,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,1,LABELS,,17401,3046,0.1750474110683294,1.0,1.0,0.0,0.6912377396745907,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,2,LABELS,,17401,3045,0.174989943106718,1.0,1.0,0.0,0.6911618580640624,nan,nan,nan,nan
