section,entity,year,stage,metric,value,unit,status,source_path,notes
decision,C1-S2,,,verdict,C1_FORMAL_DATA_FAIL,,FAIL,,Read-only evidence decision; no training authorization is implied.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,file_exists,false,boolean,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,file_size_bytes,0,bytes,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,physical_lines,0,lines,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,expected_seconds,31536000,seconds,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,parseable_target_year_unique_seconds,0,seconds,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,first_parseable_utc,UNKNOWN,UTC,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,last_parseable_utc,UNKNOWN,UTC,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,first_target_year_utc,UNKNOWN,UTC,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,last_target_year_utc,UNKNOWN,UTC,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,main_interval_seconds,UNKNOWN,seconds,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,missing_timestamps,31536000,seconds,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,duplicate_timestamps,0,records,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,inverse_timestamps,0,records,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,column_count_anomalies,0,lines,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,quote_anomalies,0,lines,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,glued_records,0,lines,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,truncated_records,0,lines,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,duplicate_headers,0,lines,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,data_error_lines,0,lines,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,MB0_missing,UNKNOWN,values,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
