section,year,stage,array,metric,value,unit,source_path,notes
candidate,2021,,,size,1726481334,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\C1_fresh_downloads\2021\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,
candidate,2021,,,mtime_ns,1697783464000000000,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\C1_fresh_downloads\2021\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,
candidate,2021,,,header,"Timestamp_UTC [DD/MM/YYYY hh:mm:ss],Timestamp_Local [DD/MM/YYYY hh:mm:ss],Irradiance_MB0 [W/m-2],UnitTemp_MB0 [deg C],Voltage_MB0 [V],Irradiance_MB1 [W/m-2],UnitTemp_MB1 [deg C],Voltage_MB1 [V],Irradiance_MB2 [W/m-2],UnitTemp_MB2 [deg C],Voltage_MB2 [V],Timestamp_UNIX [s],Hour_UTC,Hour_Local",,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\C1_fresh_downloads\2021\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,
candidate,2021,,,first_physical_record,"02/06/2021 00:00:00,02/06/2021 09:00:00,,,,,,,,,,,00,09",,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\C1_fresh_downloads\2021\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,
candidate,2021,,,last_physical_record,"31/12/2021 23:59:59,01/01/2022 08:59:59,773,40,13.2,669,39.3,13.1,904,38.5,13.1,1640995199,23,08",,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\C1_fresh_downloads\2021\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,
candidate,2022,,,size,3011901400,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,
candidate,2022,,,mtime_ns,1697783530000000000,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,
candidate,2022,,,header,"Timestamp_UTC [DD/MM/YYYY hh:mm:ss],Timestamp_Local [DD/MM/YYYY hh:mm:ss],Irradiance_MB0 [W/m-2],UnitTemp_MB0 [deg C],Voltage_MB0 [V],Irradiance_MB1 [W/m-2],UnitTemp_MB1 [deg C],Voltage_MB1 [V],Irradiance_MB2 [W/m-2],UnitTemp_MB2 [deg C],Voltage_MB2 [V],Timestamp_UNIX [s],Hour_UTC,Hour_Local",,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,
candidate,2022,,,first_physical_record,"01/01/2022 00:00:00,01/01/2022 09:00:00,773,40,13.1,669,39.3,13.1,904,38.5,13.1,1640995200,00,09",,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,
candidate,2022,,,last_physical_record,"31/12/2022 23:59:59,01/01/2023 08:59:59,777,36.9,13.2,666,35.9,13.2,685,35.2,13.1,1672531199,23,08",,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,
