array,seed,run_status,reason,final_test_accessed
Site 17 Sanyo,42,NOT_RUN_DATA_FAIL,C1_FORMAL_DATA_FAIL,False
Site 17 Sanyo,43,NOT_RUN_DATA_FAIL,C1_FORMAL_DATA_FAIL,False
Site 17 Sanyo,44,NOT_RUN_DATA_FAIL,C1_FORMAL_DATA_FAIL,False
Site 25 Hanwha,42,NOT_RUN_DATA_FAIL,C1_FORMAL_DATA_FAIL,False
Site 25 Hanwha,43,NOT_RUN_DATA_FAIL,C1_FORMAL_DATA_FAIL,False
Site 25 Hanwha,44,NOT_RUN_DATA_FAIL,C1_FORMAL_DATA_FAIL,False
Site 38 Q CELLS,42,NOT_RUN_DATA_FAIL,C1_FORMAL_DATA_FAIL,False
Site 38 Q CELLS,43,NOT_RUN_DATA_FAIL,C1_FORMAL_DATA_FAIL,False
Site 38 Q CELLS,44,NOT_RUN_DATA_FAIL,C1_FORMAL_DATA_FAIL,False

