dataset,site_id,model,seed,statistic,horizon_steps,horizon_minutes,scope,metric,value,unit,sample_count,valid_target_count,normalization_definition,prediction_artifact,label_artifact,timestamp_artifact,mask_artifact,config_path,source_commit,rank
Sanyo,17,Discrete Candidate,42,per_seed,12,60,regular_full_timeline,RMSE,0.11158989123404392,source_power_unit,4177,50124,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,regular_full_timeline,MAE,0.05860382888015995,source_power_unit,4177,50124,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,regular_full_timeline,R2,0.9948518491509171,dimensionless,4177,50124,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,regular_full_timeline,Bias,-0.003070504175675325,source_power_unit,4177,50124,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,regular_full_timeline,range_nRMSE,0.01842065702548621,dimensionless,4177,50124,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,regular_full_timeline,RMSE_skill,0.6244939426036495,dimensionless,4177,50124,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,regular_full_timeline,MAE_skill,0.4214409813186052,dimensionless,4177,50124,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,daylight,RMSE,0.23464746622506644,source_power_unit,838,9137,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,daylight,MAE,0.1578587037638939,source_power_unit,838,9137,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,daylight,R2,0.9782897385432371,dimensionless,838,9137,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,daylight,Bias,-0.055636930384507094,source_power_unit,838,9137,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,daylight,range_nRMSE,0.03873433739769288,dimensionless,838,9137,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,daylight,RMSE_skill,0.645237501458252,dimensionless,838,9137,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,12,60,daylight,MAE_skill,0.6914728743244141,dimensionless,838,9137,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,48,240,regular_full_timeline,RMSE,0.5680811495767274,source_power_unit,4177,200496,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,48,240,regular_full_timeline,MAE,0.21923760521425706,source_power_unit,4177,200496,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,48,240,regular_full_timeline,R2,0.8724257705221651,dimensionless,4177,200496,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
