site,model,selected_alpha,validation_MSE_kW2,real_matrix_solver_maxdiff_kW,endpoint,post_hoc_sensitivity,scope,points,origins,old_RMSE,new_RMSE,solver_note
Sanyo,Ridge,100.0,0.819793083999531,4.455991131635528e-12,False,True,full,598317,4160,0.9137155813137656,0.9137155813137656,
Sanyo,Ridge,100.0,0.819793083999531,4.455991131635528e-12,False,True,power-active,259345,3869,1.249770541477441,1.249770541477441,
Sanyo,Ridge,100.0,0.819793083999531,4.455991131635528e-12,False,True,low-power,338972,4160,0.5278402561661436,0.5278402561661436,
Sanyo,Ridge+day,1000.0,0.1307117249916734,2.7808311209298613e-13,False,True,full,598317,4160,0.2119271373577941,0.2119271373577941,
Sanyo,Ridge+day,1000.0,0.1307117249916734,2.7808311209298613e-13,False,True,power-active,259345,3869,0.2989062394061101,0.2989062394061101,
Sanyo,Ridge+day,1000.0,0.1307117249916734,2.7808311209298613e-13,False,True,low-power,338972,4160,0.1044923171392528,0.1044923171392528,
Hanwha,Ridge,1.0,0.6051670721688386,1.6136902925012464e-10,False,True,full,649735,4521,0.844085434509359,0.844085434509359,
Hanwha,Ridge,1.0,0.6051670721688386,1.6136902925012464e-10,False,True,power-active,287368,4225,1.1308417677632705,1.1308417677632705,
Hanwha,Ridge,1.0,0.6051670721688386,1.6136902925012464e-10,False,True,low-power,362367,4521,0.5131949256651153,0.5131949256651153,
Hanwha,Ridge+day,100.0,0.1012236669238556,1.650513059558989e-12,False,True,full,649735,4521,0.2480242169977097,0.2480242169977097,
Hanwha,Ridge+day,100.0,0.1012236669238556,1.650513059558989e-12,False,True,power-active,287368,4225,0.3496953335070539,0.3496953335070539,
Hanwha,Ridge+day,100.0,0.1012236669238556,1.650513059558989e-12,False,True,low-power,362367,4521,0.1154249414574941,0.1154249414574941,
Qcells,Ridge,1000.0,0.6478277567386621,1.5187850976872141e-12,False,True,full,431150,2996,0.839062913771377,0.839062913771377,
Qcells,Ridge,1000.0,0.6478277567386621,1.5187850976872141e-12,False,True,power-active,187950,2800,1.1683194382786222,1.1683194382786222,
Qcells,Ridge,1000.0,0.6478277567386621,1.5187850976872141e-12,False,True,low-power,243200,2996,0.4395856645047002,0.4395856645047002,
Qcells,Ridge+day,10000.0,0.1378870560881348,2.804978471715458e-13,False,True,full,431150,2996,0.2365203074245268,0.2594590412879559,
Qcells,Ridge+day,10000.0,0.1378870560881348,2.804978471715458e-13,False,True,power-active,187950,2800,0.3508946553140599,0.382537461248614,
Qcells,Ridge+day,10000.0,0.1378870560881348,2.804978471715458e-13,False,True,low-power,243200,2996,0.0634014068147893,0.0790813339250384,
YULARA_COMBINED,Ridge,10000000.0,816.8954578383584,2.415845301584341e-13,False,True,full,3784320,26280,119.58475077247292,29.838229070370783,
YULARA_COMBINED,Ridge,10000000.0,816.8954578383584,2.415845301584341e-13,False,True,power-active,1963842,26192,121.56511701565027,38.16376825827096,
YULARA_COMBINED,Ridge,10000000.0,816.8954578383584,2.415845301584341e-13,False,True,low-power,1820478,25653,117.41098311143178,16.720694554880133,
YULARA_COMBINED,Ridge+day,1000000.0,268.3301546962229,2.103206497849897e-12,False,True,full,3784320,26280,35.950323856735274,15.842109710882918,
YULARA_COMBINED,Ridge+day,1000000.0,268.3301546962229,2.103206497849897e-12,False,True,power-active,1963842,26192,37.93248677804026,20.61268837098773,
YULARA_COMBINED,Ridge+day,1000000.0,268.3301546962229,2.103206497849897e-12,False,True,low-power,1820478,25653,33.68152530285984,7.960300131334332,
NIST_GROUND,Ridge,0.0001,2280.4474854258174,0.002389896288008231,True,True,full,3128676,21885,48.95605643272451,48.95606911138408,QR_checked_small_alpha_sensitivity
NIST_GROUND,Ridge,0.0001,2280.4474854258174,0.002389896288008231,True,True,power-active,1098178,18599,63.976353867470515,63.97634521525364,QR_checked_small_alpha_sensitivity
NIST_GROUND,Ridge,0.0001,2280.4474854258174,0.002389896288008231,True,True,low-power,2030498,21885,38.461374957624685,38.46140760782805,QR_checked_small_alpha_sensitivity
NIST_GROUND,Ridge+day,1000.0,1152.260207918009,2.0249402155059215e-10,False,True,full,3128676,21885,34.99506817833024,34.99506817833024,spectral_Cholesky_agreement
NIST_GROUND,Ridge+day,1000.0,1152.260207918009,2.0249402155059215e-10,False,True,power-active,1098178,18599,54.73151769106459,54.73151769106459,spectral_Cholesky_agreement
NIST_GROUND,Ridge+day,1000.0,1152.260207918009,2.0249402155059215e-10,False,True,low-power,2030498,21885,16.33666886830645,16.33666886830645,spectral_Cholesky_agreement
