split,support,hour,origins
train,all_grid_origins,0,1272
train,all_grid_origins,1,1272
train,all_grid_origins,2,1272
train,all_grid_origins,3,1272
train,all_grid_origins,4,1272
train,all_grid_origins,5,1272
train,all_grid_origins,6,1272
train,all_grid_origins,7,1272
train,all_grid_origins,8,1272
train,all_grid_origins,9,1272
train,all_grid_origins,10,1272
train,all_grid_origins,11,1272
train,all_grid_origins,12,1272
train,all_grid_origins,13,1272
train,all_grid_origins,14,1272
train,all_grid_origins,15,1272
train,all_grid_origins,16,1272
train,all_grid_origins,17,1272
train,all_grid_origins,18,1272
train,all_grid_origins,19,1272
train,all_grid_origins,20,1272
train,all_grid_origins,21,1272
train,all_grid_origins,22,1272
train,all_grid_origins,23,1272
train,H12_support,0,1224
train,H12_support,1,1224
train,H12_support,2,1224
train,H12_support,3,1224
train,H12_support,4,1224
train,H12_support,5,1225
train,H12_support,6,1106
train,H12_support,7,1143
train,H12_support,8,1219
train,H12_support,9,1224
train,H12_support,10,1236
train,H12_support,11,1236
train,H12_support,12,1239
train,H12_support,13,1237
train,H12_support,14,1236
train,H12_support,15,1236
train,H12_support,16,1224
train,H12_support,17,232
train,H12_support,18,870
train,H12_support,19,1236
train,H12_support,20,1236
train,H12_support,21,1236
train,H12_support,22,1236
train,H12_support,23,1224
train,common_H144,0,1008
train,common_H144,1,1008
train,common_H144,2,1008
train,common_H144,3,1008
train,common_H144,4,1008
train,common_H144,5,998
train,common_H144,6,205
train,common_H144,7,36
train,common_H144,8,36
train,common_H144,9,36
train,common_H144,10,36
train,common_H144,11,36
train,common_H144,12,36
train,common_H144,13,36
train,common_H144,14,36
train,common_H144,15,36
train,common_H144,16,36
train,common_H144,17,37
train,common_H144,18,862
train,common_H144,19,1094
train,common_H144,20,1020
train,common_H144,21,1016
train,common_H144,22,1008
train,common_H144,23,1008
train,H12_removed_by_H144,0,216
train,H12_removed_by_H144,1,216
train,H12_removed_by_H144,2,216
train,H12_removed_by_H144,3,216
train,H12_removed_by_H144,4,216
train,H12_removed_by_H144,5,227
train,H12_removed_by_H144,6,901
train,H12_removed_by_H144,7,1107
train,H12_removed_by_H144,8,1183
train,H12_removed_by_H144,9,1188
train,H12_removed_by_H144,10,1200
train,H12_removed_by_H144,11,1200
train,H12_removed_by_H144,12,1203
train,H12_removed_by_H144,13,1201
train,H12_removed_by_H144,14,1200
train,H12_removed_by_H144,15,1200
train,H12_removed_by_H144,16,1188
train,H12_removed_by_H144,17,195
train,H12_removed_by_H144,18,8
train,H12_removed_by_H144,19,142
train,H12_removed_by_H144,20,216
train,H12_removed_by_H144,21,220
train,H12_removed_by_H144,22,228
train,H12_removed_by_H144,23,216
train,historical_training_fullH144,0,1008
train,historical_training_fullH144,1,1008
train,historical_training_fullH144,2,1008
train,historical_training_fullH144,3,1008
train,historical_training_fullH144,4,1008
train,historical_training_fullH144,5,998
train,historical_training_fullH144,6,205
train,historical_training_fullH144,7,36
train,historical_training_fullH144,8,36
train,historical_training_fullH144,9,36
train,historical_training_fullH144,10,36
train,historical_training_fullH144,11,36
train,historical_training_fullH144,12,36
train,historical_training_fullH144,13,36
train,historical_training_fullH144,14,36
train,historical_training_fullH144,15,36
train,historical_training_fullH144,16,36
train,historical_training_fullH144,17,39
train,historical_training_fullH144,18,959
train,historical_training_fullH144,19,1094
train,historical_training_fullH144,20,1020
train,historical_training_fullH144,21,1016
train,historical_training_fullH144,22,1008
train,historical_training_fullH144,23,1008
validation,all_grid_origins,0,276
validation,all_grid_origins,1,276
validation,all_grid_origins,2,276
validation,all_grid_origins,3,276
validation,all_grid_origins,4,276
validation,all_grid_origins,5,276
validation,all_grid_origins,6,276
validation,all_grid_origins,7,276
validation,all_grid_origins,8,276
validation,all_grid_origins,9,276
validation,all_grid_origins,10,276
validation,all_grid_origins,11,276
validation,all_grid_origins,12,276
validation,all_grid_origins,13,276
validation,all_grid_origins,14,276
validation,all_grid_origins,15,276
validation,all_grid_origins,16,276
validation,all_grid_origins,17,276
validation,all_grid_origins,18,276
validation,all_grid_origins,19,276
validation,all_grid_origins,20,276
validation,all_grid_origins,21,276
validation,all_grid_origins,22,276
validation,all_grid_origins,23,276
validation,H12_support,0,264
validation,H12_support,1,264
validation,H12_support,2,264
validation,H12_support,3,264
validation,H12_support,4,264
validation,H12_support,5,265
validation,H12_support,6,268
validation,H12_support,7,271
validation,H12_support,8,276
validation,H12_support,9,276
validation,H12_support,10,276
validation,H12_support,11,276
validation,H12_support,12,276
validation,H12_support,13,276
validation,H12_support,14,276
validation,H12_support,15,267
validation,H12_support,16,270
validation,H12_support,17,60
validation,H12_support,18,173
validation,H12_support,19,276
validation,H12_support,20,276
validation,H12_support,21,276
validation,H12_support,22,276
validation,H12_support,23,264
validation,common_H144,0,252
validation,common_H144,1,252
validation,common_H144,2,252
validation,common_H144,3,252
validation,common_H144,4,243
validation,common_H144,5,241
validation,common_H144,6,54
validation,common_H144,7,0
validation,common_H144,8,0
validation,common_H144,9,0
validation,common_H144,10,0
validation,common_H144,11,0
validation,common_H144,12,0
validation,common_H144,13,0
validation,common_H144,14,0
validation,common_H144,15,0
validation,common_H144,16,0
validation,common_H144,17,0
validation,common_H144,18,167
validation,common_H144,19,256
validation,common_H144,20,252
validation,common_H144,21,252
validation,common_H144,22,252
validation,common_H144,23,252
validation,H12_removed_by_H144,0,12
validation,H12_removed_by_H144,1,12
validation,H12_removed_by_H144,2,12
validation,H12_removed_by_H144,3,12
validation,H12_removed_by_H144,4,21
validation,H12_removed_by_H144,5,24
validation,H12_removed_by_H144,6,214
validation,H12_removed_by_H144,7,271
validation,H12_removed_by_H144,8,276
validation,H12_removed_by_H144,9,276
validation,H12_removed_by_H144,10,276
validation,H12_removed_by_H144,11,276
validation,H12_removed_by_H144,12,276
validation,H12_removed_by_H144,13,276
validation,H12_removed_by_H144,14,276
validation,H12_removed_by_H144,15,267
validation,H12_removed_by_H144,16,270
validation,H12_removed_by_H144,17,60
validation,H12_removed_by_H144,18,6
validation,H12_removed_by_H144,19,20
validation,H12_removed_by_H144,20,24
validation,H12_removed_by_H144,21,24
validation,H12_removed_by_H144,22,24
validation,H12_removed_by_H144,23,12
validation,historical_training_fullH144,0,252
validation,historical_training_fullH144,1,252
validation,historical_training_fullH144,2,252
validation,historical_training_fullH144,3,252
validation,historical_training_fullH144,4,243
validation,historical_training_fullH144,5,241
validation,historical_training_fullH144,6,54
validation,historical_training_fullH144,7,0
validation,historical_training_fullH144,8,0
validation,historical_training_fullH144,9,0
validation,historical_training_fullH144,10,0
validation,historical_training_fullH144,11,0
validation,historical_training_fullH144,12,0
validation,historical_training_fullH144,13,0
validation,historical_training_fullH144,14,0
validation,historical_training_fullH144,15,0
validation,historical_training_fullH144,16,0
validation,historical_training_fullH144,17,0
validation,historical_training_fullH144,18,189
validation,historical_training_fullH144,19,256
validation,historical_training_fullH144,20,252
validation,historical_training_fullH144,21,252
validation,historical_training_fullH144,22,252
validation,historical_training_fullH144,23,252
test,all_grid_origins,0,288
test,all_grid_origins,1,288
test,all_grid_origins,2,288
test,all_grid_origins,3,288
test,all_grid_origins,4,288
test,all_grid_origins,5,288
test,all_grid_origins,6,288
test,all_grid_origins,7,288
test,all_grid_origins,8,288
