split,support,month,origins
train,all_grid_origins,2018-04,8640
train,all_grid_origins,2018-05,8928
train,all_grid_origins,2018-06,8640
train,all_grid_origins,2018-07,4320
train,H12_support,2018-04,8127
train,H12_support,2018-05,8461
train,H12_support,2018-06,8189
train,H12_support,2018-07,3174
train,common_H144,2018-04,3934
train,common_H144,2018-05,4030
train,common_H144,2018-06,3993
train,common_H144,2018-07,691
train,H12_removed_by_H144,2018-04,4193
train,H12_removed_by_H144,2018-05,4431
train,H12_removed_by_H144,2018-06,4196
train,H12_removed_by_H144,2018-07,2483
train,historical_training_fullH144,2018-04,3964
train,historical_training_fullH144,2018-05,4060
train,historical_training_fullH144,2018-06,4021
train,historical_training_fullH144,2018-07,702
validation,all_grid_origins,2018-07,4608
validation,all_grid_origins,2018-08,2016
validation,H12_support,2018-07,4284
validation,H12_support,2018-08,1910
validation,common_H144,2018-07,2045
validation,common_H144,2018-08,932
validation,H12_removed_by_H144,2018-07,2239
validation,H12_removed_by_H144,2018-08,978
validation,historical_training_fullH144,2018-07,2061
validation,historical_training_fullH144,2018-08,938
test,all_grid_origins,2018-08,6912
test,H12_support,2018-08,6463
test,common_H144,2018-08,2996
test,H12_removed_by_H144,2018-08,3467
test,historical_training_fullH144,2018-08,3019
