split,timestamp,hour,power
train,2018-04-01 18:40:00,18,-0.0026
train,2018-04-02 18:40:00,18,-0.002333333
train,2018-04-03 18:35:00,18,-0.0005
train,2018-04-03 18:40:00,18,-0.004166667
train,2018-04-04 18:35:00,18,-0.005766666
train,2018-04-04 18:40:00,18,-0.004233333
train,2018-04-05 18:30:00,18,-0.000133333
train,2018-04-05 18:35:00,18,-0.005333333
train,2018-04-06 18:30:00,18,-0.000333333
train,2018-04-06 18:35:00,18,-0.007566667
train,2018-04-06 18:40:00,18,-0.0007
train,2018-04-07 18:30:00,18,-0.000266667
train,2018-04-07 18:35:00,18,-0.0066
train,2018-04-08 18:30:00,18,-0.001833333
train,2018-04-08 18:35:00,18,-0.008166666
train,2018-04-09 18:30:00,18,-0.000333333
train,2018-04-09 18:35:00,18,-0.001266667
train,2018-04-10 18:20:00,18,-0.0028
train,2018-04-11 18:25:00,18,-0.002133333
train,2018-04-12 18:30:00,18,-0.002933333
train,2018-04-13 18:25:00,18,-0.007366668
train,2018-04-13 18:30:00,18,-0.008166666
train,2018-04-14 18:25:00,18,-0.0053
train,2018-04-14 18:30:00,18,-0.0055
train,2018-04-15 18:25:00,18,-0.0053
train,2018-04-15 18:30:00,18,-0.002366666
train,2018-04-16 18:25:00,18,-0.002066667
train,2018-04-17 18:20:00,18,-0.0002
train,2018-04-17 18:25:00,18,-0.003666667
train,2018-04-18 18:20:00,18,-6.67e-05
train,2018-04-18 18:25:00,18,-0.004266667
train,2018-04-19 18:20:00,18,-0.008166667
train,2018-04-20 18:15:00,18,-0.0002
train,2018-04-20 18:20:00,18,-0.006266667
train,2018-04-21 18:20:00,18,-0.0032
train,2018-04-21 18:25:00,18,-0.0008
train,2018-04-22 18:20:00,18,-0.0001
train,2018-04-22 18:25:00,18,-0.000633333
train,2018-04-23 18:20:00,18,-0.001833333
train,2018-04-23 18:25:00,18,-0.004033334
train,2018-04-24 18:20:00,18,-0.002133333
train,2018-04-25 07:00:00,7,-0.000133333
train,2018-04-25 18:15:00,18,-0.0011
train,2018-04-25 18:20:00,18,-0.0027
train,2018-04-26 18:05:00,18,-0.002133333
train,2018-04-27 18:15:00,18,-0.002433333
train,2018-04-27 18:20:00,18,-0.0027
train,2018-04-28 18:15:00,18,-0.004433333
train,2018-04-28 18:20:00,18,-3.33e-05
train,2018-04-29 18:10:00,18,-0.000166667
train,2018-04-29 18:15:00,18,-0.006033334
train,2018-04-29 18:20:00,18,-0.002433333
train,2018-04-30 18:05:00,18,-6.67e-05
train,2018-04-30 18:10:00,18,-0.006133333
train,2018-04-30 18:15:00,18,-0.004533333
train,2018-05-01 18:15:00,18,-0.003466667
train,2018-05-02 18:05:00,18,-0.0067
train,2018-05-02 18:10:00,18,-0.001166667
train,2018-05-03 18:00:00,18,-0.007666666
train,2018-05-04 18:10:00,18,-0.000866667
train,2018-05-04 18:15:00,18,-0.001933333
train,2018-05-05 07:05:00,7,-0.000133333
train,2018-05-05 18:10:00,18,-0.0049
train,2018-05-05 18:15:00,18,-0.003499999
train,2018-05-06 18:10:00,18,-0.003033334
train,2018-05-06 18:15:00,18,-0.002833334
train,2018-05-07 07:05:00,7,-0.000133333
train,2018-05-07 18:10:00,18,-0.003633333
train,2018-05-07 18:15:00,18,-0.001166667
train,2018-05-08 18:05:00,18,-0.000266667
train,2018-05-08 18:10:00,18,-0.005166667
train,2018-05-08 18:15:00,18,-0.008366668
train,2018-05-09 18:10:00,18,-0.002733333
train,2018-05-10 18:10:00,18,-0.003933333
train,2018-05-11 18:05:00,18,-0.000466667
train,2018-05-11 18:10:00,18,-0.005933333
train,2018-05-12 18:05:00,18,-0.0002
train,2018-05-12 18:10:00,18,-0.005333334
train,2018-05-14 18:05:00,18,-0.0009
train,2018-05-14 18:10:00,18,-0.0055
train,2018-05-15 18:05:00,18,-6.67e-05
train,2018-05-15 18:10:00,18,-0.001666667
train,2018-05-16 18:05:00,18,-0.000266667
train,2018-05-17 18:05:00,18,-0.003366667
train,2018-05-17 18:10:00,18,-0.001966667
train,2018-05-18 18:00:00,18,-0.000333333
train,2018-05-18 18:05:00,18,-0.0016
train,2018-05-19 18:00:00,18,-0.0002
train,2018-05-19 18:05:00,18,-0.007900001
train,2018-05-19 18:10:00,18,-0.001766667
train,2018-05-20 18:05:00,18,-0.004266667
train,2018-05-21 18:05:00,18,-0.001333333
train,2018-05-22 17:55:00,17,-3.33e-05
train,2018-05-22 18:00:00,18,-0.002433333
train,2018-05-23 17:50:00,17,-0.005633334
train,2018-05-23 17:55:00,17,-0.0079
train,2018-05-23 18:10:00,18,-0.002733333
train,2018-05-24 07:15:00,7,-6.67e-05
train,2018-05-24 18:05:00,18,-0.000733333
train,2018-05-25 18:00:00,18,-0.003433333
train,2018-05-25 18:05:00,18,-0.0007
train,2018-05-26 18:10:00,18,-0.002266667
train,2018-05-27 17:50:00,17,-0.004733333
train,2018-05-28 18:05:00,18,-0.0026
train,2018-05-29 18:00:00,18,-0.0011
train,2018-05-29 18:05:00,18,-0.001566667
train,2018-05-30 18:00:00,18,-0.001566667
train,2018-05-30 18:05:00,18,-0.0025
train,2018-05-31 07:25:00,7,-0.000133333
train,2018-05-31 18:00:00,18,-0.000466667
train,2018-05-31 18:05:00,18,-0.001966667
train,2018-05-31 18:10:00,18,-0.0039
train,2018-06-02 18:00:00,18,-0.000133333
train,2018-06-02 18:05:00,18,-0.001
train,2018-06-03 18:00:00,18,-0.001133333
train,2018-06-03 18:05:00,18,-0.003
train,2018-06-04 18:05:00,18,-0.001866667
train,2018-06-05 18:00:00,18,-0.002
train,2018-06-05 18:05:00,18,-0.0012
train,2018-06-06 18:00:00,18,-0.002033333
train,2018-06-06 18:05:00,18,-0.0001
train,2018-06-07 17:55:00,17,-0.000266667
train,2018-06-07 18:00:00,18,-0.004966666
train,2018-06-08 17:55:00,17,-0.000266667
train,2018-06-08 18:00:00,18,-0.008433334
train,2018-06-08 18:05:00,18,-0.005966666
train,2018-06-09 07:20:00,7,-0.000133333
train,2018-06-09 08:55:00,8,-2.18e-11
train,2018-06-09 17:55:00,17,-0.000366667
train,2018-06-09 18:00:00,18,-0.007466666
train,2018-06-10 17:55:00,17,-0.0025
train,2018-06-10 18:00:00,18,-0.01
train,2018-06-10 18:05:00,18,-0.003566666
train,2018-06-11 17:55:00,17,-0.001133333
train,2018-06-12 17:50:00,17,-0.000166667
train,2018-06-12 17:55:00,17,-0.0061
train,2018-06-12 18:00:00,18,-0.003433333
train,2018-06-13 07:25:00,7,-0.0001
train,2018-06-13 18:00:00,18,-0.001833333
train,2018-06-13 18:05:00,18,-0.001333333
train,2018-06-15 18:00:00,18,-0.001166667
train,2018-06-15 18:05:00,18,-0.0037
train,2018-06-16 18:00:00,18,-0.000333333
train,2018-06-16 18:05:00,18,-0.0032
train,2018-06-17 18:00:00,18,-0.001633333
train,2018-06-17 18:05:00,18,-0.004633334
train,2018-06-18 18:05:00,18,-0.002266667
train,2018-06-19 18:00:00,18,-0.003
train,2018-06-19 18:05:00,18,-0.003766667
train,2018-06-20 18:05:00,18,-0.001933333
train,2018-06-21 18:00:00,18,-0.000966667
train,2018-06-21 18:05:00,18,-0.004766667
train,2018-06-22 18:05:00,18,-0.001933333
train,2018-06-23 18:00:00,18,-0.006433333
train,2018-06-23 18:05:00,18,-0.0004
train,2018-06-24 18:05:00,18,-0.004733333
train,2018-06-25 07:25:00,7,-0.000133333
train,2018-06-25 18:05:00,18,-0.0064
train,2018-06-26 07:25:00,7,-0.000133333
train,2018-06-26 18:05:00,18,-0.004133334
train,2018-06-27 18:05:00,18,-0.004033334
