split,support,h,bin_left,bin_right,target_pairs
train,all_grid_origins,12,-inf,-0.01,0
train,all_grid_origins,12,-0.01,0.0,2364
train,all_grid_origins,12,0.0,0.060368347169999996,198102
train,all_grid_origins,12,0.060368347169999996,0.1,1656
train,all_grid_origins,12,0.1,0.5,9624
train,all_grid_origins,12,0.5,1.0,9852
train,all_grid_origins,12,1.0,2.0,21600
train,all_grid_origins,12,2.0,3.0,23004
train,all_grid_origins,12,3.0,4.0,29208
train,all_grid_origins,12,4.0,5.0,53220
train,all_grid_origins,12,5.0,6.0,7356
train,all_grid_origins,12,6.0,inf,12
train,all_grid_origins,144,-inf,-0.01,0
train,all_grid_origins,144,-0.01,0.0,28368
train,all_grid_origins,144,0.0,0.060368347169999996,2369431
train,all_grid_origins,144,0.060368347169999996,0.1,19872
train,all_grid_origins,144,0.1,0.5,115262
train,all_grid_origins,144,0.5,1.0,118065
train,all_grid_origins,144,1.0,2.0,258820
train,all_grid_origins,144,2.0,3.0,275696
train,all_grid_origins,144,3.0,4.0,350177
train,all_grid_origins,144,4.0,5.0,638365
train,all_grid_origins,144,5.0,6.0,88272
train,all_grid_origins,144,6.0,inf,144
train,H12_support,12,-inf,-0.01,0
train,H12_support,12,-0.01,0.0,0
train,H12_support,12,0.0,0.060368347169999996,185017
train,H12_support,12,0.060368347169999996,0.1,1090
train,H12_support,12,0.1,0.5,7054
train,H12_support,12,0.5,1.0,8706
train,H12_support,12,1.0,2.0,21115
train,H12_support,12,2.0,3.0,22863
train,H12_support,12,3.0,4.0,29132
train,H12_support,12,4.0,5.0,53067
train,H12_support,12,5.0,6.0,7356
train,H12_support,12,6.0,inf,12
train,H12_support,144,-inf,-0.01,0
train,H12_support,144,-0.01,0.0,25328
train,H12_support,144,0.0,0.060368347169999996,2165441
train,H12_support,144,0.060368347169999996,0.1,19081
train,H12_support,144,0.1,0.5,111109
train,H12_support,144,0.5,1.0,115268
train,H12_support,144,1.0,2.0,253489
train,H12_support,144,2.0,3.0,268922
train,H12_support,144,3.0,4.0,341725
train,H12_support,144,4.0,5.0,620432
train,H12_support,144,5.0,6.0,87274
train,H12_support,144,6.0,inf,144
train,common_H144,12,-inf,-0.01,0
train,common_H144,12,-0.01,0.0,0
train,common_H144,12,0.0,0.060368347169999996,147102
train,common_H144,12,0.060368347169999996,0.1,98
train,common_H144,12,0.1,0.5,374
train,common_H144,12,0.5,1.0,170
train,common_H144,12,1.0,2.0,552
train,common_H144,12,2.0,3.0,660
train,common_H144,12,3.0,4.0,876
train,common_H144,12,4.0,5.0,1656
train,common_H144,12,5.0,6.0,288
train,common_H144,12,6.0,inf,0
train,common_H144,144,-inf,-0.01,0
train,common_H144,144,-0.01,0.0,0
train,common_H144,144,0.0,0.060368347169999996,1085257
train,common_H144,144,0.060368347169999996,0.1,9429
train,common_H144,144,0.1,0.5,46010
train,common_H144,144,0.5,1.0,44590
train,common_H144,144,1.0,2.0,102034
train,common_H144,144,2.0,3.0,108608
train,common_H144,144,3.0,4.0,137273
train,common_H144,144,4.0,5.0,246829
train,common_H144,144,5.0,6.0,41205
train,common_H144,144,6.0,inf,77
train,H12_removed_by_H144,12,-inf,-0.01,0
train,H12_removed_by_H144,12,-0.01,0.0,0
train,H12_removed_by_H144,12,0.0,0.060368347169999996,37915
train,H12_removed_by_H144,12,0.060368347169999996,0.1,992
train,H12_removed_by_H144,12,0.1,0.5,6680
train,H12_removed_by_H144,12,0.5,1.0,8536
train,H12_removed_by_H144,12,1.0,2.0,20563
train,H12_removed_by_H144,12,2.0,3.0,22203
train,H12_removed_by_H144,12,3.0,4.0,28256
train,H12_removed_by_H144,12,4.0,5.0,51411
train,H12_removed_by_H144,12,5.0,6.0,7068
train,H12_removed_by_H144,12,6.0,inf,12
train,H12_removed_by_H144,144,-inf,-0.01,0
train,H12_removed_by_H144,144,-0.01,0.0,25328
train,H12_removed_by_H144,144,0.0,0.060368347169999996,1080184
train,H12_removed_by_H144,144,0.060368347169999996,0.1,9652
train,H12_removed_by_H144,144,0.1,0.5,65099
train,H12_removed_by_H144,144,0.5,1.0,70678
train,H12_removed_by_H144,144,1.0,2.0,151455
train,H12_removed_by_H144,144,2.0,3.0,160314
train,H12_removed_by_H144,144,3.0,4.0,204452
train,H12_removed_by_H144,144,4.0,5.0,373603
train,H12_removed_by_H144,144,5.0,6.0,46069
train,H12_removed_by_H144,144,6.0,inf,67
train,historical_training_fullH144,12,-inf,-0.01,0
train,historical_training_fullH144,12,-0.01,0.0,0
train,historical_training_fullH144,12,0.0,0.060368347169999996,148290
train,historical_training_fullH144,12,0.060368347169999996,0.1,98
train,historical_training_fullH144,12,0.1,0.5,374
train,historical_training_fullH144,12,0.5,1.0,170
train,historical_training_fullH144,12,1.0,2.0,552
train,historical_training_fullH144,12,2.0,3.0,660
train,historical_training_fullH144,12,3.0,4.0,876
train,historical_training_fullH144,12,4.0,5.0,1656
train,historical_training_fullH144,12,5.0,6.0,288
train,historical_training_fullH144,12,6.0,inf,0
train,historical_training_fullH144,144,-inf,-0.01,0
train,historical_training_fullH144,144,-0.01,0.0,0
train,historical_training_fullH144,144,0.0,0.060368347169999996,1099513
train,historical_training_fullH144,144,0.060368347169999996,0.1,9429
train,historical_training_fullH144,144,0.1,0.5,46010
train,historical_training_fullH144,144,0.5,1.0,44590
train,historical_training_fullH144,144,1.0,2.0,102034
train,historical_training_fullH144,144,2.0,3.0,108608
train,historical_training_fullH144,144,3.0,4.0,137273
train,historical_training_fullH144,144,4.0,5.0,246829
train,historical_training_fullH144,144,5.0,6.0,41205
train,historical_training_fullH144,144,6.0,inf,77
validation,all_grid_origins,12,-inf,-0.01,12
validation,all_grid_origins,12,-0.01,0.0,516
validation,all_grid_origins,12,0.0,0.060368347169999996,44478
validation,all_grid_origins,12,0.060368347169999996,0.1,288
validation,all_grid_origins,12,0.1,0.5,1992
validation,all_grid_origins,12,0.5,1.0,2256
validation,all_grid_origins,12,1.0,2.0,4644
validation,all_grid_origins,12,2.0,3.0,5208
validation,all_grid_origins,12,3.0,4.0,6876
validation,all_grid_origins,12,4.0,5.0,12564
validation,all_grid_origins,12,5.0,6.0,540
validation,all_grid_origins,12,6.0,inf,0
validation,all_grid_origins,144,-inf,-0.01,144
validation,all_grid_origins,144,-0.01,0.0,6192
validation,all_grid_origins,144,0.0,0.060368347169999996,525610
validation,all_grid_origins,144,0.060368347169999996,0.1,3456
validation,all_grid_origins,144,0.1,0.5,23751
validation,all_grid_origins,144,0.5,1.0,26975
validation,all_grid_origins,144,1.0,2.0,55380
validation,all_grid_origins,144,2.0,3.0,62151
validation,all_grid_origins,144,3.0,4.0,82213
validation,all_grid_origins,144,4.0,5.0,150632
validation,all_grid_origins,144,5.0,6.0,6480
validation,all_grid_origins,144,6.0,inf,0
validation,H12_support,12,-inf,-0.01,0
validation,H12_support,12,-0.01,0.0,0
validation,H12_support,12,0.0,0.060368347169999996,40910
validation,H12_support,12,0.060368347169999996,0.1,179
validation,H12_support,12,0.1,0.5,1618
