split,h,population,mode,cause,count
train,12,all_grid_origins,overlap,boundary,83
train,12,all_grid_origins,overlap,future_missing_nonfinite,888
train,12,all_grid_origins,overlap,future_negative,1486
train,12,all_grid_origins,overlap,origin_invalid,1052
train,12,all_grid_origins,overlap,daily_any_unavailable,2648
train,12,all_grid_origins,exclusive,boundary,83
train,12,all_grid_origins,exclusive,future_missing_nonfinite,888
train,12,all_grid_origins,exclusive,future_negative,1486
train,12,all_grid_origins,exclusive,origin_invalid,120
train,12,all_grid_origins,exclusive,retained,27951
train,144,all_grid_origins,overlap,boundary,215
train,144,all_grid_origins,overlap,future_missing_nonfinite,1284
train,144,all_grid_origins,overlap,future_negative,16564
train,144,all_grid_origins,overlap,origin_invalid,1052
train,144,all_grid_origins,overlap,daily_any_unavailable,17783
train,144,all_grid_origins,exclusive,boundary,215
train,144,all_grid_origins,exclusive,future_missing_nonfinite,1284
train,144,all_grid_origins,exclusive,future_negative,16282
train,144,all_grid_origins,exclusive,origin_invalid,99
train,144,all_grid_origins,exclusive,retained,12648
train,144,H12_support,exclusive,boundary,118
train,144,H12_support,exclusive,future_missing_nonfinite,383
train,144,H12_support,exclusive,future_negative,14802
train,144,H12_support,exclusive,origin_invalid,0
train,144,H12_support,exclusive,retained,12648
train,144,H12_support,overlap,boundary,118
train,144,H12_support,overlap,future_missing_nonfinite,383
train,144,H12_support,overlap,future_negative,14952
train,144,H12_support,overlap,origin_invalid,0
train,144,H12_support,overlap,daily_any_unavailable,15381
validation,12,all_grid_origins,overlap,boundary,83
validation,12,all_grid_origins,overlap,future_missing_nonfinite,14
validation,12,all_grid_origins,overlap,future_negative,308
validation,12,all_grid_origins,overlap,origin_invalid,47
validation,12,all_grid_origins,overlap,daily_any_unavailable,321
validation,12,all_grid_origins,exclusive,boundary,83
validation,12,all_grid_origins,exclusive,future_missing_nonfinite,14
validation,12,all_grid_origins,exclusive,future_negative,308
validation,12,all_grid_origins,exclusive,origin_invalid,25
validation,12,all_grid_origins,exclusive,retained,6194
validation,144,all_grid_origins,overlap,boundary,215
validation,144,all_grid_origins,overlap,future_missing_nonfinite,146
validation,144,all_grid_origins,overlap,future_negative,3463
validation,144,all_grid_origins,overlap,origin_invalid,47
validation,144,all_grid_origins,overlap,daily_any_unavailable,3486
validation,144,all_grid_origins,exclusive,boundary,215
validation,144,all_grid_origins,exclusive,future_missing_nonfinite,146
validation,144,all_grid_origins,exclusive,future_negative,3264
validation,144,all_grid_origins,exclusive,origin_invalid,22
validation,144,all_grid_origins,exclusive,retained,2977
validation,144,H12_support,exclusive,boundary,117
validation,144,H12_support,exclusive,future_missing_nonfinite,132
validation,144,H12_support,exclusive,future_negative,2968
validation,144,H12_support,exclusive,origin_invalid,0
validation,144,H12_support,exclusive,retained,2977
validation,144,H12_support,overlap,boundary,117
validation,144,H12_support,overlap,future_missing_nonfinite,132
validation,144,H12_support,overlap,future_negative,3139
validation,144,H12_support,overlap,origin_invalid,0
validation,144,H12_support,overlap,daily_any_unavailable,3164
test,12,all_grid_origins,overlap,boundary,83
test,12,all_grid_origins,overlap,future_missing_nonfinite,0
test,12,all_grid_origins,overlap,future_negative,340
test,12,all_grid_origins,overlap,origin_invalid,54
test,12,all_grid_origins,overlap,daily_any_unavailable,340
test,12,all_grid_origins,exclusive,boundary,83
test,12,all_grid_origins,exclusive,future_negative,340
test,12,all_grid_origins,exclusive,origin_invalid,26
test,12,all_grid_origins,exclusive,retained,6463
test,144,all_grid_origins,overlap,boundary,215
test,144,all_grid_origins,overlap,future_missing_nonfinite,0
test,144,all_grid_origins,overlap,future_negative,3757
test,144,all_grid_origins,overlap,origin_invalid,54
test,144,all_grid_origins,overlap,daily_any_unavailable,3757
test,144,all_grid_origins,exclusive,boundary,215
test,144,all_grid_origins,exclusive,future_negative,3678
test,144,all_grid_origins,exclusive,origin_invalid,23
test,144,all_grid_origins,exclusive,retained,2996
test,144,H12_support,exclusive,boundary,117
test,144,H12_support,exclusive,future_negative,3350
test,144,H12_support,exclusive,origin_invalid,0
test,144,H12_support,exclusive,retained,2996
test,144,H12_support,overlap,boundary,117
test,144,H12_support,overlap,future_missing_nonfinite,0
test,144,H12_support,overlap,future_negative,3415
test,144,H12_support,overlap,origin_invalid,0
test,144,H12_support,overlap,daily_any_unavailable,3425
