split,support,h,origins,in_split_target_pairs,finite_target_pairs,valid_target_pairs,power_active_pairs,power_active_fraction,unique_physical_targets,unique_valid_physical_targets,unique_active_physical_targets,active_origins,negative_target_pairs,missing_target_pairs,power_min,power_median,power_p95,power_max
train,all_grid_origins,12,30528,366258,355998,353634,155532,0.4398106516907311,30527,29475,12961,14116,2364,10260,-0.01,0.0,4.807766914,6.036834717
train,all_grid_origins,144,30528,4385592,4262472,4234104,1864673,0.4403937645367237,30527,29475,12961,27786,28368,123120,-0.01,0.0,4.808066845,6.036834717
train,H12_support,12,27951,335412,335412,335412,150395,0.4483888471491777,29282,29282,12959,13083,0,0,0.0,0.0,4.819133759,6.036834717
train,H12_support,144,27951,4017139,4008213,3982885,1817444,0.45631345117923316,29739,29403,12961,26509,25328,8926,-0.01,0.0,4.816866875,6.036834717
train,common_H144,12,12648,151776,151776,151776,4674,0.03079538266919671,13748,13748,453,486,0,0,0.0,0.0,0.0,5.208100319
train,common_H144,144,12648,1821312,1821312,1821312,736055,0.40413449205847213,26948,26948,10756,11303,0,0,0.0,0.0,4.812866688,6.036834717
train,H12_removed_by_H144,12,15303,183636,183636,183636,145721,0.7935317693698404,16634,16634,12588,12597,0,0,0.0,2.782633781,4.945466518,6.036834717
train,H12_removed_by_H144,144,15303,2195827,2186901,2161573,1081389,0.5002787322010406,27824,27488,12590,15206,25328,8926,-0.01,0.03326666,4.819000244,6.036834717
train,historical_training_fullH144,12,12747,152964,152964,152964,4674,0.030556209304149998,13847,13847,453,486,0,0,0.0,0.0,0.0,5.208100319
train,historical_training_fullH144,144,12747,1835568,1835568,1835568,736055,0.400995768067432,27047,27047,10756,11303,0,0,0.0,0.0,4.811266422,6.036834717
validation,all_grid_origins,12,6624,79410,79374,78846,34368,0.4358876797808386,6623,6576,2864,3122,528,36,-0.0113,0.0,4.617733955,5.199599266
validation,all_grid_origins,144,6624,943416,942984,936648,411038,0.43883935053509965,6623,6576,2864,6106,6336,432,-0.0113,0.0,4.619934082,5.199599266
validation,H12_support,12,6194,74328,74328,74328,33418,0.44960176514906897,6480,6480,2864,2921,0,0,0.0,0.0,4.639066219,5.199599266
validation,H12_support,144,6194,884223,883830,878087,402092,0.45791817895037734,6552,6505,2864,5832,5743,393,-0.0113,0.0,4.638667107,5.199599266
validation,common_H144,12,2977,35724,35724,35724,0,0.0,3230,3230,0,0,0,0,0.0,0.0,0.0,0.0
validation,common_H144,144,2977,428688,428688,428688,171340,0.39968461911693354,6266,6266,2722,2671,0,0,0.0,0.0,4.601941561949901,5.199599266
validation,H12_removed_by_H144,12,3217,38604,38604,38604,33418,0.8656615894725935,3503,3503,2864,2921,0,0,0.0,3.116899967,4.788733482,5.199599266
validation,H12_removed_by_H144,144,3217,455535,455142,449399,230752,0.5134679872451875,6289,6242,2864,3161,5743,393,-0.0113,0.132666662,4.664700031,5.199599266
validation,historical_training_fullH144,12,2999,35988,35988,35988,0,0.0,3252,3252,0,0,0,0,0.0,0.0,0.0,0.0
validation,historical_training_fullH144,144,2999,431856,431856,431856,171340,0.3967526212441184,6288,6288,2722,2671,0,0,0.0,0.0,4.599933147,5.199599266
test,all_grid_origins,12,6912,82866,82866,82218,37596,0.45727213019046925,6911,6857,3133,3397,648,0,-0.010933333,0.0,4.964933395,5.310266972
test,all_grid_origins,144,6912,984888,984888,977112,449612,0.46014377062199624,6911,6857,3133,6510,7776,0,-0.010933333,0.0,4.967133522,5.310266972
test,H12_support,12,6463,77556,77556,77556,36504,0.47067925112177006,6760,6760,3133,3173,0,0,0.0,0.0,4.973133087,5.310266972
test,H12_support,144,6463,922989,922989,915925,438761,0.4790359472664247,6840,6786,3133,6211,7064,0,-0.010933333,0.0,4.973534107,5.310266972
test,common_H144,12,2996,35952,35952,35952,42,0.0011682242990654205,3260,3260,25,25,0,0,0.0,0.0,0.0,0.269933373
test,common_H144,144,2996,431424,431424,431424,187950,0.43565031152647976,6428,6428,2869,2800,0,0,0.0,0.0,4.967867374,5.310266972
test,H12_removed_by_H144,12,3467,41604,41604,41604,36462,0.8764061147966542,3764,3764,3133,3148,0,0,0.0,3.433133602,5.07859993,5.310266972
test,H12_removed_by_H144,144,3467,491565,491565,484501,250811,0.5176686941822618,6562,6508,3133,3411,7064,0,-0.010933333,0.200466648,4.978000641,5.310266972
test,historical_training_fullH144,12,3019,36228,36228,36228,42,0.0011593242795627692,3283,3283,25,25,0,0,0.0,0.0,0.0,0.269933373
test,historical_training_fullH144,144,3019,434736,434736,434736,187950,0.43233134592028266,6451,6451,2869,2800,0,0,0.0,0.0,4.966933727,5.310266972
