site,scope,block_hours,blocks,nonempty_blocks,points,reference,rmse_B,rmse_reference,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,replicates,valid_replicates
Sanyo,full,24,24,24,598317,Ridge A,0.2119271373577942,0.9137155813137657,-0.7017884439559715,-0.7594818041376257,-0.6430069425457821,0.7680600597255007,0.7425187756101757,0.7901199025083645,2000,2000
Sanyo,full,24,24,24,598317,Daily,0.2119271373577942,0.1181415952926917,0.09378554206510249,0.057715925702767235,0.1499185432138241,-0.7938401528500785,-3.263161101329335,-0.3202999149128137,2000,2000
Sanyo,full,24,24,24,598317,Inverted42,0.2119271373577942,0.7806551435120445,-0.5687280061542502,-0.637609594799992,-0.5022812841398411,0.7285265598784536,0.7020905082045725,0.7538007172841213,2000,2000
Sanyo,full,24,24,24,598317,Inverted43,0.2119271373577942,0.7635701318466523,-0.5516429944888581,-0.6191387713928542,-0.4901817878158223,0.7224522954489326,0.7001019424438019,0.7461644242558008,2000,2000
Sanyo,full,24,24,24,598317,Inverted44,0.2119271373577942,0.7817965305049881,-0.5698693931471939,-0.6436738014170887,-0.4964842420778464,0.7289228986205611,0.7055416006552967,0.7521085665385585,2000,2000
Sanyo,full,24,24,24,598317,Inverted mean,0.2119271373577942,0.7753406019545617,-0.5634134645967674,-0.6323402740489553,-0.49808336698052935,0.7266339179826492,0.702513426226715,0.7506253537920912,2000,2000
Sanyo,full,48,12,12,598317,Ridge A,0.2119271373577942,0.9137155813137657,-0.7017884439559715,-0.7675325646882152,-0.6360635048373143,0.7680600597255007,0.7351356023920602,0.7944824390491089,2000,2000
Sanyo,full,48,12,12,598317,Daily,0.2119271373577942,0.11814159529269169,0.0937855420651025,0.04495357263848778,0.1562704724449419,-0.7938401528500787,-3.4385798381780375,-0.22001791056838796,2000,2000
Sanyo,full,48,12,12,598317,Inverted42,0.2119271373577942,0.7806551435120445,-0.5687280061542502,-0.6460097089348109,-0.4851563484398379,0.7285265598784536,0.6935008034073993,0.7551412880942152,2000,2000
Sanyo,full,48,12,12,598317,Inverted43,0.2119271373577942,0.7635701318466523,-0.5516429944888581,-0.626744197850087,-0.47140371238323714,0.7224522954489326,0.6933870030219689,0.7473261713056305,2000,2000
Sanyo,full,48,12,12,598317,Inverted44,0.2119271373577942,0.781796530504988,-0.5698693931471938,-0.65442481533277,-0.47595557901337915,0.7289228986205611,0.6976271964402414,0.753206437032708,2000,2000
Sanyo,full,48,12,12,598317,Inverted mean,0.2119271373577942,0.7753406019545616,-0.5634134645967673,-0.6398486101533923,-0.47841238224260524,0.7266339179826492,0.6947765612322687,0.7517015378175604,2000,2000
Sanyo,full,72,8,8,598317,Ridge A,0.21192713735779425,0.9137155813137657,-0.7017884439559715,-0.7524749991541279,-0.6471545231554764,0.7680600597255007,0.7316590081433811,0.7961313439029009,2000,2000
Sanyo,full,72,8,8,598317,Daily,0.21192713735779425,0.11814159529269169,0.09378554206510256,0.055770026733561816,0.14735616098553395,-0.7938401528500791,-3.205103221087272,-0.2752928618090039,2000,2000
Sanyo,full,72,8,8,598317,Inverted42,0.21192713735779425,0.7806551435120443,-0.5687280061542501,-0.6303711012919948,-0.5120391496627459,0.7285265598784535,0.6967402489839019,0.7547765571469853,2000,2000
Sanyo,full,72,8,8,598317,Inverted43,0.21192713735779425,0.7635701318466521,-0.5516429944888579,-0.6212930042293303,-0.49469497534596824,0.7224522954489325,0.6973959563241878,0.7465192571800939,2000,2000
Sanyo,full,72,8,8,598317,Inverted44,0.21192713735779425,0.781796530504988,-0.5698693931471938,-0.6486837555768713,-0.5008259591854278,0.7289228986205611,0.7049060198500097,0.7517215114373093,2000,2000
Sanyo,full,72,8,8,598317,Inverted mean,0.21192713735779425,0.7753406019545616,-0.5634134645967673,-0.6332979249292068,-0.503289628720384,0.726633917982649,0.6998886957684949,0.7507797928227118,2000,2000
Sanyo,power-active,24,24,24,259345,Ridge A,0.29890623940611016,1.2497705414774407,-0.9508643020713305,-1.0297287433717865,-0.8762596705243871,0.7608311050020812,0.7318403419408264,0.7875290127130541,2000,2000
Sanyo,power-active,24,24,24,259345,Daily,0.29890623940611016,0.17941654249698694,0.11948969690912323,0.06669682430708161,0.20407085830106655,-0.6659904111747661,-2.898844345958196,-0.24578218664745402,2000,2000
Sanyo,power-active,24,24,24,259345,Inverted42,0.29890623940611016,1.0700470615121425,-0.7711408221060323,-0.8638187552768147,-0.6825993870995479,0.7206606604912225,0.6855482093924806,0.7529220877363216,2000,2000
Sanyo,power-active,24,24,24,259345,Inverted43,0.29890623940611016,1.0263402883927968,-0.7274340489866866,-0.8128675832459282,-0.64721113706611,0.7087649751388168,0.6774948670961153,0.740373154680776,2000,2000
Sanyo,power-active,24,24,24,259345,Inverted44,0.29890623940611016,1.0753456872646974,-0.7764394478585872,-0.8762137028501124,-0.6781521060940557,0.7220370686877232,0.691315811174508,0.7517543204983472,2000,2000
Sanyo,power-active,24,24,24,259345,Inverted mean,0.29890623940611016,1.0572443457232124,-0.7583381063171022,-0.8481810112639486,-0.6699545019262729,0.7171542347725874,0.6847652395540549,0.7477643202196096,2000,2000
Sanyo,power-active,48,12,12,259345,Ridge A,0.2989062394061102,1.2497705414774407,-0.9508643020713305,-1.037262035162599,-0.869295197699032,0.7608311050020812,0.7218575060131468,0.7933254699414198,2000,2000
Sanyo,power-active,48,12,12,259345,Daily,0.2989062394061102,0.17941654249698694,0.11948969690912328,0.0495660961709126,0.21427601147007835,-0.6659904111747663,-3.073388783817826,-0.16114199334296025,2000,2000
Sanyo,power-active,48,12,12,259345,Inverted42,0.2989062394061102,1.0700470615121427,-0.7711408221060325,-0.87364616839876,-0.6626401680941507,0.7206606604912225,0.6739165616614355,0.7555488232299282,2000,2000
Sanyo,power-active,48,12,12,259345,Inverted43,0.2989062394061102,1.0263402883927963,-0.7274340489866862,-0.8222310789075179,-0.6244029798644508,0.7087649751388165,0.6682128853749777,0.7426795456104829,2000,2000
