site,scope,origins,points,unique_target_timestamps,support,anchor,coordinate,target_index_sha256
Sanyo,full,4160,598317,6726,common_H144_and_Daily_finite_all_methods,2018-08-08 00:00:00,frozen_Alice,acad0b6eee20007b02c45505b183d19b9238f81df32acbd34a209fb44b6dde46
Sanyo,power-active,3869,259345,3051,common_H144_and_Daily_finite_all_methods,2018-08-08 00:00:00,frozen_Alice,03c072db386500e0af27eef6a896b88b2cf162c4286de37ea64fa6abe3de17ae
Sanyo,low-power,4160,338972,3675,common_H144_and_Daily_finite_all_methods,2018-08-08 00:00:00,frozen_Alice,9cd23b394df2983610f13abec4ad38b75fe2fa5a193ed460973dd69fef3a2225
Hanwha,full,4521,649735,6657,common_H144_and_Daily_finite_all_methods,2018-08-08 00:00:00,frozen_Alice,a50f37fa66472ed1247616b7bbe9811d9e87677ff5ba7d44285bfdeb33e7d959
Hanwha,power-active,4225,287368,2948,common_H144_and_Daily_finite_all_methods,2018-08-08 00:00:00,frozen_Alice,73f2c9af236c45d4164bdd028cf7d533c33fa926d123003e23e4600045483911
Hanwha,low-power,4521,362367,3709,common_H144_and_Daily_finite_all_methods,2018-08-08 00:00:00,frozen_Alice,92b199a4420c307b02c4d871571dc35a8c4e0a911d16f1af53e752d6abc444e7
Qcells,full,2996,431150,6425,common_H144_and_Daily_finite_all_methods,2018-08-08 00:00:00,frozen_Alice,9ab19bd2878adfe5a598fd52d2af3ed143ffdc00190201d7924b670fbdff387f
Qcells,power-active,2800,187950,2869,common_H144_and_Daily_finite_all_methods,2018-08-08 00:00:00,frozen_Alice,b88a38c769f16bf6a14a444b7163fae6e9e2a4cccb79b23cd9647e18664276cd
Qcells,low-power,2996,243200,3556,common_H144_and_Daily_finite_all_methods,2018-08-08 00:00:00,frozen_Alice,1450df0d02f39fa6063c9685cd5e5059c78cee2b405168487943627b45b1213f
YULARA_COMBINED,full,26280,3784320,26423,common_H144_and_Daily_finite_all_methods,2017-10-01 00:00:00,provider_local,26b7a7bf2e548f25581d66ede436aa52064d7b9634075e38d774ada3776825ff
YULARA_COMBINED,power-active,26192,1963842,13722,common_H144_and_Daily_finite_all_methods,2017-10-01 00:00:00,provider_local,1206818aec954583f61da2d55178aafdbbe434a6f7530feefa2f6cb7f92f70b1
YULARA_COMBINED,low-power,25653,1820478,12701,common_H144_and_Daily_finite_all_methods,2017-10-01 00:00:00,provider_local,7dbed78cd84f042d64b0850658979c33c0ee7a8c252b6fcd5230dd2e9c959283
NIST_GROUND,full,21885,3128676,25109,common_H144_and_Daily_finite_all_methods,2017-10-01 00:00:00-05:00,FIXED_EST_LST,2565b2a8f264566e1907102ad61ce3336bf00507f55882fc134d4e68b5b60cca
NIST_GROUND,power-active,18599,1098178,9043,common_H144_and_Daily_finite_all_methods,2017-10-01 00:00:00-05:00,FIXED_EST_LST,02344565063fb42496e531c61f8a2f21b7283c351c15760823292fe8e21059db
NIST_GROUND,low-power,21885,2030498,16066,common_H144_and_Daily_finite_all_methods,2017-10-01 00:00:00-05:00,FIXED_EST_LST,57fa7c9ccd4f5d5e08eab3e258af0a6cd57a867bbdc3c9d9b68d663fb1a6a9e6
