site,split,method_support,hour,origins
Hanwha,train,neural,0,1128
Hanwha,train,neural,1,1128
Hanwha,train,neural,2,1117
Hanwha,train,neural,3,1116
Hanwha,train,neural,4,1116
Hanwha,train,neural,5,1113
Hanwha,train,neural,6,608
Hanwha,train,neural,7,511
Hanwha,train,neural,8,540
Hanwha,train,neural,9,541
Hanwha,train,neural,10,552
Hanwha,train,neural,11,552
Hanwha,train,neural,12,556
Hanwha,train,neural,13,564
Hanwha,train,neural,14,564
Hanwha,train,neural,15,564
Hanwha,train,neural,16,564
Hanwha,train,neural,17,565
Hanwha,train,neural,18,1077
Hanwha,train,neural,19,1175
Hanwha,train,neural,20,1140
Hanwha,train,neural,21,1136
Hanwha,train,neural,22,1128
Hanwha,train,neural,23,1128
Hanwha,train,Ridge,0,1128
Hanwha,train,Ridge,1,1128
Hanwha,train,Ridge,2,1117
Hanwha,train,Ridge,3,1116
Hanwha,train,Ridge,4,1116
Hanwha,train,Ridge,5,1113
Hanwha,train,Ridge,6,608
Hanwha,train,Ridge,7,508
Hanwha,train,Ridge,8,539
Hanwha,train,Ridge,9,540
Hanwha,train,Ridge,10,552
Hanwha,train,Ridge,11,552
Hanwha,train,Ridge,12,555
Hanwha,train,Ridge,13,564
Hanwha,train,Ridge,14,564
Hanwha,train,Ridge,15,564
Hanwha,train,Ridge,16,564
Hanwha,train,Ridge,17,564
Hanwha,train,Ridge,18,1023
Hanwha,train,Ridge,19,1175
Hanwha,train,Ridge,20,1140
Hanwha,train,Ridge,21,1136
Hanwha,train,Ridge,22,1128
Hanwha,train,Ridge,23,1128
Hanwha,validation,neural,0,264
Hanwha,validation,neural,1,264
Hanwha,validation,neural,2,264
Hanwha,validation,neural,3,264
Hanwha,validation,neural,4,255
Hanwha,validation,neural,5,253
Hanwha,validation,neural,6,135
Hanwha,validation,neural,7,96
Hanwha,validation,neural,8,96
Hanwha,validation,neural,9,96
Hanwha,validation,neural,10,96
Hanwha,validation,neural,11,96
Hanwha,validation,neural,12,84
Hanwha,validation,neural,13,84
Hanwha,validation,neural,14,84
Hanwha,validation,neural,15,84
Hanwha,validation,neural,16,91
Hanwha,validation,neural,17,96
Hanwha,validation,neural,18,217
Hanwha,validation,neural,19,264
Hanwha,validation,neural,20,264
Hanwha,validation,neural,21,264
Hanwha,validation,neural,22,264
Hanwha,validation,neural,23,264
Hanwha,validation,Ridge,0,264
Hanwha,validation,Ridge,1,264
Hanwha,validation,Ridge,2,264
Hanwha,validation,Ridge,3,264
Hanwha,validation,Ridge,4,255
Hanwha,validation,Ridge,5,253
Hanwha,validation,Ridge,6,135
Hanwha,validation,Ridge,7,96
Hanwha,validation,Ridge,8,96
Hanwha,validation,Ridge,9,96
Hanwha,validation,Ridge,10,96
Hanwha,validation,Ridge,11,96
Hanwha,validation,Ridge,12,84
Hanwha,validation,Ridge,13,84
Hanwha,validation,Ridge,14,84
Hanwha,validation,Ridge,15,84
Hanwha,validation,Ridge,16,90
Hanwha,validation,Ridge,17,96
Hanwha,validation,Ridge,18,203
Hanwha,validation,Ridge,19,264
Hanwha,validation,Ridge,20,264
Hanwha,validation,Ridge,21,264
Hanwha,validation,Ridge,22,264
Hanwha,validation,Ridge,23,264
