block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
0,3432.0,3539347.476928576,3672670.7757010926,3539347.476928576,2947474.5399180697,2771414.910249543,2833495.608125963,19516548.92401328,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
1,3397.0,983315.8930098898,1093446.1702396837,983315.8930098898,1052451.8588573372,1139853.9111635895,1047413.2385873747,4959331.665214237,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
2,3384.0,486467.19784444926,496462.27895024884,486467.19784444926,619272.2770526264,623551.8086088841,556415.7045296812,4035217.2111694384,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
3,3432.0,3493615.6301855273,3487642.525085067,3493615.6301855273,3987051.916066677,3511040.861301831,3609491.6561154886,15936061.950636964,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
4,3456.0,3326016.482594645,3733204.451417481,3326016.482594645,3216343.768992309,3328222.898711053,3292061.31689822,10327829.752050236,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
5,3456.0,1164629.9141168394,1788412.912844515,1164629.9141168394,1657132.6998525718,1596590.9954317405,1577495.0477935162,3707778.5139494454,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
6,3456.0,522150.50188607944,394068.6798904315,522150.50188607944,378176.77920232486,430165.1984592599,394950.5060195654,11328551.240362566,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
7,3384.0,2736869.1394253336,2783486.1493944414,2736869.1394253336,2189762.2165101883,2093180.5570064127,2013854.7490506175,22595571.287072804,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
8,3373.0,1776254.4152589,1553143.5200315563,1776254.4152589,1920926.5249578254,1816972.3474101287,2326054.7554878974,23953550.420702886,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
9,3361.0,1745321.9969503644,1527606.8367167013,1745321.9969503644,1961667.9899511144,1645410.326410692,2071441.3298185694,25813720.631594967,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
10,3420.0,3282557.2729062364,3618852.164654139,3282557.2729062364,3301473.163964391,3400127.463990966,3269821.8346584286,8576462.067767043,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
11,3432.0,1923474.44995593,2220506.397614446,1923474.44995593,2771333.6139026964,2787064.1256190743,2802178.656549993,6316650.3847768055,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
12,3409.0,630084.092145682,984018.5714223075,630084.092145682,678784.6979541242,786500.9432868811,793148.7283818873,4041729.588249121,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
13,3396.0,524398.1272795061,944005.1545507645,524398.1272795061,541457.9876497131,740303.4931235443,708829.6308338005,864159.7328860802,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
14,3349.0,1197096.1921868816,480513.2285428181,1197096.1921868816,855095.0873257206,1045377.0742733969,820944.3437102097,24722601.705010403,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
15,3324.0,810095.6115559661,1006941.3180919252,810095.6115559661,966753.5184015316,1085648.9208303364,1017889.6315087479,1680983.53821124,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
16,3396.0,1663747.873057549,1755803.9789259252,1663747.873057549,1865428.4763611231,1933991.6848204997,1787156.139080328,2038840.6457736,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
17,3408.0,1243524.579163551,816366.0290430238,1243524.579163551,1513084.2642642292,1381343.9491771052,1515028.2116085687,22656072.30964127,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
18,3432.0,7471894.870905992,8160226.645071562,7471894.870905992,8635287.74530105,8568443.064952036,8368771.204980439,17686119.238117445,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
19,3456.0,901841.2099582112,833783.7236095411,901841.2099582112,609134.4261848128,471017.9176471924,752390.7568167998,21180678.368740335,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
20,3456.0,322787.07380336,743001.116404701,322787.07380336,400085.15380757285,376235.7184587123,475222.23587438505,1464113.089866239,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
21,3456.0,825353.1048398141,1194009.9620043288,825353.1048398141,953380.1222570412,880551.7901054356,908417.7278519083,2639761.5719495993,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
22,3432.0,1524898.0267863262,1936976.162205533,1524898.0267863262,1845306.96513891,1550145.194967697,1560525.2212127375,2123637.491761118,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
23,3444.0,723943.1466412285,560885.7333033864,723943.1466412285,569502.758739245,607835.6128706736,593738.2120150332,12037176.772016166,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
24,3456.0,749021.2233600165,916898.4389553209,749021.2233600165,948784.9279654406,814590.858543333,863593.0771968691,1393806.57761088,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
25,3408.0,1978423.8480031837,1524621.0834366083,1978423.8480031837,1984988.516651879,1867197.9393227915,1863515.0690050512,29374495.650647435,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
26,3432.0,2707994.856191723,2544967.4003246673,2707994.856191723,2872006.6333772987,2660879.2271060054,2753257.4941217457,22001328.689871855,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
27,3456.0,2719531.285576399,2595112.3772912603,2719531.285576399,2865336.262503858,2665066.6926529845,2445424.589296983,16698219.554357769,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
28,3456.0,4078396.541482514,4195110.080096586,4078396.541482514,4587991.228031994,4509822.513677118,4643707.833479508,12842802.120679684,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
29,3456.0,605909.7149697836,727194.9979471815,605909.7149697836,611956.6802547717,738656.3926057033,822646.350461973,8636321.159596797,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
30,3456.0,170298.74693822666,510346.95073586516,170298.74693822666,311240.44286791096,467288.70120956935,501347.103640647,228235.30818624,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
31,3432.0,196754.13036929542,441335.0208574503,196754.13036929542,216167.88266505869,279462.9745670152,281178.09619194065,217327.85610511995,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,24
