site,split,method_support,hour,origins
Qcells,train,neural,0,1008
Qcells,train,neural,1,1008
Qcells,train,neural,2,1008
Qcells,train,neural,3,1008
Qcells,train,neural,4,1008
Qcells,train,neural,5,998
Qcells,train,neural,6,205
Qcells,train,neural,7,36
Qcells,train,neural,8,36
Qcells,train,neural,9,36
Qcells,train,neural,10,36
Qcells,train,neural,11,36
Qcells,train,neural,12,36
Qcells,train,neural,13,36
Qcells,train,neural,14,36
Qcells,train,neural,15,36
Qcells,train,neural,16,36
Qcells,train,neural,17,39
Qcells,train,neural,18,959
Qcells,train,neural,19,1094
Qcells,train,neural,20,1020
Qcells,train,neural,21,1016
Qcells,train,neural,22,1008
Qcells,train,neural,23,1008
Qcells,train,Ridge,0,1008
Qcells,train,Ridge,1,1008
Qcells,train,Ridge,2,1008
Qcells,train,Ridge,3,1008
Qcells,train,Ridge,4,1008
Qcells,train,Ridge,5,998
Qcells,train,Ridge,6,205
Qcells,train,Ridge,7,36
Qcells,train,Ridge,8,36
Qcells,train,Ridge,9,36
Qcells,train,Ridge,10,36
Qcells,train,Ridge,11,36
Qcells,train,Ridge,12,36
Qcells,train,Ridge,13,36
Qcells,train,Ridge,14,36
Qcells,train,Ridge,15,36
Qcells,train,Ridge,16,36
Qcells,train,Ridge,17,37
Qcells,train,Ridge,18,862
Qcells,train,Ridge,19,1094
Qcells,train,Ridge,20,1020
Qcells,train,Ridge,21,1016
Qcells,train,Ridge,22,1008
Qcells,train,Ridge,23,1008
Qcells,validation,neural,0,252
Qcells,validation,neural,1,252
Qcells,validation,neural,2,252
Qcells,validation,neural,3,252
Qcells,validation,neural,4,243
Qcells,validation,neural,5,241
Qcells,validation,neural,6,54
Qcells,validation,neural,7,0
Qcells,validation,neural,8,0
Qcells,validation,neural,9,0
Qcells,validation,neural,10,0
Qcells,validation,neural,11,0
Qcells,validation,neural,12,0
Qcells,validation,neural,13,0
Qcells,validation,neural,14,0
Qcells,validation,neural,15,0
Qcells,validation,neural,16,0
Qcells,validation,neural,17,0
Qcells,validation,neural,18,189
Qcells,validation,neural,19,256
Qcells,validation,neural,20,252
Qcells,validation,neural,21,252
Qcells,validation,neural,22,252
Qcells,validation,neural,23,252
Qcells,validation,Ridge,0,252
Qcells,validation,Ridge,1,252
Qcells,validation,Ridge,2,252
Qcells,validation,Ridge,3,252
Qcells,validation,Ridge,4,243
Qcells,validation,Ridge,5,241
Qcells,validation,Ridge,6,54
Qcells,validation,Ridge,7,0
Qcells,validation,Ridge,8,0
Qcells,validation,Ridge,9,0
Qcells,validation,Ridge,10,0
Qcells,validation,Ridge,11,0
Qcells,validation,Ridge,12,0
Qcells,validation,Ridge,13,0
Qcells,validation,Ridge,14,0
Qcells,validation,Ridge,15,0
Qcells,validation,Ridge,16,0
Qcells,validation,Ridge,17,0
Qcells,validation,Ridge,18,167
Qcells,validation,Ridge,19,256
Qcells,validation,Ridge,20,252
Qcells,validation,Ridge,21,252
Qcells,validation,Ridge,22,252
Qcells,validation,Ridge,23,252
