site,split,method_support,hour,origins
Sanyo,train,neural,0,1176
Sanyo,train,neural,1,1176
Sanyo,train,neural,2,1176
Sanyo,train,neural,3,1176
Sanyo,train,neural,4,1176
Sanyo,train,neural,5,1174
Sanyo,train,neural,6,576
Sanyo,train,neural,7,505
Sanyo,train,neural,8,528
Sanyo,train,neural,9,528
Sanyo,train,neural,10,528
Sanyo,train,neural,11,528
Sanyo,train,neural,12,516
Sanyo,train,neural,13,516
Sanyo,train,neural,14,516
Sanyo,train,neural,15,516
Sanyo,train,neural,16,516
Sanyo,train,neural,17,518
Sanyo,train,neural,18,1147
Sanyo,train,neural,19,1213
Sanyo,train,neural,20,1176
Sanyo,train,neural,21,1176
Sanyo,train,neural,22,1176
Sanyo,train,neural,23,1176
Sanyo,train,Ridge,0,1176
Sanyo,train,Ridge,1,1176
Sanyo,train,Ridge,2,1176
Sanyo,train,Ridge,3,1176
Sanyo,train,Ridge,4,1176
Sanyo,train,Ridge,5,1174
Sanyo,train,Ridge,6,576
Sanyo,train,Ridge,7,501
Sanyo,train,Ridge,8,528
Sanyo,train,Ridge,9,528
Sanyo,train,Ridge,10,528
Sanyo,train,Ridge,11,528
Sanyo,train,Ridge,12,516
Sanyo,train,Ridge,13,516
Sanyo,train,Ridge,14,516
Sanyo,train,Ridge,15,516
Sanyo,train,Ridge,16,516
Sanyo,train,Ridge,17,517
Sanyo,train,Ridge,18,1086
Sanyo,train,Ridge,19,1213
Sanyo,train,Ridge,20,1176
Sanyo,train,Ridge,21,1176
Sanyo,train,Ridge,22,1176
Sanyo,train,Ridge,23,1176
Sanyo,validation,neural,0,252
Sanyo,validation,neural,1,252
Sanyo,validation,neural,2,252
Sanyo,validation,neural,3,252
Sanyo,validation,neural,4,252
Sanyo,validation,neural,5,253
Sanyo,validation,neural,6,101
Sanyo,validation,neural,7,48
Sanyo,validation,neural,8,48
Sanyo,validation,neural,9,48
Sanyo,validation,neural,10,48
Sanyo,validation,neural,11,48
Sanyo,validation,neural,12,48
Sanyo,validation,neural,13,48
Sanyo,validation,neural,14,48
Sanyo,validation,neural,15,48
Sanyo,validation,neural,16,48
Sanyo,validation,neural,17,48
Sanyo,validation,neural,18,209
Sanyo,validation,neural,19,260
Sanyo,validation,neural,20,252
Sanyo,validation,neural,21,252
Sanyo,validation,neural,22,252
Sanyo,validation,neural,23,252
Sanyo,validation,Ridge,0,252
Sanyo,validation,Ridge,1,252
Sanyo,validation,Ridge,2,252
Sanyo,validation,Ridge,3,252
Sanyo,validation,Ridge,4,252
Sanyo,validation,Ridge,5,253
Sanyo,validation,Ridge,6,101
Sanyo,validation,Ridge,7,48
Sanyo,validation,Ridge,8,48
Sanyo,validation,Ridge,9,48
Sanyo,validation,Ridge,10,48
Sanyo,validation,Ridge,11,48
Sanyo,validation,Ridge,12,48
Sanyo,validation,Ridge,13,48
Sanyo,validation,Ridge,14,48
Sanyo,validation,Ridge,15,48
Sanyo,validation,Ridge,16,48
Sanyo,validation,Ridge,17,48
Sanyo,validation,Ridge,18,191
Sanyo,validation,Ridge,19,260
Sanyo,validation,Ridge,20,252
Sanyo,validation,Ridge,21,252
Sanyo,validation,Ridge,22,252
Sanyo,validation,Ridge,23,252
