block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
0,3456.0,29765.44876950537,2330262.3742837925,233112.46705499018,37914.98622499688,31856.408381739584,30348.645113808307,374003.19890433096,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
1,3456.0,15725.074354292325,2445490.2134480486,185928.93456543935,46011.485339014915,27821.601587618887,28128.216018326406,3942.125404500214,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
2,3456.0,16584.35966128142,2584327.4762178264,212459.72440725326,74316.72036551811,26583.47877832042,30531.8403993093,6914.252247094827,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
3,3456.0,40182.431636195615,2433642.6285506603,201855.60461041512,73653.54177237747,49007.99826962055,49247.25430304152,44389.0822113706,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
4,3456.0,232432.74914408647,2386262.752006056,283629.63565122895,201450.86234688666,216160.8964188479,219088.43681404355,192447.92735043447,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
5,3456.0,25261.85997939223,2439326.1471288223,204143.1538451937,52997.08765055211,35073.65490148963,37848.77120160924,164668.54604416326,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
6,3456.0,13410.08320209196,2356500.9612234756,158797.68613051611,35431.41212724271,25533.25870143825,27136.61464604596,4013.139776761473,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
7,3456.0,13591.07573387726,2177167.713351203,125619.07003809014,30316.403842787422,34070.470736545285,24610.761758091572,27693.672156523677,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
8,3456.0,17282.36835118243,2281232.3969593337,171668.6593005869,34568.80559453487,28146.083278496037,25291.049939445078,23148.60836227568,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
9,3456.0,186498.1727363225,2352127.862597878,284074.53285387304,209739.5163851613,222173.32023717184,194447.3524515655,167030.7390886497,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
10,3456.0,286229.7302209104,2056336.8466198973,568600.4636204249,269934.120556355,316035.1928490941,289231.2063013298,957417.6239392641,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
11,3456.0,111644.09950155958,2216333.153881206,268189.43309659505,127684.95381542313,125888.59528335053,106630.8437900057,481418.35793374386,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
12,3456.0,52440.79203601915,2232236.7539300118,183677.08450739196,61343.36936315099,52722.12889869835,51517.04340756594,159686.17812632935,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
13,3456.0,19922.478351717826,2438811.0538425776,215789.81652677763,56252.12722327081,22571.37995126045,28240.849239439896,39584.4108750931,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
14,3456.0,12219.244878788611,2411882.64975206,177615.8490455618,49516.89058656744,17719.69700078036,24122.07039754629,568.721364173082,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
15,3456.0,58097.04277284825,2309423.3999073943,190306.97929492066,85584.85787278373,65863.93383036005,63229.88929471519,52693.230917611254,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
16,3456.0,77234.74874915222,2160532.5410704585,217206.2821002433,103198.81971192088,99147.77319535876,88952.49416138606,102387.15231141303,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
17,3456.0,488135.1995176489,1339891.7187905586,637172.8072478432,479069.5434334833,598716.3229592991,519247.637622534,1325944.4799817062,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
18,3456.0,238982.44791475774,1737605.4650615272,456237.43673879205,329814.2135369602,488749.9636298679,397897.2766783119,606451.3408740725,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
19,3456.0,467816.93889572355,1756181.0738168098,450177.3777508287,422063.1185584676,494626.4841286987,457094.8240221197,930797.6386269227,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
20,3456.0,272446.0928404336,1911461.4674735086,455162.8604677282,265564.16123711533,359587.16658285906,311910.06364197016,699054.7128273362,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
21,3456.0,49321.527877579174,2063610.1023738424,192319.8652060504,23038.151684589226,35251.25023268088,21564.893624872933,441186.4822970778,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
22,3456.0,21970.305863143356,2094787.9079034512,167525.25466561908,28587.80331586918,36577.51409171794,31114.05250116897,10269.66460193679,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
23,3456.0,136064.60939846464,2042754.9505256864,260167.0041857516,164498.1470111774,190937.27172085902,158562.28514960705,159784.8492962745,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
24,3456.0,381321.84111781756,2086231.2438442148,435846.24114248226,402809.0731942761,425646.8450430571,398262.3938611558,476480.45289495814,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
25,3456.0,293002.1479581602,729363.3723566554,643846.7925073619,176038.63030616334,243212.85388739707,250060.90553596403,2484552.55033636,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
26,3456.0,510947.49978693976,2054970.9612035414,970907.2228083062,243865.88431389694,254564.31297209449,237328.7497100611,2712416.116231589,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
27,3456.0,379353.02660291333,2100566.271063679,443607.7116070935,432898.24991969933,431978.1410358552,405917.494013347,476146.45525608823,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
28,3456.0,163196.01774248833,2139138.1258760327,318075.9016343687,180442.4595514915,171027.72368617626,155851.39617400366,393998.5200728543,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
