site,period,support,horizon,scope,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24,Expanded B,Original B,8.896597061511402,5.810972203616182,3.08562485789522,2.7440116652369513,3.4555404421087963,-0.5309997621353322,-0.6637201693558131,-0.432303589263084,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24,Expanded B,Expanded A,8.896597061511402,23.284350521318103,-14.387753459806701,-15.135017290203615,-13.561890958307737,0.6179151721081471,0.5921671038497731,0.6413391806634587,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24,Expanded B,Daily,8.896597061511402,9.560814154330243,-0.6642170928188413,-1.8228546123060272,0.43515236815339214,0.06947285891108002,-0.05381592654309767,0.16165233996522482,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24,Expanded B,Inverted42,8.896597061511402,5.77294528967825,3.123651771833152,2.7040493924943596,3.6274126844360093,-0.5410845963529383,-0.6894148249776199,-0.43002721836009217,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24,Expanded B,Inverted43,8.896597061511402,6.1451812406479505,2.7514158208634516,2.2689698972019188,3.3199006949173038,-0.44773550414818053,-0.5991517917295366,-0.3372842769210328,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24,Expanded B,Inverted44,8.896597061511402,5.977895996398158,2.918701065113244,2.4666566207729215,3.456351789959433,-0.48824888671061517,-0.6393378012971158,-0.37905053533018496,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24,Expanded B,Inverted mean,8.896597061511402,5.965340842241453,2.931256219269949,2.484493590705441,3.461250081484711,-0.49235632907057797,-0.6418765920225447,-0.38257943615983553,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24,Inverted42,Daily,5.77294528967825,9.560814154330243,-3.787868864651993,-5.247758924726192,-2.497397091656062,0.3961868522396085,0.30163079111657654,0.47914505364049753,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24,Inverted43,Daily,6.1451812406479505,9.560814154330243,-3.415632913682293,-4.8732412562515,-2.1797438242043348,0.35725335296213234,0.2623197001291953,0.4455306104226998,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24,Inverted44,Daily,5.977895996398158,9.560814154330243,-3.5829181579320855,-5.030423894947499,-2.356586588868995,0.37475031938669423,0.2819158629341949,0.45773015132649825,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48,Expanded B,Original B,8.896597061511402,5.810972203616181,3.085624857895221,2.772278806457085,3.4352852849087343,-0.5309997621353324,-0.6771035122519211,-0.42920166272272514,46,46,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48,Expanded B,Expanded A,8.896597061511402,23.284350521318107,-14.387753459806705,-15.298271242655497,-13.47281850562488,0.6179151721081472,0.5872130164826909,0.6461204684008208,46,46,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48,Expanded B,Daily,8.896597061511402,9.560814154330242,-0.6642170928188396,-1.9240447587869762,0.6840623253632029,0.0694728589110798,-0.09026402218558857,0.1700045259480339,46,46,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48,Expanded B,Inverted42,8.896597061511402,5.77294528967825,3.123651771833152,2.737187380705581,3.583570790370921,-0.5410845963529383,-0.6890883540600248,-0.4310062208791365,46,46,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48,Expanded B,Inverted43,8.896597061511402,6.14518124064795,2.7514158208634525,2.22777003482627,3.3063632609107083,-0.44773550414818075,-0.6028199969056534,-0.329969922466512,46,46,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48,Expanded B,Inverted44,8.896597061511402,5.977895996398156,2.918701065113246,2.444483027663168,3.4318659923521513,-0.4882488867106156,-0.6412165385261992,-0.3714930052262344,46,46,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48,Expanded B,Inverted mean,8.896597061511402,5.965340842241452,2.9312562192699496,2.474637513911756,3.438333107213083,-0.4923563290705782,-0.642585090082889,-0.37876716699832114,46,46,314353,2000,2000,0,2000
