site,field,pattern,origins,candidate_origins,fraction
YULARA_COMBINED,power,none,25920,26208,0.989010989010989
YULARA_COMBINED,power,some,288,26208,0.01098901098901099
YULARA_COMBINED,power,all72,0,26208,0.0
YULARA_COMBINED,temperature,none,25848,26208,0.9862637362637363
YULARA_COMBINED,temperature,some,360,26208,0.013736263736263736
YULARA_COMBINED,temperature,all72,0,26208,0.0
YULARA_COMBINED,ghi,none,25848,26208,0.9862637362637363
YULARA_COMBINED,ghi,some,360,26208,0.013736263736263736
YULARA_COMBINED,ghi,all72,0,26208,0.0
NIST_GROUND,power,none,20464,26208,0.7808302808302808
NIST_GROUND,power,some,5744,26208,0.21916971916971917
NIST_GROUND,power,all72,0,26208,0.0
NIST_GROUND,temperature,none,20464,26208,0.7808302808302808
NIST_GROUND,temperature,some,5744,26208,0.21916971916971917
NIST_GROUND,temperature,all72,0,26208,0.0
NIST_GROUND,ghi,none,20464,26208,0.7808302808302808
NIST_GROUND,ghi,some,5744,26208,0.21916971916971917
NIST_GROUND,ghi,all72,0,26208,0.0
