site,horizon,method,scope,delta_MSE,points,full_points
YULARA_COMBINED,12,Inverted42,power-active,-60.113624377825055,137209,314353
YULARA_COMBINED,12,Inverted42,low-power,2.0313544018018352,177144,314353
YULARA_COMBINED,12,Inverted43,power-active,-56.26541703012664,137209,314353
YULARA_COMBINED,12,Inverted43,low-power,2.619502216896588,177144,314353
YULARA_COMBINED,12,Inverted44,power-active,-57.65453319420241,137209,314353
YULARA_COMBINED,12,Inverted44,low-power,1.9806064443139775,177144,314353
YULARA_COMBINED,12,Original B,power-active,-59.41135094612787,137209,314353
YULARA_COMBINED,12,Original B,low-power,1.7695816036862562,177144,314353
YULARA_COMBINED,12,Expanded B,power-active,-27.298213338342116,137209,314353
YULARA_COMBINED,12,Expanded B,low-power,15.038485319593933,177144,314353
YULARA_COMBINED,48,Inverted42,power-active,-27.503173596944542,548904,1257410
YULARA_COMBINED,48,Inverted42,low-power,33.46642636788117,708506,1257410
YULARA_COMBINED,48,Inverted43,power-active,-18.391942110132955,548904,1257410
YULARA_COMBINED,48,Inverted43,low-power,21.743969665081156,708506,1257410
YULARA_COMBINED,48,Inverted44,power-active,-16.620436525230915,548904,1257410
YULARA_COMBINED,48,Inverted44,low-power,25.79651234478958,708506,1257410
YULARA_COMBINED,48,Original B,power-active,-41.56128284922841,548904,1257410
YULARA_COMBINED,48,Original B,low-power,2.7422001981147703,708506,1257410
YULARA_COMBINED,48,Expanded B,power-active,-12.63113187935983,548904,1257410
YULARA_COMBINED,48,Expanded B,low-power,19.092074001623065,708506,1257410
YULARA_COMBINED,96,Inverted42,power-active,37.97312222631571,1097863,2514818
YULARA_COMBINED,96,Inverted42,low-power,68.31569450141795,1416955,2514818
YULARA_COMBINED,96,Inverted43,power-active,40.268663366955224,1097863,2514818
YULARA_COMBINED,96,Inverted43,low-power,50.723117774089516,1416955,2514818
YULARA_COMBINED,96,Inverted44,power-active,45.59765345287737,1097863,2514818
YULARA_COMBINED,96,Inverted44,low-power,56.326630219177915,1416955,2514818
YULARA_COMBINED,96,Original B,power-active,-32.77475614947605,1097863,2514818
YULARA_COMBINED,96,Original B,low-power,2.5137245651673874,1416955,2514818
YULARA_COMBINED,96,Expanded B,power-active,-3.552353471126573,1097863,2514818
YULARA_COMBINED,96,Expanded B,low-power,22.733346099888877,1416955,2514818
YULARA_COMBINED,144,Inverted42,power-active,47.73934307507259,1646503,3772226
YULARA_COMBINED,144,Inverted42,low-power,50.26159192354567,2125723,3772226
YULARA_COMBINED,144,Inverted43,power-active,51.03330882353109,1646503,3772226
YULARA_COMBINED,144,Inverted43,low-power,40.59368580028974,2125723,3772226
YULARA_COMBINED,144,Inverted44,power-active,64.52883836174028,1646503,3772226
YULARA_COMBINED,144,Inverted44,low-power,48.20191969890364,2125723,3772226
YULARA_COMBINED,144,Original B,power-active,-29.53120377878435,1646503,3772226
YULARA_COMBINED,144,Original B,low-power,2.444551687043707,2125723,3772226
YULARA_COMBINED,144,Expanded B,power-active,1.0067681481300745,1646503,3772226
YULARA_COMBINED,144,Expanded B,low-power,25.003802216195552,2125723,3772226
NIST_GROUND,12,Inverted42,power-active,-2064.7302890733195,146476,292202
NIST_GROUND,12,Inverted42,low-power,14.076964115107744,145726,292202
NIST_GROUND,12,Inverted43,power-active,-2071.8202510588076,146476,292202
NIST_GROUND,12,Inverted43,low-power,14.644097758693144,145726,292202
NIST_GROUND,12,Inverted44,power-active,-2064.0183079828116,146476,292202
NIST_GROUND,12,Inverted44,low-power,9.635470373799436,145726,292202
NIST_GROUND,12,Original B,power-active,-2071.2853960642246,146476,292202
NIST_GROUND,12,Original B,low-power,21.392819546346974,145726,292202
NIST_GROUND,12,Expanded B,power-active,-2071.2853960642246,146476,292202
NIST_GROUND,12,Expanded B,low-power,21.392819546346974,145726,292202
NIST_GROUND,48,Inverted42,power-active,-1698.0507186476536,585563,1168305
NIST_GROUND,48,Inverted42,low-power,77.26973786539922,582742,1168305
NIST_GROUND,48,Inverted43,power-active,-1668.5866242181132,585563,1168305
NIST_GROUND,48,Inverted43,low-power,64.18410619090382,582742,1168305
NIST_GROUND,48,Inverted44,power-active,-1671.8814933188478,585563,1168305
NIST_GROUND,48,Inverted44,low-power,53.66048650235433,582742,1168305
NIST_GROUND,48,Original B,power-active,-1572.6378198006248,585563,1168305
NIST_GROUND,48,Original B,low-power,77.77754343053908,582742,1168305
NIST_GROUND,48,Expanded B,power-active,-1572.6378198006248,585563,1168305
NIST_GROUND,48,Expanded B,low-power,77.77754343053908,582742,1168305
NIST_GROUND,96,Inverted42,power-active,-1406.9395353152374,1170061,2335738
NIST_GROUND,96,Inverted42,low-power,124.65344332768915,1165677,2335738
NIST_GROUND,96,Inverted43,power-active,-1370.243119476192,1170061,2335738
NIST_GROUND,96,Inverted43,low-power,101.36804235250351,1165677,2335738
