site,horizon,scope,method,RMSE,MAE,bias,points,origins
YULARA_COMBINED,12,full,Inverted mean,5.965340842241453,3.173374069220739,0.5119346046121044,314353,26204
YULARA_COMBINED,12,full,Original A,6.73231659243486,3.886274236985242,0.3689929129272722,314353,26204
YULARA_COMBINED,12,full,Original B,5.810972203616182,2.8109005025886904,0.1602214670877439,314353,26204
YULARA_COMBINED,12,full,Expanded A,23.284350521318096,20.76837187336208,2.011711350374916,314353,26204
YULARA_COMBINED,12,full,Expanded B,8.896597061511402,6.722929049813535,0.980917442112868,314353,26204
YULARA_COMBINED,12,full,Daily,9.560814154330242,3.293408126892152,0.0396037574795375,314353,26204
YULARA_COMBINED,12,full,Last-value,8.817472920276673,4.236693960122083,-0.0039018054708434,314353,26204
YULARA_COMBINED,12,low-power,Inverted mean,2.0882724136094426,1.5155215616921425,0.16467857789326068,177144,15775
YULARA_COMBINED,12,low-power,Original A,3.490139870562878,2.4548557000982605,1.088019903144432,177144,15775
YULARA_COMBINED,12,low-power,Original B,1.8955361338446068,1.0620553185576729,0.1505572003001758,177144,15775
YULARA_COMBINED,12,low-power,Expanded A,17.70985562332686,17.61111703026496,17.61111703026496,177144,15775
YULARA_COMBINED,12,low-power,Expanded B,5.2095631997377145,3.879829492946895,3.5650252375550595,177144,15775
YULARA_COMBINED,12,low-power,Daily,0.6729227846307665,0.0176602534420687,0.0127767907330963,177144,15775
YULARA_COMBINED,12,low-power,Last-value,1.6333688148493588,0.257308884797387,0.2418443967217172,177144,15775
YULARA_COMBINED,12,power-active,Inverted mean,8.71135776272398,5.313748422168764,0.960260309172905,137209,12446
YULARA_COMBINED,12,power-active,Original A,9.386876354101023,5.734310483137517,-0.5593085625956783,137209,12446
YULARA_COMBINED,12,power-active,Original B,8.527839763212695,5.068751163113809,0.1726985413016581,137209,12446
YULARA_COMBINED,12,power-active,Expanded A,28.934319279013657,24.84455311457508,-18.12793779624405,137209,12446
YULARA_COMBINED,12,power-active,Expanded B,12.09532678213398,10.393519374803756,-2.3553009642293667,137209,12446
YULARA_COMBINED,12,power-active,Daily,14.451247884178258,7.5225700717677935,0.0742387755711464,137209,12446
YULARA_COMBINED,12,power-active,Last-value,13.21665442550766,9.374288358327146,-0.3211730139280069,137209,12446
YULARA_COMBINED,48,full,Inverted mean,9.878093342180902,5.822609927783335,1.887243341826555,1257410,26204
YULARA_COMBINED,48,full,Original A,13.393434780505588,9.395802442136253,1.521566463973039,1257410,26204
YULARA_COMBINED,48,full,Original B,7.25316308528179,3.7047661381030985,0.3993397071711345,1257410,26204
YULARA_COMBINED,48,full,Expanded A,25.32319424202992,22.60395124534332,2.7876877072831387,1257410,26204
YULARA_COMBINED,48,full,Expanded B,9.893856655272067,7.450040751861418,1.4191557615835122,1257410,26204
YULARA_COMBINED,48,full,Daily,9.561770620173233,3.2938814094078728,0.0397410619672875,1257410,26204
YULARA_COMBINED,48,full,Last-value,22.813611249464124,12.83159485977711,-0.0072988050887879,1257410,26204
YULARA_COMBINED,48,low-power,Inverted mean,6.928035947182032,4.005311178732316,3.047540304088757,708506,19084
YULARA_COMBINED,48,low-power,Original A,10.07185845828139,7.429362652277129,4.741377557909481,708506,19084
YULARA_COMBINED,48,low-power,Original B,2.306414140862328,1.5101878699896438,0.3985277641989138,708506,19084
YULARA_COMBINED,48,low-power,Expanded A,20.039941847366197,19.70785763547754,19.70785763547754,708506,19084
YULARA_COMBINED,48,low-power,Expanded B,5.859712479089934,4.467606412409246,4.150619625742286,708506,19084
YULARA_COMBINED,48,low-power,Daily,0.672955461303172,0.0176604027687684,0.0127778694654521,708506,19084
YULARA_COMBINED,48,low-power,Last-value,13.076343211665696,4.038550711196097,4.022532912831229,708506,19084
YULARA_COMBINED,48,power-active,Inverted mean,12.685766698281848,8.168315310682976,0.38957278459880046,548904,15722
YULARA_COMBINED,48,power-active,Original A,16.73285940965763,11.934013841131216,-2.634452582928662,548904,15722
YULARA_COMBINED,48,power-active,Original B,10.660540950782112,6.537450670239847,0.400387734635821,548904,15722
YULARA_COMBINED,48,power-active,Expanded A,30.832048206912447,26.34212713612125,-19.052273224219118,548904,15722
YULARA_COMBINED,48,power-active,Expanded B,13.413400272794446,11.299662223207774,-2.106521836939505,548904,15722
YULARA_COMBINED,48,power-active,Daily,14.451790894249651,7.522712389925135,0.0745442036217578,548904,15722
YULARA_COMBINED,48,power-active,Last-value,31.169610113645668,24.18134734388096,-5.2088640171051726,548904,15722
YULARA_COMBINED,96,full,Inverted mean,13.824295448758173,8.010460817346988,3.497519930418297,2514818,26204
YULARA_COMBINED,96,full,Original A,17.568109441462994,12.980180643965548,2.9050781656472027,2514818,26204
