site,model,seed,neural_source,lead,lead_hours,scope,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
Hanwha,TCN,42,TCN,1,0.08333333333333333,full,4513,4513,85.24789901601784,390.0891083140359,30.096346683234515,0.13743874329231334,0.08643676231199555,0.006668811585028698
Hanwha,TCN,42,TCN,1,0.08333333333333333,power-active,1207,1207,68.71663365610253,207.09973878227174,63.62500819005072,0.23860377082091697,0.17158221937222182,0.052713345642129844
Hanwha,TCN,42,TCN,2,0.16666666666666666,full,4513,4513,80.44766767071098,381.7092126319767,27.302683211077238,0.13351315603412478,0.08457992746110718,0.006049785776883944
Hanwha,TCN,42,TCN,2,0.16666666666666666,power-active,1208,1208,63.80306501985732,201.63133430620655,42.51760015496984,0.2298197267523344,0.16691335621374714,0.035196688870008146
Hanwha,TCN,42,TCN,3,0.25,full,4513,4513,94.30625342873701,440.8115226392756,-96.67179953438699,0.1445564848644327,0.09767594120081445,-0.02142073998102969
Hanwha,TCN,42,TCN,3,0.25,power-active,1209,1209,67.1930871336955,215.87643081881106,-11.977664643898606,0.23574861338454162,0.17855784186833007,-0.009907084072703562
Hanwha,TCN,42,TCN,4,0.3333333333333333,full,4513,4513,103.16776001591555,462.87161137741714,-89.9443576093654,0.1511956630368159,0.10256406190503371,-0.01993005929744414
Hanwha,TCN,42,TCN,4,0.3333333333333333,power-active,1210,1210,71.73311059717146,225.18978240713477,-10.283949937671423,0.24348216049025276,0.18610725818771467,-0.008499132179893738
Hanwha,TCN,42,TCN,5,0.4166666666666667,full,4513,4513,99.03510150148693,432.102140266441,-81.8372339556372,0.14813644178518132,0.09574609799832506,-0.018133665844368978
Hanwha,TCN,42,TCN,5,0.4166666666666667,power-active,1211,1211,71.7791563617647,220.54045616538497,10.247415404010098,0.24345971162042296,0.1821143320936292,0.008461945007440214
Hanwha,TCN,42,TCN,6,0.5,full,4513,4513,106.31170999735247,449.990894656381,4.427865594276227,0.15348215384295402,0.09970992569385796,0.0009811357399238262
Hanwha,TCN,42,TCN,6,0.5,power-active,1212,1212,76.7181801356599,227.4092599155847,24.46738915122114,0.25159258433977916,0.18763140257061445,0.020187614811238565
Hanwha,TCN,42,TCN,7,0.5833333333333334,full,4513,4513,142.8512176649098,550.5129069902323,-108.13183241942897,0.17791366515854312,0.12198380389768054,-0.0239600780898358
Hanwha,TCN,42,TCN,7,0.5833333333333334,power-active,1213,1213,85.14791659471672,247.94353377062362,-30.557621680083685,0.26494553966782236,0.20440522157512253,-0.02519177385002777
Hanwha,TCN,42,TCN,8,0.6666666666666666,full,4512,4512,140.14234510437697,558.4565906771386,-129.55681346152414,0.17623823907265718,0.12377140750823107,-0.02871383277072787
Hanwha,TCN,42,TCN,8,0.6666666666666666,power-active,1214,1214,82.85906853362175,246.12135690823197,-59.94464370235801,0.26125263536285653,0.20273587883709387,-0.049377795471464585
