site,model,seed,neural_source,h,hours,support,analysis,scope,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias,weighted_MSE_contribution
Hanwha,TCN,42,TCN,12,1.0,horizon_specific,primary,full,79500,6625,2561.453909220075,10186.400152320712,-1924.0686617063802,0.17949803906429024,0.12813081952604669,-0.024202121530897864,0.03221954602792547
Hanwha,TCN,42,TCN,12,1.0,horizon_specific,primary,power-active,36421,3225,1984.644590707463,6654.274704048861,-1108.166193323661,0.23343471353764758,0.18270433826772634,-0.030426572398442136,0.024964082901980666
Hanwha,TCN,42,TCN,12,1.0,horizon_specific,primary,low-power,43079,3810,576.8093185126121,3532.1254482718505,-815.9024683827193,0.11571331277784888,0.08199181615803176,-0.01893967985289165,0.007255463125944806
Hanwha,TCN,42,TCN,12,1.0,horizon_specific,daily_matched,full,79392,6625,2556.7399541320697,10166.454786176648,-1905.6833335729061,0.17945472918071378,0.12805389442483686,-0.024003468026663973,0.03220399982532333
Hanwha,TCN,42,TCN,12,1.0,horizon_specific,daily_matched,power-active,36421,3225,1984.644590707463,6654.274704048861,-1108.166193323661,0.23343471353764758,0.18270433826772634,-0.030426572398442136,0.024998042506895697
Hanwha,TCN,42,TCN,12,1.0,horizon_specific,daily_matched,low-power,42971,3810,572.0953634246066,3512.1800821277866,-797.5171402492452,0.11538423732267888,0.08173372930878468,-0.01855942706125632,0.007205957318427632
Hanwha,TCN,42,TCN,48,4.0,horizon_specific,primary,full,290352,6049,96959.63904008859,96229.10751514204,-56694.705607088246,0.5778739057535609,0.3314222306550051,-0.19526197721072439,0.3339382509508754
Hanwha,TCN,42,TCN,48,4.0,horizon_specific,primary,power-active,132649,3522,87744.94308857436,69732.70403710203,-55634.04078800426,0.8133155170028091,0.5256934016622969,-0.4194079170442616,0.3022019586177273
Hanwha,TCN,42,TCN,48,4.0,horizon_specific,primary,low-power,157703,4098,9214.69595151423,26496.403478040003,-1060.6648190839821,0.2417244202957806,0.16801458106719594,-0.006725711109389055,0.03173629233314814
Hanwha,TCN,42,TCN,48,4.0,horizon_specific,daily_matched,full,289920,6049,96918.45601968175,96129.93206034091,-56683.6210329807,0.578181452018841,0.3315739930337366,-0.19551469727159457,0.3342937914586153
Hanwha,TCN,42,TCN,48,4.0,horizon_specific,daily_matched,power-active,132649,3522,87744.94308857436,69732.70403710203,-55634.04078800426,0.8133155170028091,0.5256934016622969,-0.4194079170442616,0.30265225954944247
Hanwha,TCN,42,TCN,48,4.0,horizon_specific,daily_matched,low-power,157271,4098,9173.512931107394,26397.22802323888,-1049.5802449764358,0.2415146694279185,0.1678454897803084,-0.006673704910482135,0.031641531909172856
Hanwha,TCN,42,TCN,96,8.0,horizon_specific,primary,full,506976,5281,322195.57504360075,240477.61464363133,-135122.89631898535,0.7971977890376162,0.4743372756178425,-0.2665272050727951,0.6355243148464637
Hanwha,TCN,42,TCN,96,8.0,horizon_specific,primary,power-active,228420,3881,293017.5972056291,185600.21406595234,-142026.48009308998,1.1326084248301682,0.8125392437875507,-0.6217777781853164,0.5779713382993062
Hanwha,TCN,42,TCN,96,8.0,horizon_specific,primary,low-power,278556,4482,29177.977837971655,54877.40057767896,6903.583774104627,0.3236468141234564,0.19700670808626977,0.024783468222205327,0.057552976547157374
Hanwha,TCN,42,TCN,96,8.0,horizon_specific,daily_matched,full,506112,5281,321973.44093748275,240160.1942317314,-135061.47629262248,0.79760286840725,0.47451985772266103,-0.26686084560852635,0.636170335691473
Hanwha,TCN,42,TCN,96,8.0,horizon_specific,daily_matched,power-active,228420,3881,293017.5972056291,185600.21406595234,-142026.48009308998,1.1326084248301682,0.8125392437875507,-0.6217777781853164,0.5789580116765244
Hanwha,TCN,42,TCN,96,8.0,horizon_specific,daily_matched,low-power,277692,4482,28955.843731853667,54559.980165779045,6965.003800467501,0.32291366804497756,0.1964766005710609,0.02508175892884023,0.0572123240149486
Hanwha,TCN,42,TCN,144,12.0,horizon_specific,primary,full,651024,4521,342718.3983392079,292831.91984038474,-116753.96834284582,0.7255547843178934,0.44980203470284463,-0.17933896191668175,0.5264297450465849
Hanwha,TCN,42,TCN,144,12.0,horizon_specific,primary,power-active,287368,4225,295244.6087958236,215209.94190574682,-133175.3383611763,1.0136120977415415,0.7489001625293937,-0.46343134364708777,0.45350802550416514
Hanwha,TCN,42,TCN,144,12.0,horizon_specific,primary,low-power,363656,4521,47473.789543384344,77621.97793463792,16421.370018330497,0.3613113225007369,0.21344891307894803,0.045156329108637004,0.07292171954241985
Hanwha,TCN,42,TCN,144,12.0,horizon_specific,daily_matched,full,649735,4521,341971.21727051935,292210.47033508343,-116893.83528164908,0.7254820075895467,0.4497379244385533,-0.1799100175943255,0.5263241433361592
Hanwha,TCN,42,TCN,144,12.0,horizon_specific,daily_matched,power-active,287368,4225,295244.6087958236,215209.94190574682,-133175.3383611763,1.0136120977415415,0.7489001625293937,-0.46343134364708777,0.4544077336080457
Hanwha,TCN,42,TCN,144,12.0,horizon_specific,daily_matched,low-power,362367,4521,46726.60847469579,77000.52842933664,16281.503079527238,0.35909371977546467,0.21249321386698194,0.04493097627412882,0.07191640972811345
Hanwha,TCN,42,TCN,12,1.0,common_H144,primary,full,54252,4521,1523.80849964058,6107.626788162583,-914.9715673835782,0.16759355730606412,0.11257883189859512,-0.01686521358444994,0.028087600450500995
Hanwha,TCN,42,TCN,12,1.0,common_H144,primary,power-active,14558,1323,1001.7773022227224,2869.8933688059333,-255.97592003940372,0.2623220129052174,0.19713514004711727,-0.01758317901081218,0.018465260307872933
Hanwha,TCN,42,TCN,12,1.0,common_H144,primary,low-power,39694,3413,522.0311974178578,3237.7334193566494,-658.9956473441745,0.11467950145540398,0.08156732552417618,-0.016601895685599194,0.009622340142628066
Hanwha,TCN,42,TCN,12,1.0,common_H144,daily_matched,full,54151,4521,1519.098277393185,6087.826758182913,-896.4581816726896,0.16749031335329792,0.11242316408160354,-0.016554785353413412,0.028053005067185926
Hanwha,TCN,42,TCN,12,1.0,common_H144,daily_matched,power-active,14558,1323,1001.7773022227224,2869.8933688059333,-255.97592003940372,0.2623220129052174,0.19713514004711727,-0.01758317901081218,0.018499700877596396
Hanwha,TCN,42,TCN,12,1.0,common_H144,daily_matched,low-power,39593,3413,517.3209751704626,3217.93338937698,-640.4822616332859,0.11430647676499416,0.08127531102409466,-0.01617665399523365,0.009553304189589528
Hanwha,TCN,42,TCN,48,4.0,common_H144,primary,full,217008,4521,63222.762581689385,64991.93053285674,-30158.674494952167,0.5397577194771107,0.2994909428816299,-0.13897494329680088,0.2913383957351314
