site,model,seed,neural_source,origin_month,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
Hanwha,TCN,42,TCN,2018-08,649735,4521,341971.21727051935,292210.47033508343,-116893.83528164908,0.7254820075895467,0.4497379244385533,-0.1799100175943255
Hanwha,TCN,43,TCN,2018-08,649735,4521,365848.10665601934,310975.1904245505,-125486.42961057456,0.7503817704735944,0.47861849896427083,-0.1931347851209717
Hanwha,TCN,44,TCN,2018-08,649735,4521,368871.0171789166,308442.1894847823,-122954.75631301975,0.7534755004861163,0.47471998504741514,-0.1892383145636602
Qcells,TCN,42,TCN,2018-08,431150,2996,275779.5480908054,215400.24674763752,-111337.25509708724,0.7997731733561365,0.4995946810799896,-0.2582332253208564
Qcells,TCN,43,TCN,2018-08,431150,2996,271127.26905348373,205550.04107860837,-97625.03973171161,0.7929985707928882,0.4767483267508022,-0.22642940909593323
Qcells,TCN,44,TCN,2018-08,431150,2996,258232.71204034754,206118.02070661893,-111294.25658621873,0.7739117366862902,0.4780656864353912,-0.2581334955032326
Sanyo,TCN,42,TCN,2018-08,598317,4160,440051.26263675024,337978.08523491037,-150557.15389236534,0.8576023539515543,0.5648813007735204,-0.2516344243809976
Sanyo,TCN,43,TCN,2018-08,598317,4160,379279.02619704325,310722.7015776356,-106920.06358226632,0.7961845435539717,0.5193278840107094,-0.17870136329448488
Sanyo,TCN,44,TCN,2018-08,598317,4160,379105.04324835166,309840.36070266936,-98362.17817950324,0.796001909642739,0.517853179339162,-0.16439810030385774
Hanwha,Recurrent,42,Recurrent,2018-08,649735,4521,376419.58815869957,260663.44167684976,-180999.42303887996,0.7611460125976136,0.4011842392311477,-0.2785742233970464
Hanwha,Recurrent,43,Recurrent,2018-08,649735,4521,400032.4977056979,253065.78800988916,-170813.01588796522,0.7846563720170926,0.3894907739461306,-0.2628964360669584
Hanwha,Recurrent,44,Recurrent,2018-08,649735,4521,428547.6271302219,277376.61119815405,-204105.70208128652,0.8121409634753439,0.42690729481735484,-0.31413684360745
Qcells,Recurrent,42,Recurrent,2018-08,431150,2996,355402.08841113694,214121.29946591964,-153507.12017165637,0.9079162568853623,0.49662831837161,-0.3560410997835008
Qcells,Recurrent,43,Recurrent,2018-08,431150,2996,371596.3222758982,220743.24159768166,-117739.82842887618,0.9283708773189059,0.5119871079616877,-0.27308321565319765
Qcells,Recurrent,44,Recurrent,2018-08,431150,2996,341284.367489922,211057.12469879177,-114835.79875781658,0.8897008443639014,0.48952133758272476,-0.266347671942054
Sanyo,Recurrent,42,Recurrent,2018-08,598317,4160,461343.45696097205,274120.61972391116,-180807.64157926984,0.8781051241451705,0.4581528181948886,-0.30219372269093114
Sanyo,Recurrent,43,Recurrent,2018-08,598317,4160,407933.51284385775,243683.4412290254,-148346.6140314786,0.8257128082317744,0.40728149330375935,-0.24793982793649283
Sanyo,Recurrent,44,Recurrent,2018-08,598317,4160,483952.1468758387,276781.09019355,-170646.5747293185,0.8993640819176918,0.46259940832961455,-0.285210974666136
