site,h,analysis,scope,block_hours,blocks,replicates,valid_replicates,skill,ci_low,ci_high
Hanwha,12,primary,full,24,24,2000,2000,0.5252847546614648,0.48368018509442134,0.5565972364251169
Hanwha,12,primary,full,48,12,2000,2000,0.5252847546614646,0.478629161100125,0.5587691974092923
Hanwha,12,primary,full,72,8,2000,2000,0.5252847546614647,0.47843600376664924,0.5570952736347643
Hanwha,12,primary,power-active,24,24,2000,2000,0.5613045279867049,0.5164930478361033,0.5956206954939278
Hanwha,12,primary,power-active,48,12,2000,2000,0.5613045279867049,0.5103158426426244,0.5975244251364604
Hanwha,12,primary,power-active,72,8,2000,2000,0.5613045279867049,0.5104965641746636,0.5968409919846793
Hanwha,12,primary,low-power,24,24,2000,2000,-0.01679940183186135,-0.19797023990288778,0.11482588121090706
Hanwha,12,primary,low-power,48,12,2000,2000,-0.01679940183186135,-0.2030874429616881,0.1260881918863428
Hanwha,12,primary,low-power,72,8,2000,2000,-0.01679940183186172,-0.17877943457542975,0.12200041753803711
Hanwha,12,daily_matched,full,24,24,2000,2000,-0.11284703552858504,-2.3069912066741587,0.23205063166493484
Hanwha,12,daily_matched,full,48,12,2000,2000,-0.11284703552858526,-2.456323309558389,0.25033567253845235
Hanwha,12,daily_matched,full,72,8,2000,2000,-0.11284703552858526,-2.297811517984113,0.24760171309267962
Hanwha,12,daily_matched,power-active,24,24,2000,2000,-0.008564210842544995,-1.9436056939548014,0.2982362299345442
Hanwha,12,daily_matched,power-active,48,12,2000,2000,-0.00856421084254507,-2.090791286184681,0.3097759288894458
Hanwha,12,daily_matched,power-active,72,8,2000,2000,-0.008564210842545217,-1.9574539443861574,0.306453524772278
Hanwha,12,daily_matched,low-power,24,24,2000,2000,-76.4280620925458,-105.30551755350163,-61.361343310976316
Hanwha,12,daily_matched,low-power,48,12,2000,2000,-76.42806209254577,-106.42843068707634,-59.76044927661553
Hanwha,12,daily_matched,low-power,72,8,2000,2000,-76.4280620925458,-114.48777696393688,-54.68050930223349
Hanwha,48,primary,full,24,24,2000,2000,0.5751936852276102,0.5379615571662107,0.6126580264406334
Hanwha,48,primary,full,48,12,2000,2000,0.5751936852276102,0.5242154492978807,0.624484292546108
Hanwha,48,primary,full,72,8,2000,2000,0.5751936852276103,0.5362048432525296,0.6087944278727253
Hanwha,48,primary,power-active,24,24,2000,2000,0.5651896142852849,0.5295369329945796,0.5997174241561423
