site,h,model,scope,RMSE_mean,RMSE_seed_SD,MAE_mean,bias_mean,points,weighted_MSE,Daily_weighted_MSE,MSE_contribution_difference_vs_Daily,full_points,target_fraction
Hanwha,12,Daily,full,0.1851966516577387,,0.0499581438221991,-0.0045715543670801,79392,0.0342977997852378,0.0342977997852378,0.0,79392,1.0
Hanwha,12,Daily,low-power,0.0015289376569212,,0.0001971414334294,-9.488024417117276e-05,42971,1.2652556122269143e-06,1.2652556122269143e-06,0.0,79392,0.5412510076582023
Hanwha,12,Daily,power-active,0.2734245827033721,,0.1086682295872199,-0.0098533193854904,36421,0.0342965345296256,0.0342965345296256,0.0,79392,0.45874899234179767
Hanwha,12,Inverted,full,0.20609554478713454,0.011039597039722997,0.14931167910572693,-0.013175666124855467,79392,0.04255662204963873,0.0342977997852378,0.00825882226440093,79392,1.0
Hanwha,12,Inverted,low-power,0.1183826798357263,0.004200473818998272,0.09251524315519316,0.0190152314371028,42971,0.007591706541417433,1.2652556122269143e-06,0.007590441285805206,79392,0.5412510076582023
Hanwha,12,Inverted,power-active,0.27576624847917863,0.016012951995653127,0.21632245995277632,-0.05115581656374813,36421,0.034964915508221235,0.0342965345296256,0.0006683809785956382,79392,0.45874899234179767
Hanwha,12,Joint-patch,full,0.25912154679064764,0.03182599632491962,0.20654476302167366,-0.054182853725844964,79392,0.06781923870589364,0.0342977997852378,0.03352143892065584,79392,1.0
Hanwha,12,Joint-patch,low-power,0.21249128171249718,0.0556597373404623,0.17738157687636127,-0.0745136779707052,42971,0.0255567264164126,1.2652556122269143e-06,0.025555461160800375,79392,0.5412510076582023
Hanwha,12,Joint-patch,power-active,0.30315868305397614,0.018181692746446217,0.24095269448567022,-0.030195707611628226,36421,0.04226251228948097,0.0342965345296256,0.007965977759855372,79392,0.45874899234179767
Hanwha,12,Last-value,full,0.4339292434436954,,0.2247218029182162,-0.0092028247449372,79392,0.1882945883156178,0.0342977997852378,0.15399678853037999,79392,1.0
Hanwha,12,Last-value,low-power,0.1139056266090517,,0.0135737846118128,0.0123785632273346,42971,0.0070224567460979,1.2652556122269143e-06,0.007021191490485673,79392,0.5412510076582023
Hanwha,12,Last-value,power-active,0.6286051853090959,,0.4738429554028943,-0.0346654375934722,36421,0.1812721315695199,0.0342965345296256,0.14697559703989432,79392,0.45874899234179767
Hanwha,12,Recurrent,full,0.21359662376337774,0.022686102708089937,0.13820739934228726,-0.0861095662409948,79392,0.04596662385383524,0.0342977997852378,0.011668824068597435,79392,1.0
Hanwha,12,Recurrent,low-power,0.07067637853152232,0.010392739225592683,0.053845009003150736,-0.024152632100282036,42971,0.002742603562347267,1.2652556122269143e-06,0.00274133830673504,79392,0.5412510076582023
Hanwha,12,Recurrent,power-active,0.3057645599993691,0.03308032149680159,0.23774163166053872,-0.15920891598319212,36421,0.043224020291487864,0.0342965345296256,0.008927485761862267,79392,0.45874899234179767
Hanwha,12,TCN,full,0.17559437169505765,0.006859555925913797,0.12264440328721497,0.008556192632056802,79392,0.030864752375982532,0.0342977997852378,-0.00343304740925527,79392,1.0
Hanwha,12,TCN,low-power,0.10902987957332093,0.00587649959868483,0.07914680305402093,0.010235981107412,42971,0.006446590047345433,1.2652556122269143e-06,0.006445324791733206,79392,0.5412510076582023
Hanwha,12,TCN,power-active,0.23059139514760293,0.009109929181723533,0.1739646685083945,0.006574308812982964,36421,0.024418162328637066,0.0342965345296256,-0.009878372200988531,79392,0.45874899234179767
Hanwha,48,Daily,full,0.1932118789923529,,0.0524958676717186,-0.0053762292137752,289920,0.0373308301837556,0.0373308301837556,0.0,289920,1.0
Hanwha,48,Daily,low-power,0.0015042576791818,,0.0001964703746142,-8.852000564122463e-05,157271,1.2274814754763497e-06,1.2274814754763497e-06,0.0,289920,0.5424634381898454
Hanwha,48,Daily,power-active,0.285636551856354,,0.114502957904686,-0.0116454307522145,132649,0.0373296027022801,0.0373296027022801,0.0,289920,0.4575365618101545
Hanwha,48,Inverted,full,0.5747008179525657,0.023426352602268375,0.314966076306555,-0.15286704944457763,289920,0.33064689281951193,0.0373308301837556,0.2933160626357563,289920,1.0
Hanwha,48,Inverted,low-power,0.2138288536147963,0.027387375159142007,0.14611136024911253,0.05643574681937827,157271,0.025074192129492832,1.2274814754763497e-06,0.025072964648017355,289920,0.5424634381898454
Hanwha,48,Inverted,power-active,0.8168684471473816,0.029775108333975626,0.5151632134811287,-0.4010201457455571,132649,0.3055727006900191,0.0373296027022801,0.268243097987739,289920,0.4575365618101545
Hanwha,48,Joint-patch,full,0.5863535779617874,0.028378281331507566,0.34874885528788785,-0.19356614847599943,289920,0.34434740295614336,0.0373308301837556,0.30701657277238775,289920,1.0
Hanwha,48,Joint-patch,low-power,0.24143339187445592,0.01564240015842397,0.18124970170419383,-0.008474713256027363,157271,0.03170872700983023,1.2274814754763497e-06,0.031707499528354756,289920,0.5424634381898454
Hanwha,48,Joint-patch,power-active,0.8256940557154729,0.04803037816922808,0.547338813623504,-0.4130138269996236,132649,0.3126386759463131,0.0373296027022801,0.27530907324403303,289920,0.4575365618101545
Hanwha,48,Last-value,full,1.35006332452953,,0.7418625605066737,-0.1763498957047361,289920,1.822670980239727,0.0373308301837556,1.7853401500559714,289920,1.0
Hanwha,48,Last-value,low-power,0.6189663941585849,,0.1414461837651611,0.1401346592882777,157271,0.2078282653868285,1.2274814754763497e-06,0.20782703790535303,289920,0.5424634381898454
Hanwha,48,Last-value,power-active,1.87867740510536,,1.4537268337881488,-0.551579580423854,132649,1.614842714852898,0.0373296027022801,1.577513112150618,289920,0.4575365618101545
Hanwha,48,Recurrent,full,0.5977074394741956,0.03533315463218589,0.27835919629048506,-0.22221428163983645,289920,0.35808647108030706,0.0373308301837556,0.32075564089655145,289920,1.0
Hanwha,48,Recurrent,low-power,0.1029038913040593,0.02199840913231686,0.058793050744738735,-0.0098559640932716,157271,0.005919269278979633,1.2274814754763497e-06,0.005918041797504157,289920,0.5424634381898454
Hanwha,48,Recurrent,power-active,0.876271475585816,0.05269484726141352,0.538680700984264,-0.4739900580035166,132649,0.3521672018013274,0.0373296027022801,0.3148375990990473,289920,0.4575365618101545
Hanwha,48,TCN,full,0.5873557295893596,0.009890068005657175,0.33693843966351705,-0.1810480931472498,289920,0.3450519620448865,0.0373308301837556,0.30772113186113087,289920,1.0
Hanwha,48,TCN,low-power,0.24915760373689708,0.006817988862514437,0.1712415743472857,0.026601657469501338,157271,0.033692676181258936,1.2274814754763497e-06,0.03369144869978346,289920,0.5424634381898454
Hanwha,48,TCN,power-active,0.8248528640028695,0.013970341101138982,0.5333915731598045,-0.4272413092984991,132649,0.31135928586362743,0.0373296027022801,0.27402968316134735,289920,0.4575365618101545
Hanwha,96,Daily,full,0.2035051864364114,,0.053752679637123,-0.0058564380077739,506112,0.0414143609065185,0.0414143609065185,0.0,506112,1.0
Hanwha,96,Daily,low-power,0.0015684705686395,,0.0002156933524934,-9.430613803470212e-05,277692,1.349800179182838e-06,1.349800179182838e-06,0.0,506112,0.5486769726858877
Hanwha,96,Daily,power-active,0.302917705226673,,0.1188380171528894,-0.0128615072800427,228420,0.0414130111063394,0.0414130111063394,0.0,506112,0.4513230273141123
Hanwha,96,Inverted,full,0.8625554497159693,0.024820590746925095,0.5249100473875489,-0.3365270419399408,506112,0.7444126116514024,0.0414143609065185,0.7029982507448839,506112,1.0
Hanwha,96,Inverted,low-power,0.32839912332768006,0.04090489292988357,0.21112477463082976,0.010963076665354834,277692,0.059784642757296204,1.349800179182838e-06,0.05978329295711702,506112,0.5486769726858877
Hanwha,96,Inverted,power-active,1.231462433102574,0.025569890651271594,0.906381284417401,-0.7589735265548684,228420,0.6846279688941058,0.0414130111063394,0.6432149577877664,506112,0.4513230273141123
Hanwha,96,Joint-patch,full,0.809610107563966,0.060898986304861215,0.48621058846084586,-0.30556492073226665,506112,0.6579409839583764,0.0414143609065185,0.6165266230518579,506112,1.0
Hanwha,96,Joint-patch,low-power,0.2983061287514041,0.018308217871047756,0.20281729386663125,-0.030226599736200028,277692,0.048947476580480064,1.349800179182838e-06,0.04894612678030088,506112,0.5486769726858877
Hanwha,96,Joint-patch,power-active,1.1587701011573992,0.09952574009342909,0.8307340573447292,-0.640295894526329,228420,0.6089935073778964,0.0414130111063394,0.5675804962715569,506112,0.4513230273141123
Hanwha,96,Last-value,full,2.171396333271311,,1.3469447372961845,-0.5242548517442952,506112,4.714962036144094,0.0414143609065185,4.673547675237575,506112,1.0
Hanwha,96,Last-value,low-power,1.3556342413296525,,0.480218024355984,0.478740880136511,277692,1.0083279221779715,1.349800179182838e-06,1.0083265723777923,506112,0.5486769726858877
Hanwha,96,Last-value,power-active,2.8658015480442915,,2.4006312549819837,-1.7436046931655582,228420,3.706634113966122,0.0414130111063394,3.6652211028597828,506112,0.4513230273141123
Hanwha,96,Recurrent,full,0.8582398675803725,0.048354968382648696,0.4218199735335542,-0.35426970394763996,506112,0.7381344722825665,0.0414143609065185,0.696720111376048,506112,1.0
Hanwha,96,Recurrent,low-power,0.13083570344058806,0.02262833762138399,0.0606364954964586,-0.0056566385528260335,277692,0.009579539135202401,1.349800179182838e-06,0.009578189335023218,506112,0.5486769726858877
Hanwha,96,Recurrent,power-active,1.269060650915305,0.07499989983901248,0.8609135834761038,-0.7780813638531505,228420,0.7285549331473639,0.0414130111063394,0.6871419220410244,506112,0.4513230273141123
Hanwha,96,TCN,full,0.8043215641619313,0.010307873554398909,0.4834184655440911,-0.25086536409322424,506112,0.6470040134140383,0.0414143609065185,0.6055896525075198,506112,1.0
Hanwha,96,TCN,low-power,0.34138681171397783,0.0164936330856394,0.20333946087293375,0.06284101933364193,277692,0.0640450412386874,1.349800179182838e-06,0.06404369143850822,506112,0.5486769726858877
Hanwha,96,TCN,power-active,1.1364470327142404,0.015245276747356186,0.82391272596412,-0.6322406947410367,228420,0.5829589721753509,0.0414130111063394,0.5415459610690114,506112,0.4513230273141123
Hanwha,144,Daily,full,0.2030694361600664,,0.053088450850752,-0.0026523253931581,649735,0.0412371959023673,0.0412371959023673,0.0,649735,1.0
Hanwha,144,Daily,low-power,0.0016356166999813,,0.000235896789593,-9.997072284097964e-05,362367,1.4920227691619554e-06,1.4920227691619554e-06,0.0,649735,0.5577150684509838
Hanwha,144,Daily,power-active,0.3053413591480325,,0.1197347770160871,-0.0058708086787669,287368,0.0412357038795981,0.0412357038795981,0.0,649735,0.44228493154901616
Hanwha,144,Inverted,full,0.8054422873628129,0.020676770191542147,0.5141341999290193,-0.2870793902330315,649735,0.649022297489276,0.0412371959023673,0.6077851015869087,649735,1.0
Hanwha,144,Inverted,low-power,0.3609151294954592,0.03695024944179482,0.22935210249316929,-0.0096706941712044,362367,0.07315545466175083,1.4920227691619554e-06,0.07315396263898166,649735,0.5577150684509838
Hanwha,144,Inverted,power-active,1.1409659167411887,0.01831378736330144,0.8732404132218585,-0.6368878482584069,287368,0.5758668428275251,0.0412357038795981,0.534631138947927,649735,0.44228493154901616
Hanwha,144,Joint-patch,full,0.7460130076321588,0.04352751362778846,0.4560438428088108,-0.22133462046724098,649735,0.5577985038514578,0.0412371959023673,0.5165613079490905,649735,1.0
Hanwha,144,Joint-patch,low-power,0.3236788277020234,0.007357409949917487,0.20252659403049975,-0.015340580429918163,362367,0.0584508097190841,1.4920227691619554e-06,0.05844931769631494,649735,0.5577150684509838
Hanwha,144,Joint-patch,power-active,1.0609417596271966,0.07163119153727467,0.7757255223557689,-0.4810902032259496,287368,0.49934769413237357,0.0412357038795981,0.4581119902527755,649735,0.44228493154901616
Hanwha,144,Last-value,full,2.559745429211409,,1.7253270461705237,-0.5907905013187653,649735,6.552296662368701,0.0412371959023673,6.511059466466334,649735,1.0
Hanwha,144,Last-value,low-power,1.804368744005597,,0.8343225689498501,0.8326189289992649,362367,1.815778917992357,1.4920227691619554e-06,1.8157774259695878,649735,0.5577150684509838
Hanwha,144,Last-value,power-active,3.272491390245591,,2.848871140840159,-2.385689742139085,287368,4.736517744376344,0.0412357038795981,4.695282040496745,649735,0.44228493154901616
Hanwha,144,Recurrent,full,0.7859811160300167,0.025523272983306138,0.40586076933154436,-0.2852025010238182,649735,0.6182006063983109,0.0412371959023673,0.5769634104959436,649735,1.0
Hanwha,144,Recurrent,low-power,0.16615315671512706,0.009941707713666674,0.05931727745296376,-0.003634713385939533,362367,0.015433517015573531,1.4920227691619554e-06,0.015432024992804369,649735,0.5577150684509838
Hanwha,144,Recurrent,power-active,1.1669465121852616,0.0403187785155665,0.8428472310167897,-0.6402555149396865,287368,0.6027670893827373,0.0412357038795981,0.5615313855031392,649735,0.44228493154901616
Hanwha,144,TCN,full,0.7431130928497525,0.01534712243181369,0.4676921361500797,-0.18742770575965248,649735,0.552374091542683,0.0412371959023673,0.5111368956403157,649735,1.0
Hanwha,144,TCN,low-power,0.3660988609145465,0.009465436676035858,0.21559914457454324,0.07032112209676983,362367,0.07478295700650006,1.4920227691619554e-06,0.0747814649837309,649735,0.5577150684509838
Hanwha,144,TCN,power-active,1.038992017557168,0.02199142105870679,0.785577847427092,-0.5124453469161075,287368,0.4775911345361828,0.0412357038795981,0.43635543065658466,649735,0.44228493154901616
NIST_GROUND,12,Daily,full,42.074163931721785,,18.269654079480837,-0.0921918227155675,300173,1770.2352705533983,1770.2352705533983,0.0,300173,1.0
NIST_GROUND,12,Daily,low-power,8.181686741066413,,1.0682780219092984,1.0313423114205604,191882,42.79059303335489,42.79059303335489,0.0,300173,0.6392380393972809
NIST_GROUND,12,Daily,power-active,69.19770717713014,,48.748959291169164,-2.0829941675670183,108291,1727.4446775200436,1727.4446775200436,0.0,300173,0.3607619606027191
NIST_GROUND,12,Inverted,full,17.78509936787503,0.1158297996303062,10.242889932901464,-2.1135990965967895,300173,316.31870388684365,1770.2352705533983,-1453.9165666665547,300173,1.0
NIST_GROUND,12,Inverted,low-power,6.380586987669087,0.3488813002538372,4.676745450999171,-2.50949212320192,191882,26.07646019282136,42.79059303335489,-16.714132840533527,300173,0.6392380393972809
NIST_GROUND,12,Inverted,power-active,28.36406513278527,0.09032698653082827,20.10560184318372,-1.4121119394826664,108291,290.2422436940223,1727.4446775200436,-1437.2024338260212,300173,0.3607619606027191
NIST_GROUND,12,Joint-patch,full,19.392762707811464,0.4145749969330082,11.396729417977243,-2.941782768344526,300173,376.19382706020434,1770.2352705533983,-1394.041443493194,300173,1.0
NIST_GROUND,12,Joint-patch,low-power,6.335813273039105,1.1621609505257102,4.587954392141424,-0.9031298797405186,191882,26.236209698959783,42.79059303335489,-16.554383334395105,300173,0.6392380393972809
NIST_GROUND,12,Joint-patch,power-active,31.142010168109312,0.5829145101558898,23.46127189618345,-6.554093981382677,108291,349.9576173612445,1727.4446775200436,-1377.487060158799,300173,0.3607619606027191
NIST_GROUND,12,Last-value,full,21.69873150024679,,9.169680121130147,0.0187208916191663,300173,470.8349487198024,1770.2352705533983,-1299.4003218335959,300173,1.0
NIST_GROUND,12,Last-value,low-power,4.629232981348959,,0.7156627406426868,0.6505801211161026,191882,13.698742055392856,42.79059303335489,-29.091850977962032,300173,0.6392380393972809
NIST_GROUND,12,Last-value,power-active,35.596921499279034,,24.149445410975986,-1.1008773453010867,108291,457.1362066644095,1727.4446775200436,-1270.3084708556341,300173,0.3607619606027191
NIST_GROUND,12,Recurrent,full,17.285056036081325,0.4596795064126471,8.5177363977431,-0.5061984249657194,300173,298.91403233621526,1770.2352705533983,-1471.321238217183,300173,1.0
NIST_GROUND,12,Recurrent,low-power,3.406986202293949,0.48751787690056586,2.0640387200572707,-0.3323042998749175,191882,7.521277394226871,42.79059303335489,-35.26931563912802,300173,0.6392380393972809
NIST_GROUND,12,Recurrent,power-active,28.41222768674565,0.8307189751545546,19.95311346314754,-0.8143233154060443,108291,291.39275494198836,1727.4446775200436,-1436.0519225780552,300173,0.3607619606027191
NIST_GROUND,12,TCN,full,17.714533698550614,0.07991236449603514,9.940552607910663,-0.1890591533751683,300173,313.80896148108485,1770.2352705533983,-1456.4263090723134,300173,1.0
NIST_GROUND,12,TCN,low-power,5.948610274851327,0.8139859401418684,3.9622319932002092,1.6595705599605706,191882,22.902415669559748,42.79059303335489,-19.88817736379514,300173,0.6392380393972809
NIST_GROUND,12,TCN,power-active,28.396328316164972,0.15274776975764842,20.53360388818207,-3.4646662366442142,108291,290.90654581152506,1727.4446775200436,-1436.5381317085184,300173,0.3607619606027191
NIST_GROUND,48,Daily,full,41.95482437408951,,18.18129146347592,-0.0523247199286064,1154170,1760.207288260695,1760.207288260695,0.0,1154170,1.0
NIST_GROUND,48,Daily,low-power,8.297113367571374,,1.0872619566503203,1.050446895029466,743904,44.3711986047811,44.3711986047811,0.0,1154170,0.6445359002573278
NIST_GROUND,48,Daily,power-active,69.47683504902952,,49.17658945610897,-2.051896255112536,410266,1715.8360896559138,1715.8360896559138,0.0,1154170,0.35546409974267223
NIST_GROUND,48,Inverted,full,28.492955411563713,0.24194100749193095,17.007803341133613,-0.0919138079036516,1154170,811.8875317194288,1760.207288260695,-948.3197565412661,1154170,1.0
NIST_GROUND,48,Inverted,low-power,12.990156895997705,1.8874120561601713,8.210112375891528,2.6984690265291995,743904,110.29237676252662,44.3711986047811,65.92117815774552,1154170,0.6445359002573278
NIST_GROUND,48,Inverted,power-active,44.41960092974373,0.9821751116791798,32.95998436468284,-5.151501860693636,410266,701.5951549569021,1715.8360896559138,-1014.2409346990117,1154170,0.35546409974267223
NIST_GROUND,48,Joint-patch,full,29.53588807524723,0.4258454962167751,18.452717057977125,0.6278901372541659,1154170,872.4895806512969,1760.207288260695,-887.717707609398,1154170,1.0
NIST_GROUND,48,Joint-patch,low-power,15.215725030218877,1.9636564679617479,9.666992358800856,5.232672803363232,743904,150.87871237008486,44.3711986047811,106.50751376530376,1154170,0.6445359002573278
NIST_GROUND,48,Joint-patch,power-active,45.048304344993575,1.0268971064700654,34.3832005653017,-7.721610539012448,410266,721.6108682812122,1715.8360896559138,-994.2252213747016,1154170,0.35546409974267223
NIST_GROUND,48,Last-value,full,48.404900139143486,,23.6797908034345,0.2052364112739025,1154170,2343.0343574804533,1760.207288260695,582.8270692197584,1154170,1.0
