site,model,h,support,analysis,scope,selected_alpha,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
Sanyo,Ridge,12,horizon_specific,primary,full,100.0,79068,6589,3351.566280579267,9086.532777311062,713.9994064991054,0.20588444187682467,0.11492048334738532,0.009030194345362287
Sanyo,Ridge,12,horizon_specific,primary,power-active,100.0,36190,3201,2938.206157110036,6759.283113947471,-323.51926134946837,0.28493568337698544,0.1867721225185817,-0.008939465635519988
Sanyo,Ridge,12,horizon_specific,primary,low-power,100.0,42878,3802,413.3601234692312,2327.2496633635915,1037.5186678485736,0.09818542609287204,0.054276077787293986,0.02419699304651741
Sanyo,Ridge,12,horizon_specific,daily_matched,full,100.0,79005,6589,3347.4551219704244,9072.553051361268,714.3348053250232,0.2058401515472465,0.11483517563902625,0.009041640469907263
Sanyo,Ridge,12,horizon_specific,daily_matched,power-active,100.0,36190,3201,2938.206157110036,6759.283113947471,-323.51926134946837,0.28493568337698544,0.1867721225185817,-0.008939465635519988
Sanyo,Ridge,12,horizon_specific,daily_matched,low-power,100.0,42815,3802,409.24896486038864,2313.269937413797,1037.8540666744916,0.09776779503561533,0.05402942747667399,0.024240431313196115
Sanyo,Ridge,12,common_H144,primary,full,100.0,49920,4160,1002.7127317521354,3801.058448669641,-196.42754622769442,0.1417264719931478,0.07614299776982454,-0.003934846679240674
Sanyo,Ridge,12,common_H144,primary,power-active,100.0,9137,838,723.2379106400596,1732.817328452409,-1008.7840554469265,0.28134472636834035,0.1896483887985563,-0.11040648521910107
Sanyo,Ridge,12,common_H144,primary,low-power,100.0,40783,3466,279.47482111207574,2068.2411202172334,812.3565092192318,0.0827812078310043,0.05071331486691105,0.01991899833801417
Sanyo,Ridge,12,common_H144,daily_matched,full,100.0,49860,4160,999.4154444425772,3788.597829675719,-194.57304044590612,0.1415783645268493,0.07598471379213236,-0.0039023874939010453
Sanyo,Ridge,12,common_H144,daily_matched,power-active,100.0,9137,838,723.2379106400596,1732.817328452409,-1008.7840554469265,0.28134472636834035,0.1896483887985563,-0.11040648521910107
Sanyo,Ridge,12,common_H144,daily_matched,low-power,100.0,40723,3466,276.1775338025176,2055.7805012233093,814.2110150010203,0.08235202664521775,0.050482049486121096,0.01999388588760701
