site,model,selected_alpha,validation_MSE,post_hoc,seed,seconds
Hanwha,Ridge,1.0,0.6051670721688386,True,,52.492431000006036
Hanwha,Ridge+day,100.0,0.10122366692385568,True,,54.45551180000621
NIST_GROUND,Ridge,0.1,2280.447841174291,True,,308.70871839999745
NIST_GROUND,Ridge+day,1000.0,1152.260207918009,True,,312.7454779999971
Qcells,Ridge,1000.0,0.6478277567386621,True,,38.353071700003056
Qcells,Ridge+day,1000.0,0.13870228948564486,True,,39.77949660000013
Sanyo,Ridge,100.0,0.819793083999531,True,,51.55590479999955
Sanyo,Ridge+day,1000.0,0.13071172499167347,True,,53.86575929999526
YULARA_COMBINED,Ridge,0.1,47033.79485211949,True,,162.98002909999923
YULARA_COMBINED,Ridge+day,1000.0,3919.976413254834,True,,167.32791700000234
