site,h,analysis,scope,origins_horizon_specific,points_horizon_specific,origins_common_H144,points_common_H144,origin_change,point_change
Hanwha,12,primary,full,6625,79500,4521,54252,-2104,-25248
Hanwha,12,primary,power-active,3225,36421,1323,14558,-1902,-21863
Hanwha,12,primary,low-power,3810,43079,3413,39694,-397,-3385
Hanwha,12,daily_matched,full,6625,79392,4521,54151,-2104,-25241
Hanwha,12,daily_matched,power-active,3225,36421,1323,14558,-1902,-21863
Hanwha,12,daily_matched,low-power,3810,42971,3413,39593,-397,-3378
Hanwha,48,primary,full,6049,290352,4521,217008,-1528,-73344
Hanwha,48,primary,power-active,3522,132649,2113,67179,-1409,-65470
Hanwha,48,primary,low-power,4098,157703,3737,149829,-361,-7874
Hanwha,48,daily_matched,full,6049,289920,4521,216583,-1528,-73337
Hanwha,48,daily_matched,power-active,3522,132649,2113,67179,-1409,-65470
Hanwha,48,daily_matched,low-power,4098,157271,3737,149404,-361,-7867
Hanwha,96,primary,full,5281,506976,4521,434016,-760,-72960
Hanwha,96,primary,power-active,3881,228420,3169,163334,-712,-65086
Hanwha,96,primary,low-power,4482,278556,4191,270682,-291,-7874
Hanwha,96,daily_matched,full,5281,506112,4521,433159,-760,-72953
Hanwha,96,daily_matched,power-active,3881,228420,3169,163334,-712,-65086
Hanwha,96,daily_matched,low-power,4482,277692,4191,269825,-291,-7867
Hanwha,144,primary,full,4521,651024,4521,651024,0,0
Hanwha,144,primary,power-active,4225,287368,4225,287368,0,0
Hanwha,144,primary,low-power,4521,363656,4521,363656,0,0
Hanwha,144,daily_matched,full,4521,649735,4521,649735,0,0
Hanwha,144,daily_matched,power-active,4225,287368,4225,287368,0,0
Hanwha,144,daily_matched,low-power,4521,362367,4521,362367,0,0
Qcells,12,primary,full,6463,77556,2996,35952,-3467,-41604
Qcells,12,primary,power-active,3173,36504,25,42,-3148,-36462
Qcells,12,primary,low-power,3594,41052,2996,35910,-598,-5142
Qcells,12,daily_matched,full,6463,77530,2996,35943,-3467,-41587
Qcells,12,daily_matched,power-active,3173,36504,25,42,-3148,-36462
Qcells,12,daily_matched,low-power,3594,41026,2996,35901,-598,-5125
Qcells,48,primary,full,5491,263568,2996,143808,-2495,-119760
Qcells,48,primary,power-active,3071,123447,784,15021,-2287,-108426
Qcells,48,primary,low-power,3486,140121,2996,128787,-490,-11334
Qcells,48,daily_matched,full,5491,263470,2996,143727,-2495,-119743
Qcells,48,daily_matched,power-active,3071,123447,784,15021,-2287,-108426
Qcells,48,daily_matched,low-power,3486,140023,2996,128706,-490,-11317
Qcells,96,primary,full,4227,405792,2996,287616,-1231,-118176
Qcells,96,primary,power-active,2927,184959,1792,77349,-1135,-107610
Qcells,96,primary,low-power,3374,220833,2996,210267,-378,-10566
Qcells,96,daily_matched,full,4227,405598,2996,287439,-1231,-118159
Qcells,96,daily_matched,power-active,2927,184959,1792,77349,-1135,-107610
Qcells,96,daily_matched,low-power,3374,220639,2996,210090,-378,-10549
Qcells,144,primary,full,2996,431424,2996,431424,0,0
Qcells,144,primary,power-active,2800,187950,2800,187950,0,0
Qcells,144,primary,low-power,2996,243474,2996,243474,0,0
Qcells,144,daily_matched,full,2996,431150,2996,431150,0,0
Qcells,144,daily_matched,power-active,2800,187950,2800,187950,0,0
Qcells,144,daily_matched,low-power,2996,243200,2996,243200,0,0
Sanyo,12,primary,full,6589,79068,4160,49920,-2429,-29148
Sanyo,12,primary,power-active,3201,36190,838,9137,-2363,-27053
Sanyo,12,primary,low-power,3802,42878,3466,40783,-336,-2095
Sanyo,12,daily_matched,full,6589,79005,4160,49860,-2429,-29145
Sanyo,12,daily_matched,power-active,3201,36190,838,9137,-2363,-27053
Sanyo,12,daily_matched,low-power,3802,42815,3466,40723,-336,-2092
Sanyo,48,primary,full,5905,283440,4160,199680,-1745,-83760
Sanyo,48,primary,power-active,3389,129528,1661,48051,-1728,-81477
Sanyo,48,primary,low-power,3982,153912,3682,151629,-300,-2283
Sanyo,48,daily_matched,full,5905,283197,4160,199440,-1745,-83757
Sanyo,48,daily_matched,power-active,3389,129528,1661,48051,-1728,-81477
