site,model,seed,best_epoch,stop_epoch,at_budget,best_at_budget
Hanwha,TCN,42,24,25,True,False
Hanwha,TCN,43,23,25,True,False
Hanwha,TCN,44,22,25,True,False
Qcells,TCN,42,24,25,True,False
Qcells,TCN,43,22,25,True,False
Qcells,TCN,44,23,25,True,False
Sanyo,TCN,42,12,17,False,False
Sanyo,TCN,43,25,25,True,True
Sanyo,TCN,44,14,19,False,False
Hanwha,Recurrent,42,15,20,False,False
Hanwha,Recurrent,43,14,19,False,False
Hanwha,Recurrent,44,12,17,False,False
Qcells,Recurrent,42,17,22,False,False
Qcells,Recurrent,43,6,11,False,False
Qcells,Recurrent,44,6,11,False,False
Sanyo,Recurrent,42,18,23,False,False
Sanyo,Recurrent,43,18,23,False,False
Sanyo,Recurrent,44,8,13,False,False
Hanwha,Inverted,42,21,25,True,False
Hanwha,Inverted,43,10,15,False,False
Hanwha,Inverted,44,8,13,False,False
Qcells,Inverted,42,21,25,True,False
Qcells,Inverted,43,15,20,False,False
Qcells,Inverted,44,12,17,False,False
Sanyo,Inverted,42,17,22,False,False
Sanyo,Inverted,43,19,24,False,False
Sanyo,Inverted,44,23,25,True,False
Hanwha,Joint-patch,42,10,15,False,False
Hanwha,Joint-patch,43,13,18,False,False
Hanwha,Joint-patch,44,14,19,False,False
Qcells,Joint-patch,42,7,12,False,False
Qcells,Joint-patch,43,6,11,False,False
Qcells,Joint-patch,44,13,18,False,False
Sanyo,Joint-patch,42,12,17,False,False
Sanyo,Joint-patch,43,15,20,False,False
Sanyo,Joint-patch,44,20,25,True,False
NIST_GROUND,TCN,42,25,25,True,True
NIST_GROUND,TCN,43,25,25,True,True
NIST_GROUND,TCN,44,25,25,True,True
NIST_GROUND,Recurrent,42,16,21,False,False
NIST_GROUND,Recurrent,43,11,16,False,False
NIST_GROUND,Recurrent,44,15,20,False,False
NIST_GROUND,Inverted,42,19,24,False,False
NIST_GROUND,Inverted,43,16,21,False,False
NIST_GROUND,Inverted,44,24,25,True,False
NIST_GROUND,Joint-patch,42,24,25,True,False
NIST_GROUND,Joint-patch,43,21,25,True,False
NIST_GROUND,Joint-patch,44,18,23,False,False
YULARA_COMBINED,TCN,42,1,6,False,False
YULARA_COMBINED,TCN,43,10,15,False,False
YULARA_COMBINED,TCN,44,9,14,False,False
YULARA_COMBINED,Recurrent,42,8,13,False,False
YULARA_COMBINED,Recurrent,43,13,18,False,False
YULARA_COMBINED,Recurrent,44,6,11,False,False
YULARA_COMBINED,Inverted,42,20,25,True,False
YULARA_COMBINED,Inverted,43,11,16,False,False
YULARA_COMBINED,Inverted,44,10,15,False,False
YULARA_COMBINED,Joint-patch,42,7,12,False,False
YULARA_COMBINED,Joint-patch,43,12,17,False,False
YULARA_COMBINED,Joint-patch,44,8,13,False,False
