site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Sanyo,Alice2018Test,Original,12,full,Original A,accepted,0.2058401515472465,0.1148351756390262,0.0090416404699072,3347.4551219704244,79005
Sanyo,Alice2018Test,Original,12,full,Original B,accepted,0.1365654485543728,0.0799809462392736,0.0102801967016989,1473.452867978402,79005
Sanyo,Alice2018Test,Original,12,full,Expanded A,accepted,0.2058401515472465,0.1148351756390262,0.0090416404699072,3347.4551219704244,79005
Sanyo,Alice2018Test,Original,12,full,Expanded B,accepted,0.1365654485543728,0.0799809462392736,0.0102801967016989,1473.452867978402,79005
Sanyo,Alice2018Test,Original,12,full,Daily,accepted,0.1752187229333811,0.0441210997111909,-0.0045086904719738,2425.579976450325,79005
Sanyo,Alice2018Test,Original,12,full,Last-value,accepted,0.463695033817162,0.2435597937094624,-0.0114226614101196,16987.10873197116,79005
Sanyo,Alice2018Test,Original,12,full,Inverted42,accepted,0.2650887684009845,0.2060021174914025,0.0598326025946299,5551.843715731375,79005
Sanyo,Alice2018Test,Original,12,full,Joint-patch Transformer42,accepted,0.2930856489204099,0.213010275739018,0.0530694754187605,6786.466106632737,79005
Sanyo,Alice2018Test,Original,12,full,Joint-patch Transformer43,accepted,0.2480341601947534,0.1745494141417316,0.0796011940743048,4860.462229980931,79005
Sanyo,Alice2018Test,Original,12,full,Joint-patch Transformer44,accepted,0.2193893036902073,0.1618183595853273,0.0526647290037217,3802.642317653115,79005
Sanyo,Alice2018Test,Original,12,power-active,Original A,accepted,0.2849356833769854,0.1867721225185817,-0.0089394656355199,2938.206157110036,36190
Sanyo,Alice2018Test,Original,12,power-active,Original B,accepted,0.1837608775869035,0.1257749543724357,0.0134561937719453,1222.0660961593085,36190
Sanyo,Alice2018Test,Original,12,power-active,Expanded A,accepted,0.2849356833769854,0.1867721225185817,-0.0089394656355199,2938.206157110036,36190
Sanyo,Alice2018Test,Original,12,power-active,Expanded B,accepted,0.1837608775869035,0.1257749543724357,0.0134561937719453,1222.0660961593085,36190
Sanyo,Alice2018Test,Original,12,power-active,Daily,accepted,0.2588756697513815,0.0961187109633353,-0.0098505394939181,2425.331202366101,36190
Sanyo,Alice2018Test,Original,12,power-active,Last-value,accepted,0.6671094245200004,0.5124928517285636,-0.0439796784288438,16105.81608121647,36190
Sanyo,Alice2018Test,Original,12,power-active,Inverted42,accepted,0.3178919072713162,0.2467198940541441,-0.0661469797732553,3657.190029804057,36190
Sanyo,Alice2018Test,Original,12,power-active,Joint-patch Transformer42,accepted,0.3781545612544951,0.2994781899938509,0.0852706564052875,5175.201564830409,36190
Sanyo,Alice2018Test,Original,12,power-active,Joint-patch Transformer43,accepted,0.3229613761114057,0.2520265032188357,0.1068941448946379,3774.76358613918,36190
Sanyo,Alice2018Test,Original,12,power-active,Joint-patch Transformer44,accepted,0.2767727630233609,0.2101097292405288,0.064513578267367,2772.26844550388,36190
Sanyo,Alice2018Test,Original,12,low-power,Original A,accepted,0.0977677950356153,0.0540294274766739,0.0242404313131961,409.2489648603885,42815
Sanyo,Alice2018Test,Original,12,low-power,Original B,accepted,0.0766254849879986,0.0412728963890076,0.0075956390940329,251.38677181909352,42815
Sanyo,Alice2018Test,Original,12,low-power,Expanded A,accepted,0.0977677950356153,0.0540294274766739,0.0242404313131961,409.2489648603885,42815
Sanyo,Alice2018Test,Original,12,low-power,Expanded B,accepted,0.0766254849879986,0.0412728963890076,0.0075956390940329,251.38677181909352,42815
Sanyo,Alice2018Test,Original,12,low-power,Daily,accepted,0.0024104858915607,0.0001693643096935,6.584924596706678e-06,0.2487740842235883,42815
Sanyo,Alice2018Test,Original,12,low-power,Last-value,accepted,0.1434703309324605,0.0162402241728217,0.0160966296305816,881.2926507546925,42815
Sanyo,Alice2018Test,Original,12,low-power,Inverted42,accepted,0.2103618324947085,0.1715848260326703,0.1663186725676246,1894.6536859273183,42815
Sanyo,Alice2018Test,Original,12,low-power,Joint-patch Transformer42,accepted,0.1939927282168381,0.1399220165568994,0.0258509599474909,1611.2645418023294,42815
Sanyo,Alice2018Test,Original,12,low-power,Joint-patch Transformer43,accepted,0.1592416516750833,0.1090607803988752,0.0565314313699289,1085.6986438417505,42815
Sanyo,Alice2018Test,Original,12,low-power,Joint-patch Transformer44,accepted,0.1551313045232905,0.1209993786715882,0.0426493172356189,1030.373872149236,42815
Sanyo,Alice2018Test,S1,12,full,Original A,accepted,0.2100543521073131,0.1194033903195496,0.0072255657591141,3588.8186919698865,81337
Sanyo,Alice2018Test,S1,12,full,Original B,accepted,0.1385432677949241,0.0819128586815405,0.0118088569380805,1561.2016590412688,81337
Sanyo,Alice2018Test,S1,12,full,Expanded A,accepted,0.2100543521073131,0.1194033903195496,0.0072255657591141,3588.8186919698865,81337
Sanyo,Alice2018Test,S1,12,full,Expanded B,accepted,0.1385432677949241,0.0819128586815405,0.0118088569380805,1561.2016590412688,81337
Sanyo,Alice2018Test,S1,12,full,Daily,accepted,0.1728765886443505,0.0431052023570663,-0.0043655506385425,2430.863195127687,81337
Sanyo,Alice2018Test,S1,12,full,Last-value,accepted,0.4644844228457247,0.2457242280188989,-0.0019595927946102,17548.11443191776,81337
Sanyo,Alice2018Test,S1,12,full,Inverted42,accepted,0.2687315590247271,0.2087981258317859,0.0663824267102705,5873.885727409637,81337
Sanyo,Alice2018Test,S1,12,full,Joint-patch Transformer42,accepted,0.3012489464637197,0.2182767783254159,0.062013664559374,7381.408210035822,81337
Sanyo,Alice2018Test,S1,12,full,Joint-patch Transformer43,accepted,0.2513959456608139,0.1767494566369576,0.0834034985464865,5140.492014613998,81337
