site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Sanyo,Alice2018Test,Original,12,full,Depthwise convolutional TCN42,diagnostic,0.2335576395034597,0.1724206054930527,-0.0669010875737873,4309.65725251867,79005
Sanyo,Alice2018Test,Original,12,full,Depthwise convolutional TCN43,diagnostic,0.1755544615234613,0.1143023412436677,0.038946360917074,2434.8842447474103,79005
Sanyo,Alice2018Test,Original,12,full,Depthwise convolutional TCN44,diagnostic,0.2544256674431941,0.2003677143159089,0.1660502420933642,5114.18486216054,79005
Sanyo,Alice2018Test,Original,12,full,Discrete recurrent decoder42,diagnostic,0.2070611083206925,0.1358980130840099,-0.0149109882910274,3387.284275253388,79005
Sanyo,Alice2018Test,Original,12,full,Discrete recurrent decoder43,diagnostic,0.2117958504239835,0.1212091585292423,0.0251953112573847,3543.965385699938,79005
Sanyo,Alice2018Test,Original,12,full,Discrete recurrent decoder44,diagnostic,0.2028766580945329,0.1219243305743488,-0.0193359646535774,3251.761928260875,79005
Sanyo,Alice2018Test,Original,12,full,Inverted43,diagnostic,0.2758110724695514,0.2090427684237581,0.0828826510995947,6010.048426786011,79005
Sanyo,Alice2018Test,Original,12,full,Inverted44,diagnostic,0.2271548689840946,0.1595588737850772,-0.0046477060655662,4076.6054224238296,79005
Sanyo,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN42,diagnostic,0.3112261003229514,0.2591395088665809,-0.2297725015365992,3505.42439904957,36190
Sanyo,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN43,diagnostic,0.240414302197096,0.1744805018214701,0.062466092374434,2091.747138206172,36190
Sanyo,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN44,diagnostic,0.320508905559024,0.2571224671177325,0.1850836539493308,3717.652439658264,36190
Sanyo,Alice2018Test,Original,12,power-active,Discrete recurrent decoder42,diagnostic,0.2960055919411052,0.2263171445257973,-0.0948996328381305,3170.942845562025,36190
Sanyo,Alice2018Test,Original,12,power-active,Discrete recurrent decoder43,diagnostic,0.306745061860543,0.2164430206583977,0.0430463730699528,3405.208768395229,36190
Sanyo,Alice2018Test,Original,12,power-active,Discrete recurrent decoder44,diagnostic,0.2911383189078494,0.2025090634501042,-0.0644229387937431,3067.519435453523,36190
