model,old_RMSE,new_RMSE,old_rank,new_rank,site,horizon,scope,meaning
Depthwise convolutional TCN,0.17559437169505768,0.1755944851758122,1.0,1.0,Hanwha,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.21359662376337774,0.21359663708268584,3.0,3.0,Hanwha,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.20609554478713457,0.20609549279346842,2.0,2.0,Hanwha,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.25912154679064764,0.25912147286423265,4.0,4.0,Hanwha,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.10902987957332096,0.10902992384916299,2.0,2.0,Hanwha,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.07067637853152238,0.07067638435375413,1.0,1.0,Hanwha,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.11838267983572633,0.1183825959851746,3.0,3.0,Hanwha,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.21249128171249718,0.21249123023527747,4.0,4.0,Hanwha,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.23059139514760296,0.23059155793164662,1.0,1.0,Hanwha,12,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.3057645599993692,0.3057645785493668,4.0,4.0,Hanwha,12,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.2757662484791787,0.2757662060333312,2.0,2.0,Hanwha,12,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.30315868305397614,0.30315859588249927,3.0,3.0,Hanwha,12,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.7431130928497521,0.7431131113669712,1.0,1.0,Hanwha,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.7859811160300163,0.7859811454456631,3.0,3.0,Hanwha,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.8054422873628124,0.8054422735217686,4.0,4.0,Hanwha,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.7460130076321586,0.7460130039822835,2.0,2.0,Hanwha,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.3660988609145465,0.36609887025793486,4.0,4.0,Hanwha,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.16615315671512712,0.16615321184055468,1.0,1.0,Hanwha,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.3609151294954592,0.3609151257018393,3.0,3.0,Hanwha,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.32367882770202344,0.323678821649204,2.0,2.0,Hanwha,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,1.038992017557167,1.0389920435757365,1.0,1.0,Hanwha,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,1.1669465121852607,1.1669465470192077,4.0,4.0,Hanwha,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,1.1409659167411876,1.1409658958224078,3.0,3.0,Hanwha,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,1.0609417596271962,1.060941755937448,2.0,2.0,Hanwha,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.4161238819605755,0.41612398649347276,2.0,2.0,Qcells,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.9231675119772952,0.9231675256992862,4.0,4.0,Qcells,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.32736881432513104,0.32736879634997257,1.0,1.0,Qcells,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.5322602259370005,0.5322602922334948,3.0,3.0,Qcells,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.08866973888575512,0.08866975690146572,1.0,1.0,Qcells,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.09133677109623983,0.0913367941139015,2.0,2.0,Qcells,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.12800053477965184,0.12800042831992955,3.0,3.0,Qcells,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.18813243818051614,0.1881324529286832,4.0,4.0,Qcells,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
