site,period,support,horizon,scope,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
Hanwha,Alice2018Test,Original,12,full,24,Original A,Daily,0.17681139260206719,0.18519665165773877,-0.008385259055671584,-0.09559103507229039,0.10126275612593862,0.04527759535938236,-1.7298892689321577,0.3353043519438607,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Original A,Last-value,0.17681139260206719,0.4339292434436954,-0.2571178508416282,-0.2755198399529048,-0.23533749414421104,0.5925340472587683,0.5256818934246992,0.6426961005519095,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Expanded A,Daily,0.17681139260206719,0.18519665165773877,-0.008385259055671584,-0.09559103507229039,0.10126275612593862,0.04527759535938236,-1.7298892689321577,0.3353043519438607,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Expanded A,Last-value,0.17681139260206719,0.4339292434436954,-0.2571178508416282,-0.2755198399529048,-0.23533749414421104,0.5925340472587683,0.5256818934246992,0.6426961005519095,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Original B,Daily,0.12143738786897665,0.18519665165773877,-0.06375926378876212,-0.1452878979334072,0.04121159937539382,0.3442787070826495,-0.7109382825927952,0.5477498671969496,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Original B,Last-value,0.12143738786897665,0.4339292434436954,-0.3124918555747187,-0.33162768393433706,-0.28967863109931624,0.7201447247361337,0.6487732849900786,0.7730415234654003,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Expanded B,Daily,0.12143738786897665,0.18519665165773877,-0.06375926378876212,-0.1452878979334072,0.04121159937539382,0.3442787070826495,-0.7109382825927952,0.5477498671969496,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Expanded B,Last-value,0.12143738786897665,0.4339292434436954,-0.3124918555747187,-0.33162768393433706,-0.28967863109931624,0.7201447247361337,0.6487732849900786,0.7730415234654003,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Inverted42,Daily,0.19334863168318434,0.18519665165773877,0.008151980025445565,-0.07875627791764052,0.12126202700559005,-0.04401796659105495,-2.105784986575662,0.2819488464778403,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Inverted42,Last-value,0.19334863168318434,0.4339292434436954,-0.24058061176051104,-0.2536229927521894,-0.2265700216001026,0.5544235964629742,0.5082705501056728,0.5904242733240279,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Inverted43,Daily,0.21237320610998092,0.18519665165773877,0.027176554452242152,-0.05828887354744379,0.1391986552795454,-0.14674430778838832,-2.3808096319536776,0.20613546986956324,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Inverted43,Last-value,0.21237320610998092,0.4339292434436954,-0.22155603733371446,-0.23281227719927886,-0.20930330852358445,0.5105810237066046,0.4680690169808557,0.5434126029752937,24,24,79392,2000,2000,0,2000
Hanwha,Alice2018Test,Original,12,full,24,Inverted44,Daily,0.2125646405872401,0.18519665165773877,0.02736798892950132,-0.057973068143355275,0.14062356395036674,-0.14777798996107117,-2.401489271418639,0.2065597352987149,24,24,79392,2000,2000,0,2000
