site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Hanwha,Alice2018Test,Original,12,full,Original A,accepted,0.17681139260206716,0.10815177718542432,-0.01118747176827394,2481.974025029826,79392
Hanwha,Alice2018Test,Original,12,full,Original B,accepted,0.12143738786897668,0.06975714070610327,-0.004673768458189695,1170.796933978379,79392
Hanwha,Alice2018Test,Original,12,full,Expanded A,accepted,0.17681139260206716,0.10815177718542432,-0.01118747176827394,2481.974025029826,79392
Hanwha,Alice2018Test,Original,12,full,Expanded B,accepted,0.12143738786897668,0.06975714070610327,-0.004673768458189695,1170.796933978379,79392
Hanwha,Alice2018Test,Original,12,full,Daily,accepted,0.1851966516577388,0.0499581438221991,-0.004571554367080138,2722.9709205496033,79392
Hanwha,Alice2018Test,Original,12,full,Last-value,accepted,0.4339292434436954,0.22472180291821622,-0.009202824744937214,14949.083955553533,79392
Hanwha,Alice2018Test,Original,12,full,Depthwise convolutional TCN42,diagnostic,0.17945474960273777,0.1280539120739984,-0.024003426380032986,2556.740536048276,79392
Hanwha,Alice2018Test,Original,12,full,Depthwise convolutional TCN43,diagnostic,0.16767465690064812,0.11329924464197443,0.01292492491644767,2232.089452675421,79392
Hanwha,Alice2018Test,Original,12,full,Depthwise convolutional TCN44,diagnostic,0.1796540490240507,0.12658028949297534,0.03674730302160367,2562.4226354417933,79392
Hanwha,Alice2018Test,Original,12,full,Discrete recurrent decoder42,diagnostic,0.19294745557411302,0.12397221618656787,-0.07231428976658195,2955.662586869531,79392
Hanwha,Alice2018Test,Original,12,full,Discrete recurrent decoder43,diagnostic,0.20996178928001508,0.12846926240372378,-0.06340653347020597,3499.9131932149753,79392
Hanwha,Alice2018Test,Original,12,full,Discrete recurrent decoder44,diagnostic,0.23788066639392935,0.16218073302915112,-0.12260790871005216,4492.571890963629,79392
Hanwha,Alice2018Test,Original,12,full,Inverted42,accepted,0.19334863168318434,0.13980795679525124,-0.00845832051619861,2967.9661843295285,79392
Hanwha,Alice2018Test,Original,12,full,Inverted43,accepted,0.2123732061099809,0.15417504942658197,-0.015231443545289335,3580.768047641147,79392
Hanwha,Alice2018Test,Original,12,full,Inverted44,accepted,0.21256464058724006,0.15395184936212175,-0.015837243669716203,3587.2264085703905,79392
Hanwha,Alice2018Test,Original,12,full,Joint-patch Transformer42,accepted,0.2504662834041726,0.19485363842092637,0.09242111314059108,4980.526847437587,79392
Hanwha,Alice2018Test,Original,12,full,Joint-patch Transformer43,accepted,0.29437983681224805,0.24513788520924945,-0.1988755213658211,6880.070096828928,79392
Hanwha,Alice2018Test,Original,12,full,Joint-patch Transformer44,accepted,0.23251829837627724,0.17964252669269087,-0.05609415572318744,4292.309352863442,79392
Hanwha,Alice2018Test,Original,12,power-active,Original A,accepted,0.23706958559922275,0.15698893039353087,-0.04866501752228825,2046.9326201059544,36421
Hanwha,Alice2018Test,Original,12,power-active,Original B,accepted,0.16746401268352165,0.10836351029545059,-0.012687023772084418,1021.3976459104533,36421
Hanwha,Alice2018Test,Original,12,power-active,Expanded A,accepted,0.23706958559922275,0.15698893039353087,-0.04866501752228825,2046.9326201059544,36421
Hanwha,Alice2018Test,Original,12,power-active,Expanded B,accepted,0.16746401268352165,0.10836351029545059,-0.012687023772084418,1021.3976459104533,36421
Hanwha,Alice2018Test,Original,12,power-active,Daily,accepted,0.27342458270337217,0.10866822958721992,-0.009853319385490424,2722.8704693760374,36421
Hanwha,Alice2018Test,Original,12,power-active,Last-value,accepted,0.6286051853090959,0.4738429554028943,-0.03466543759347229,14391.557069567325,36421
Hanwha,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN42,diagnostic,0.2334347346019105,0.18270436591851485,-0.030426461202206396,1984.6449488810756,36421
Hanwha,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN43,diagnostic,0.22039913609670514,0.15757761575279886,-0.009292850776280902,1769.1784539581674,36421
Hanwha,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN44,diagnostic,0.2379408030963242,0.18161243626498438,0.05944264483946952,2062.0049906650443,36421
Hanwha,Alice2018Test,Original,12,power-active,Discrete recurrent decoder42,diagnostic,0.274107910148389,0.20777819183112484,-0.13923010518209775,2736.497167249914,36421
Hanwha,Alice2018Test,Original,12,power-active,Discrete recurrent decoder43,diagnostic,0.30308087529631295,0.224186871334474,-0.12002482779190161,3345.560836078181,36421
Hanwha,Alice2018Test,Original,12,power-active,Discrete recurrent decoder44,diagnostic,0.3401049502033985,0.28125982522755993,-0.21837181909176767,4212.867227284175,36421
Hanwha,Alice2018Test,Original,12,power-active,Inverted42,accepted,0.25728873895652865,0.1970207106460602,0.005064642408960666,2410.9789724548737,36421
Hanwha,Alice2018Test,Original,12,power-active,Inverted43,accepted,0.28559652591256224,0.2276986787344882,-0.08452222241269645,2970.6925452129035,36421
Hanwha,Alice2018Test,Original,12,power-active,Inverted44,accepted,0.28441335323090255,0.22424782243329686,-0.07400968875174682,2946.129490121497,36421
Hanwha,Alice2018Test,Original,12,power-active,Joint-patch Transformer42,accepted,0.31341087148325053,0.251581838129063,0.06762704444061132,3577.5027807072593,36421
Hanwha,Alice2018Test,Original,12,power-active,Joint-patch Transformer43,accepted,0.31389878114488806,0.2499234035540949,-0.1585907347909424,3588.6501722154558,36421
Hanwha,Alice2018Test,Original,12,power-active,Joint-patch Transformer44,accepted,0.2821661350193592,0.22135254645601693,0.0003764185595042204,2899.7572624469694,36421
Hanwha,Alice2018Test,Original,12,low-power,Original A,accepted,0.10061843685938454,0.06675879221899468,0.02057743232767345,435.0414049238713,42971
Hanwha,Alice2018Test,Original,12,low-power,Original B,accepted,0.05896394517701195,0.03703547756552894,0.0021180393142000487,149.39928806792554,42971
Hanwha,Alice2018Test,Original,12,low-power,Expanded A,accepted,0.10061843685938454,0.06675879221899468,0.02057743232767345,435.0414049238713,42971
Hanwha,Alice2018Test,Original,12,low-power,Expanded B,accepted,0.05896394517701195,0.03703547756552894,0.0021180393142000487,149.39928806792554,42971
Hanwha,Alice2018Test,Original,12,low-power,Daily,accepted,0.0015289376569212025,0.00019714143342940536,-9.488024417117277e-05,0.10045117356591918,42971
Hanwha,Alice2018Test,Original,12,low-power,Last-value,accepted,0.11390562660905175,0.013573784611812821,0.012378563227334691,557.5268859862081,42971
Hanwha,Alice2018Test,Original,12,low-power,Depthwise convolutional TCN42,diagnostic,0.11538425988567076,0.08173373848085111,-0.018559444362896364,572.095587167201,42971
Hanwha,Alice2018Test,Original,12,low-power,Depthwise convolutional TCN43,diagnostic,0.10379131625636427,0.0757701539941576,0.031756081010205495,462.9109987172543,42971
Hanwha,Alice2018Test,Original,12,low-power,Depthwise convolutional TCN44,diagnostic,0.10791419540545394,0.07993660380766797,0.01751137543442879,500.41764477674917,42971
Hanwha,Alice2018Test,Original,12,low-power,Discrete recurrent decoder42,diagnostic,0.07141645446004502,0.0529406498057434,-0.015598343820513663,219.16541961961673,42971
Hanwha,Alice2018Test,Original,12,low-power,Discrete recurrent decoder43,diagnostic,0.059933398207722664,0.04734173372468786,-0.015418474139716174,154.35235713679347,42971
Hanwha,Alice2018Test,Original,12,low-power,Discrete recurrent decoder44,diagnostic,0.0806793003934947,0.06125267417647724,-0.04144113623530265,279.7046636794539,42971
Hanwha,Alice2018Test,Original,12,low-power,Inverted42,accepted,0.11385048415541725,0.09131605043979493,-0.019920000083749424,556.987211874655,42971
Hanwha,Alice2018Test,Original,12,low-power,Inverted43,accepted,0.11915274800641115,0.09185850796784811,0.043497454016550856,610.0755024282437,42971
Hanwha,Alice2018Test,Original,12,low-power,Inverted44,accepted,0.12214455579369544,0.09437097772252137,0.03346806973543232,641.0969184488936,42971
Hanwha,Alice2018Test,Original,12,low-power,Joint-patch Transformer42,accepted,0.18069445692624791,0.14677242640421645,0.11343586206712204,1403.0240667303292,42971
Hanwha,Alice2018Test,Original,12,low-power,Joint-patch Transformer43,accepted,0.2767603790002523,0.24108181568241469,-0.23301976310661504,3291.419924613476,42971
Hanwha,Alice2018Test,Original,12,low-power,Joint-patch Transformer44,accepted,0.1800188547793322,0.14429029775224037,-0.10395701174119756,1392.5520904164725,42971
Hanwha,Alice2018Test,S1,12,full,Original A,accepted,0.17719904820407706,0.10927255525766669,-0.011685053809227105,2554.0041488489187,81339
Hanwha,Alice2018Test,S1,12,full,Original B,accepted,0.12234938822105633,0.07111403056146699,-0.004306855191754509,1217.593814021952,81339
Hanwha,Alice2018Test,S1,12,full,Expanded A,accepted,0.17719904820407706,0.10927255525766669,-0.011685053809227105,2554.0041488489187,81339
Hanwha,Alice2018Test,S1,12,full,Expanded B,accepted,0.12234938822105633,0.07111403056146699,-0.004306855191754509,1217.593814021952,81339
Hanwha,Alice2018Test,S1,12,full,Daily,accepted,0.1829846786172437,0.048922787194843415,-0.004482727147759508,2723.5056713954677,81339
Hanwha,Alice2018Test,S1,12,full,Last-value,accepted,0.43446931404951566,0.2268710480083406,-0.001794566751389339,15353.841228167563,81339
Hanwha,Alice2018Test,S1,12,full,Depthwise convolutional TCN42,diagnostic,0.18255850890978906,0.1302811226030249,-0.027701167006183903,2710.8344027150565,81339
