site,period,support,horizon,scope,candidate_origins,origins,points,unique_targets,active_points,active_fraction
Hanwha,Alice2018Test,Original,12,full,6840,6625,79392,6792,36421,0.45874899234179767
Hanwha,Alice2018Test,Original,12,power-active,6840,3225,36421,3079,36421,1.0
Hanwha,Alice2018Test,Original,12,low-power,6840,3810,42971,3713,0,0.0
Hanwha,Alice2018Test,S1,12,full,6840,6816,81339,6807,36938,0.4541240979112111
Hanwha,Alice2018Test,S1,12,power-active,6840,3342,36938,3079,36938,1.0
Hanwha,Alice2018Test,S1,12,low-power,6840,4001,44401,3728,0,0.0
Hanwha,Alice2018Test,S2,12,full,6840,6816,81445,6816,36938,0.4535330591196513
Hanwha,Alice2018Test,S2,12,power-active,6840,3342,36938,3079,36938,1.0
Hanwha,Alice2018Test,S2,12,low-power,6840,4001,44507,3737,0,0.0
Hanwha,Alice2018Test,S1_new_origins,12,full,6840,191,1947,332,517,0.2655367231638418
Hanwha,Alice2018Test,S1_new_origins,12,power-active,6840,117,517,117,517,1.0
Hanwha,Alice2018Test,S1_new_origins,12,low-power,6840,191,1430,215,0,0.0
Hanwha,Alice2018Test,S2_new_origins,12,full,6840,191,2053,341,517,0.2518265952264978
Hanwha,Alice2018Test,S2_new_origins,12,power-active,6840,117,517,117,517,1.0
Hanwha,Alice2018Test,S2_new_origins,12,low-power,6840,191,1536,224,0,0.0
Hanwha,Alice2018Test,Original,144,full,6840,4521,649735,6657,287368,0.44228493154901616
Hanwha,Alice2018Test,Original,144,power-active,6840,4225,287368,2948,287368,1.0
Hanwha,Alice2018Test,Original,144,low-power,6840,4521,362367,3709,0,0.0
Hanwha,Alice2018Test,S1,144,full,6840,6816,966467,6807,435619,0.4507334445976945
Hanwha,Alice2018Test,S1,144,power-active,6840,6387,435619,3079,435619,1.0
Hanwha,Alice2018Test,S1,144,low-power,6840,6816,530848,3728,0,0.0
Hanwha,Alice2018Test,S2,144,full,6840,6816,967761,6816,435619,0.4501307657572479
Hanwha,Alice2018Test,S2,144,power-active,6840,6387,435619,3079,435619,1.0
Hanwha,Alice2018Test,S2,144,low-power,6840,6816,532142,3737,0,0.0
Hanwha,Alice2018Test,S1_new_origins,144,full,6840,2295,316732,4137,148251,0.4680644835381332
Hanwha,Alice2018Test,S1_new_origins,144,power-active,6840,2162,148251,1872,148251,1.0
Hanwha,Alice2018Test,S1_new_origins,144,low-power,6840,2295,168481,2265,0,0.0
Hanwha,Alice2018Test,S2_new_origins,144,full,6840,2295,318026,4146,148251,0.46615999949689646
Hanwha,Alice2018Test,S2_new_origins,144,power-active,6840,2162,148251,1872,148251,1.0
Hanwha,Alice2018Test,S2_new_origins,144,low-power,6840,2295,169775,2274,0,0.0
