block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
0,41472.0,140648341.63466397,57234907.15044348,140648129.8771259,57234907.15044348,45253189.47455364,51104244.37902271,46771385.97067479,75207642.68852983,586733284.2351406,NIST_GROUND,2017,complete_H144,144,full,24
1,15840.0,16808742.956133343,2389642.114124084,16808932.54852246,2389642.114124084,9014060.412024291,6932892.056404358,6912435.341623503,81900.59659544006,130658852.73763895,NIST_GROUND,2017,complete_H144,144,full,24
2,13778.0,8580425.178842898,3143439.0849675694,8580771.161767526,3143439.0849675694,4067101.579896887,4571999.123506553,3764823.8379822657,311548.24799344,249698237.35211986,NIST_GROUND,2017,complete_H144,144,full,24
3,31986.0,68267928.44455838,9887211.932832018,68268430.15871426,9887211.932832018,42182129.36782753,44860050.71452997,41211178.52856193,3946249.04516636,362713106.60617185,NIST_GROUND,2017,complete_H144,144,full,24
4,41408.0,84240360.82283467,39626404.332553394,84240264.53489338,39626404.332553394,51418872.16849365,52252372.36025175,57598209.583496265,70713275.81038158,276323808.0111563,NIST_GROUND,2017,complete_H144,144,full,24
5,41472.0,83528217.32820868,31984530.364118025,83528152.27378426,31984530.364118025,48092077.74801382,51110192.886084095,50257648.866571076,36480576.621051565,366746854.9561072,NIST_GROUND,2017,complete_H144,144,full,24
6,41472.0,96905661.69988734,34500436.76545638,96905494.81775577,34500436.76545638,54933968.07060656,58398111.515214585,57576257.85750661,38286731.72152695,409280930.02751297,NIST_GROUND,2017,complete_H144,144,full,24
7,41472.0,101284984.28417107,73076209.91876172,101284867.33391598,73076209.91876172,64734992.889884055,60069191.770631514,82576617.4116492,140060155.68598786,60281929.35546925,NIST_GROUND,2017,complete_H144,144,full,24
8,41472.0,98235875.07192229,39700365.888805285,98235577.49945094,39700365.888805285,55389928.71135808,52184625.366421916,63625582.98421028,43014742.00292573,141106468.11303833,NIST_GROUND,2017,complete_H144,144,full,24
9,41472.0,91986246.23922116,58350854.41823694,91986578.70069753,58350854.41823694,75142569.03206006,74168344.30652714,81280304.42267817,86232849.2554297,242176241.21801248,NIST_GROUND,2017,complete_H144,144,full,24
10,31968.0,112643247.65499389,81522478.49804421,112643055.99330258,81522478.49804421,93075339.25454397,84821441.18998325,108585606.07557555,140945223.71862566,5429289.596268838,NIST_GROUND,2017,complete_H144,144,full,24
11,16782.0,44316748.80854465,7064267.1109915245,44316648.75703443,7064267.1109915245,11555072.538203169,11160228.071903236,13036425.95197453,243494.13697004007,1416990.3699879993,NIST_GROUND,2017,complete_H144,144,full,24
12,41250.0,81489357.57370073,12504745.04828071,81489084.91289958,12504745.04828071,44520591.08738146,41367685.383949906,52680457.40762382,3280307.40007084,20013754.395571206,NIST_GROUND,2017,complete_H144,144,full,24
13,20592.0,46426113.327289306,10167418.953011017,46426369.82458867,10167418.953011017,28530284.654799793,25886193.213202488,28481670.134634458,7383147.105976,88887491.74246746,NIST_GROUND,2017,complete_H144,144,full,24
14,41328.0,84757814.37970412,17748620.839571718,84757873.0383988,17748620.839571718,55815844.658733524,52065931.849993765,57470788.90451814,12596628.241482638,178782486.80932486,NIST_GROUND,2017,complete_H144,144,full,24
15,41472.0,95871437.9832287,41715050.24693375,95871592.30400386,41715050.24693375,58815413.49373614,54731771.038896374,58089550.64352151,42410828.7921932,338354084.0497847,NIST_GROUND,2017,complete_H144,144,full,24
16,41472.0,136988290.7615311,64728080.769428425,136987722.31827447,64728080.769428425,63540684.74584223,65324075.10912376,64303157.44766819,86438669.47756341,569189490.3350219,NIST_GROUND,2017,complete_H144,144,full,24
17,41472.0,132797859.06366621,11990474.295534713,132797387.07446064,11990474.295534713,55015005.955709055,57869241.883676685,54812789.31222403,1267362.4835948003,512325457.29057175,NIST_GROUND,2017,complete_H144,144,full,24
18,41472.0,128804936.35745254,14888321.052214509,128804568.81530581,14888321.052214509,62152098.31872538,64720229.45868089,62495923.52570439,692519.8432877596,510282292.46444744,NIST_GROUND,2017,complete_H144,144,full,24
19,5328.0,22952959.265543483,2472987.935945304,22953078.08291704,2472987.935945304,14165165.470781874,10739792.948849913,10934958.556572571,282286.62347051984,73490089.65759645,NIST_GROUND,2017,complete_H144,144,full,24
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NIST_GROUND,2017,complete_H144,144,full,24
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NIST_GROUND,2017,complete_H144,144,full,24
22,7618.0,13848174.45696937,13515224.998424884,13848263.678934146,13515224.998424884,8797102.80537728,8440996.865600768,9665855.260470523,5671550.240158441,14040443.265253041,NIST_GROUND,2017,complete_H144,144,full,24
23,34639.0,87881052.23630504,84466521.71326901,87881189.50551358,84466521.71326901,58740969.00929557,58598203.135967515,57299361.49146655,104047686.03201507,328187819.785983,NIST_GROUND,2017,complete_H144,144,full,24
24,41472.0,125099315.61867887,31781246.578184746,125099563.85273074,31781246.578184746,100636243.11729231,100099700.0426048,102882844.60760304,40043990.71286829,423257831.0506121,NIST_GROUND,2017,complete_H144,144,full,24
25,31680.0,102225393.47582388,33102731.026141398,102225264.10738473,33102731.026141398,62204914.086887516,61209570.000403285,57768343.90100679,35436221.183037184,370094379.9910091,NIST_GROUND,2017,complete_H144,144,full,24
26,30316.0,52400641.37009869,11567516.51413257,52401919.2400126,11567516.51413257,26544703.008697756,26431887.46415032,26534308.977888547,17637519.57861952,303754210.73820555,NIST_GROUND,2017,complete_H144,144,full,24
27,41396.0,104267928.79869974,34267373.95434162,104267713.5024109,34267373.95434162,89847993.72771025,90200362.13568158,100168682.57153235,47039181.706777,335706582.3270852,NIST_GROUND,2017,complete_H144,144,full,24
28,41472.0,134832992.9764867,115216964.97700496,134832940.42292398,115216964.97700496,96710361.51746698,86926291.45162413,109993533.77983105,191622373.4701661,21258570.0917628,NIST_GROUND,2017,complete_H144,144,full,24
29,41472.0,156708523.3250872,192306777.60993704,156708498.57565644,192306777.60993704,131126167.96816057,135260941.5986577,126230645.24895313,292616126.03616583,517876011.2123684,NIST_GROUND,2017,complete_H144,144,full,24
30,41472.0,129146739.54375884,27267549.749834493,129146131.48611437,27267549.749834493,79023611.37497136,82586491.10426228,77102794.0108776,34841166.08848862,498927594.5983297,NIST_GROUND,2017,complete_H144,144,full,24
31,41472.0,62854334.14312534,96916947.62712167,62854457.620768905,96916947.62712167,90640108.93349887,80687592.54456553,94678562.58329658,211236572.7130126,53922518.39497187,NIST_GROUND,2017,complete_H144,144,full,24
32,41472.0,116421044.81178677,96803161.79818419,116421031.1546835,96803161.79818419,69082807.51129429,72104052.58034828,69435295.33265127,140218121.19299093,394855571.01566786,NIST_GROUND,2017,complete_H144,144,full,24
33,41472.0,80271359.92222016,58405999.31331192,80271506.0491151,58405999.31331192,118483423.87644455,112195116.66797212,133385094.46208653,99078694.83483185,136947367.30404568,NIST_GROUND,2017,complete_H144,144,full,24
34,41472.0,129960589.00402991,73893380.34811147,129961071.02889371,73893380.34811147,123998070.56442852,121384990.75287223,128307359.8814349,87178560.30482051,333704081.8928318,NIST_GROUND,2017,complete_H144,144,full,24
35,41472.0,92990025.2257,91594259.13994375,92989884.07241245,91594259.13994375,55214724.06295272,49785051.25363673,63574636.40741136,174960153.0268714,12927565.434369955,NIST_GROUND,2017,complete_H144,144,full,24
36,41472.0,93938534.68036646,50645366.30215799,93938905.37028858,50645366.30215799,68414632.61351407,68276138.51917776,75878284.67284898,72093537.66556545,139041860.4029029,NIST_GROUND,2017,complete_H144,144,full,24
37,41472.0,113649599.00704141,58088099.914431885,113649840.69813383,58088099.914431885,148008188.69634667,139820757.3260257,157241435.52284715,76372395.95205747,4238398.774709162,NIST_GROUND,2017,complete_H144,144,full,24
38,41472.0,51105419.33877588,11378636.365256527,51105313.1934065,11378636.365256527,38678935.29424455,35622313.263013594,41516385.37275785,11951788.913975889,28630869.38308746,NIST_GROUND,2017,complete_H144,144,full,24
39,20880.0,27068196.86418125,6736387.659948645,27068213.32523316,6736387.659948645,38546524.84045391,33283071.872716855,40954368.54990476,3144210.798814482,13747540.128951164,NIST_GROUND,2017,complete_H144,144,full,24
40,41041.0,124806491.0737702,116295279.1788046,124806575.50034429,116295279.1788046,83012281.16835222,82756832.73630081,85501071.57289797,169198501.20667055,378053738.86441076,NIST_GROUND,2017,complete_H144,144,full,24
41,41471.0,112264806.02123293,38131802.092338525,112264615.57927923,38131802.092338525,89808875.21947587,90663331.28022255,95431617.78899585,57289578.0709233,398590362.3205617,NIST_GROUND,2017,complete_H144,144,full,24
42,40464.0,52700494.604461476,23749875.389364026,52700502.13881558,23749875.389364026,43662776.799528256,41377255.97951884,44632074.078498855,56212387.975181,158778397.73323706,NIST_GROUND,2017,complete_H144,144,full,24
43,21593.0,22091939.77779224,7034672.424382727,22092150.028978884,7034672.424382727,23745212.973194126,22794982.3396371,22887866.644877322,7923794.957207681,108507820.51407528,NIST_GROUND,2017,complete_H144,144,full,24
44,12342.0,24111909.471223574,17839971.796903368,24111532.66307868,17839971.796903368,47039298.506900616,39615469.76934804,45478098.8492512,29261803.431948755,34392556.90744065,NIST_GROUND,2017,complete_H144,144,full,24
45,34704.0,89514732.60242534,72529299.45184399,89514485.55506226,72529299.45184399,66099675.84539607,70650162.19356792,70901777.0786421,114248813.30871223,366780580.31746334,NIST_GROUND,2017,complete_H144,144,full,24
46,27027.0,49590636.91168218,17976490.88330345,49591694.726791434,17976490.88330345,21799932.54216072,20486035.399976548,20328148.821416467,11974959.215257438,204721623.2358769,NIST_GROUND,2017,complete_H144,144,full,24
47,20556.0,53888159.15858542,18741761.213224173,53888433.67346068,18741761.213224173,45936234.541743346,42010208.12106178,40508693.579585895,20291913.51923392,80535007.55813813,NIST_GROUND,2017,complete_H144,144,full,24
