block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
0,2435.0,212.90376235185693,109.6968104396836,212.90376235185693,103.40362305093659,123.7082087483061,663.7450852011182,181.26735686469345,271.2835393536931,240.80237146024635,678.2454839933902,763.1874205566373,531.0311334451127,Qcells,Alice2018Test,Original,12,full,24
1,3288.0,337.2861052726702,235.01877156228883,337.2861052726702,213.53897254054255,197.29469694567817,833.1382516626542,295.43437601908613,405.44279719051804,352.75519487171056,778.137349750406,807.4808054695271,597.9188281855071,Qcells,Alice2018Test,Original,12,full,24
2,3288.0,260.8404767324859,123.56603952867296,260.8404767324859,111.83192728161285,219.09134326446315,699.88052578138,256.6657974165057,384.9198198069347,340.8329076965769,1042.985707523487,1374.9360657746568,960.8039966111157,Qcells,Alice2018Test,Original,12,full,24
3,3288.0,296.1012735837704,137.79156726551298,296.1012735837704,165.51725826032393,212.4816046046301,862.9461610421107,312.10128974542107,472.5520361228742,387.0445919728618,792.8754260716057,895.4972919740017,768.336693388166,Qcells,Alice2018Test,Original,12,full,24
4,3288.0,207.9936031568454,41.93833127991826,207.9936031568454,64.05405491661516,136.15855427333273,637.4887071330751,144.18001411125024,268.23349716745946,232.96638285364327,721.4674910146945,765.9677240472009,621.967371373946,Qcells,Alice2018Test,Original,12,full,24
5,3288.0,198.96568347012135,42.59008828127022,198.96568347012135,55.732834709695595,5.278966457981718,613.1397198365129,134.96260017395568,246.46214512926565,237.68717669762734,689.9995987329629,747.7564876547095,563.4474014691345,Qcells,Alice2018Test,Original,12,full,24
6,3288.0,267.5274151026089,105.08795827238954,267.5274151026089,103.44686636271035,16.993182370159357,585.5673012310209,140.8895956014532,234.240192861262,215.7985167086148,682.423960900923,755.0492947515643,499.31467940927587,Qcells,Alice2018Test,Original,12,full,24
7,3288.0,252.17526415208107,177.4363360349651,252.17526415208107,120.13849753169721,51.670842462743295,627.4339653673089,185.89424030664378,300.1035158003212,254.2055392588634,727.1994031414857,765.5090391160242,489.4710714041028,Qcells,Alice2018Test,Original,12,full,24
8,3288.0,271.33137342080704,148.65431387383555,271.33137342080704,91.87194535262283,40.411703798577996,545.9579150682058,173.12536790339584,278.3528498427315,238.84676950549922,716.4512369092442,883.363167968121,550.4233156708087,Qcells,Alice2018Test,Original,12,full,24
9,3276.0,194.9258499445225,79.34413559979454,194.9258499445225,52.99577723953849,10.621550320686147,559.9147772365905,150.70968695189785,269.1754350692463,242.34134124673665,655.955857727085,761.3928738507228,482.50044028885543,Qcells,Alice2018Test,Original,12,full,24
