site,period,support,horizon,scope,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
Qcells,Alice2018Test,Original,12,full,24,Original A,Daily,0.39714195303226674,0.28054519817729745,0.11659675485496929,-0.0406347209137773,0.2423450273215214,-0.41560773669447415,-0.8714126081159069,0.1235772381171205,24,24,77530,2000,2000,0,2000
Qcells,Alice2018Test,Original,12,full,24,Original A,Last-value,0.39714195303226674,0.4707947975337585,-0.07365284450149179,-0.18104245747934902,0.0681796939919644,0.15644362445659876,-0.1400952005165303,0.39076736305632065,24,24,77530,2000,2000,0,2000
Qcells,Alice2018Test,Original,12,full,24,Expanded A,Daily,0.39714195303226674,0.28054519817729745,0.11659675485496929,-0.0406347209137773,0.2423450273215214,-0.41560773669447415,-0.8714126081159069,0.1235772381171205,24,24,77530,2000,2000,0,2000
Qcells,Alice2018Test,Original,12,full,24,Expanded A,Last-value,0.39714195303226674,0.4707947975337585,-0.07365284450149179,-0.18104245747934902,0.0681796939919644,0.15644362445659876,-0.1400952005165303,0.39076736305632065,24,24,77530,2000,2000,0,2000
Qcells,Alice2018Test,Original,12,full,24,Original B,Daily,0.2637422726273416,0.28054519817729745,-0.016802925549955827,-0.11425600703479452,0.04659007086984695,0.059893826945263906,-0.25420111709125714,0.3301319537124869,24,24,77530,2000,2000,0,2000
Qcells,Alice2018Test,Original,12,full,24,Original B,Last-value,0.2637422726273416,0.4707947975337585,-0.2070525249064169,-0.261571308437573,-0.1373980763789336,0.4397935703432877,0.2809877817678108,0.5689728022793593,24,24,77530,2000,2000,0,2000
Qcells,Alice2018Test,Original,12,full,24,Expanded B,Daily,0.26913169484296207,0.28054519817729745,-0.011413503334335384,-0.11575927423401665,0.05821288950500158,0.04068329598399445,-0.22252728161158747,0.3452702775564789,24,24,77530,2000,2000,0,2000
Qcells,Alice2018Test,Original,12,full,24,Expanded B,Last-value,0.26913169484296207,0.4707947975337585,-0.20166310269079646,-0.2719079330577,-0.11192833012125131,0.42834607295407956,0.22748904916237425,0.5937555438032925,24,24,77530,2000,2000,0,2000
Qcells,Alice2018Test,Original,12,full,24,Inverted42,Daily,0.3017776641316996,0.28054519817729745,0.021232465954402147,-0.07093815047939026,0.09002019522116443,-0.0756828706830468,-0.5418450302843758,0.20524776487342244,24,24,77530,2000,2000,0,2000
Qcells,Alice2018Test,Original,12,full,24,Inverted42,Last-value,0.3017776641316996,0.4707947975337585,-0.16901713340205893,-0.20448225856977895,-0.11632701261748103,0.3590038256315683,0.2394331809043108,0.44663728104815703,24,24,77530,2000,2000,0,2000
