site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Qcells,Alice2018Test,Original,12,full,Original A,accepted,0.39714195303226674,0.17931327266162272,0.09592213014364191,12228.165793442693,77530
Qcells,Alice2018Test,Original,12,full,Original B,accepted,0.2637422726273416,0.12260815103732892,0.09646946101190863,5392.985743315331,77530
Qcells,Alice2018Test,Original,12,full,Expanded A,accepted,0.39714195303226674,0.17931327266162272,0.09592213014364191,12228.165793442693,77530
Qcells,Alice2018Test,Original,12,full,Expanded B,accepted,0.269131694842962,0.11396112320787964,0.07351743909668258,5615.642816676077,77530
Qcells,Alice2018Test,Original,12,full,Daily,accepted,0.2805451981772975,0.06981813643199945,-0.005368575681465019,6102.045805322894,77530
Qcells,Alice2018Test,Original,12,full,Last-value,accepted,0.4707947975337586,0.24128492891593983,-0.016960589851331122,17184.349389567633,77530
Qcells,Alice2018Test,Original,12,full,Depthwise convolutional TCN42,diagnostic,0.5260435635671192,0.33879831124821136,-0.19151107037863915,21454.243539628635,77530
Qcells,Alice2018Test,Original,12,full,Depthwise convolutional TCN43,diagnostic,0.3057950107817275,0.1863589987519249,-0.08993575407225997,7249.875935630824,77530
Qcells,Alice2018Test,Original,12,full,Depthwise convolutional TCN44,diagnostic,0.4165333851315715,0.23198863061517588,0.01062757743843196,13451.459723838245,77530
Qcells,Alice2018Test,Original,12,full,Discrete recurrent decoder42,diagnostic,0.44268905215681337,0.2672180395579328,-0.13652559506769643,15193.832967618067,77530
Qcells,Alice2018Test,Original,12,full,Discrete recurrent decoder43,diagnostic,0.7351758812150696,0.4411813477799531,-0.301906991291926,41903.69167211706,77530
Qcells,Alice2018Test,Original,12,full,Discrete recurrent decoder44,diagnostic,1.5916376437259754,0.927868354882752,-0.822793109508417,196407.55445339982,77530
Qcells,Alice2018Test,Original,12,full,Inverted42,accepted,0.30177766413169965,0.17350725126592093,-0.01945466274950042,7060.6383818378945,77530
Qcells,Alice2018Test,Original,12,full,Inverted43,accepted,0.3493843686061705,0.23239874420444703,-0.08941393543563875,9464.043452651553,77530
Qcells,Alice2018Test,Original,12,full,Inverted44,accepted,0.33094435631204766,0.20507115009150667,-0.05844277047667851,8491.408665555899,77530
Qcells,Alice2018Test,Original,12,full,Joint-patch Transformer42,accepted,0.5298753978870163,0.38755201200431233,-0.04139509973690387,21767.938177777676,77530
Qcells,Alice2018Test,Original,12,full,Joint-patch Transformer43,accepted,0.5747967725705062,0.3834615519627115,-0.14756284076595672,25615.23979609667,77530
Qcells,Alice2018Test,Original,12,full,Joint-patch Transformer44,accepted,0.4921087062429618,0.33036019136360156,-0.20274657960402928,18775.515983272235,77530
Qcells,Alice2018Test,Original,12,power-active,Original A,accepted,0.5743057111035696,0.356984412718609,0.21551982543267015,12040.00662612468,36504
Qcells,Alice2018Test,Original,12,power-active,Original B,accepted,0.3820926395515632,0.242969989988286,0.20170589588075638,5329.393638921847,36504
Qcells,Alice2018Test,Original,12,power-active,Expanded A,accepted,0.5743057111035696,0.356984412718609,0.21551982543267015,12040.00662612468,36504
Qcells,Alice2018Test,Original,12,power-active,Expanded B,accepted,0.38555252592010336,0.21072227918702657,0.14802207150506372,5426.346986884051,36504
Qcells,Alice2018Test,Original,12,power-active,Daily,accepted,0.4088524076050109,0.14820154097553523,-0.01133336456660055,6102.0192701259275,36504
Qcells,Alice2018Test,Original,12,power-active,Last-value,accepted,0.6817066340855725,0.5078061437972211,-0.0400546168598948,16964.28252164407,36504
Qcells,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN42,diagnostic,0.7579641656221608,0.6282375586959315,-0.46033454253479134,20971.901226111866,36504
Qcells,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN43,diagnostic,0.43459937398995757,0.318426027298143,-0.1533939252961051,6894.751985808389,36504
Qcells,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN44,diagnostic,0.603167570271485,0.4456260869935076,0.022490468197577412,13280.561045164359,36504
Qcells,Alice2018Test,Original,12,power-active,Discrete recurrent decoder42,diagnostic,0.6424681503112118,0.5196257390836204,-0.3050243147721692,15067.585393293968,36504
Qcells,Alice2018Test,Original,12,power-active,Discrete recurrent decoder43,diagnostic,1.0671438796406834,0.8731950818719172,-0.687143349603923,41570.6113689312,36504
Qcells,Alice2018Test,Original,12,power-active,Discrete recurrent decoder44,diagnostic,2.315577857153044,1.85785134333332,-1.6772512427480135,195730.82726086825,36504
Qcells,Alice2018Test,Original,12,power-active,Inverted42,accepted,0.42778142380856293,0.2835352700313634,-0.015096396911533166,6680.120537068592,36504
Qcells,Alice2018Test,Original,12,power-active,Inverted43,accepted,0.475062560567936,0.3403126025270882,-0.1034103719060117,8238.384668293595,36504
Qcells,Alice2018Test,Original,12,power-active,Inverted44,accepted,0.4666811984184929,0.3380127430911189,-0.09453875157865695,7950.255110306038,36504
Qcells,Alice2018Test,Original,12,power-active,Joint-patch Transformer42,accepted,0.7285784159506172,0.5960902511930392,-0.3027030967018956,19377.290854935294,36504
Qcells,Alice2018Test,Original,12,power-active,Joint-patch Transformer43,accepted,0.8190237149127716,0.6719492355838167,-0.424710736245039,24486.87756339973,36504
