site,period,support,horizon,scope,candidate_origins,origins,points,unique_targets,active_points,active_fraction
Qcells,Alice2018Test,Original,12,full,6840,6463,77530,6756,36504,0.47083709531794143
Qcells,Alice2018Test,Original,12,power-active,6840,3173,36504,3133,36504,1.0
Qcells,Alice2018Test,Original,12,low-power,6840,3594,41026,3623,0,0.0
Qcells,Alice2018Test,S1,12,full,6840,6786,80692,6781,37574,0.46564715213404057
Qcells,Alice2018Test,S1,12,power-active,6840,3395,37574,3133,37574,1.0
Qcells,Alice2018Test,S1,12,low-power,6840,3917,43118,3648,0,0.0
Qcells,Alice2018Test,S2,12,full,6840,6786,80746,6786,37574,0.46533574418547047
Qcells,Alice2018Test,S2,12,power-active,6840,3395,37574,3133,37574,1.0
Qcells,Alice2018Test,S2,12,low-power,6840,3917,43172,3653,0,0.0
Qcells,Alice2018Test,S1_new_origins,12,full,6840,323,3162,552,1070,0.338393421884883
Qcells,Alice2018Test,S1_new_origins,12,power-active,6840,222,1070,222,1070,1.0
Qcells,Alice2018Test,S1_new_origins,12,low-power,6840,323,2092,330,0,0.0
Qcells,Alice2018Test,S2_new_origins,12,full,6840,323,3216,557,1070,0.3327114427860697
Qcells,Alice2018Test,S2_new_origins,12,power-active,6840,222,1070,222,1070,1.0
Qcells,Alice2018Test,S2_new_origins,12,low-power,6840,323,2146,335,0,0.0
Qcells,Alice2018Test,Original,144,full,6840,2996,431150,6425,187950,0.4359271715180332
Qcells,Alice2018Test,Original,144,power-active,6840,2800,187950,2869,187950,1.0
Qcells,Alice2018Test,Original,144,low-power,6840,2996,243200,3556,0,0.0
Qcells,Alice2018Test,S1,144,full,6840,6786,958668,6781,442887,0.4619816245039993
Qcells,Alice2018Test,S1,144,power-active,6840,6437,442887,3133,442887,1.0
Qcells,Alice2018Test,S1,144,low-power,6840,6786,515781,3648,0,0.0
Qcells,Alice2018Test,S2,144,full,6840,6786,959382,6786,442887,0.46163780433654167
Qcells,Alice2018Test,S2,144,power-active,6840,6437,442887,3133,442887,1.0
Qcells,Alice2018Test,S2,144,low-power,6840,6786,516495,3653,0,0.0
Qcells,Alice2018Test,S1_new_origins,144,full,6840,3790,527518,6755,254937,0.4832764000470126
Qcells,Alice2018Test,S1_new_origins,144,power-active,6840,3637,254937,3133,254937,1.0
Qcells,Alice2018Test,S1_new_origins,144,low-power,6840,3790,272581,3622,0,0.0
Qcells,Alice2018Test,S2_new_origins,144,full,6840,3790,528232,6760,254937,0.48262316557876084
Qcells,Alice2018Test,S2_new_origins,144,power-active,6840,3637,254937,3133,254937,1.0
Qcells,Alice2018Test,S2_new_origins,144,low-power,6840,3790,273295,3627,0,0.0
