block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
0,2448.0,86.1755729916978,30.1009828977225,86.1755729916978,30.1009828977225,4.180939580254698,651.2148964530156,122.48223951890832,199.01680409780286,165.79417159771023,98.5476186785049,Sanyo,Alice2018Test,Original,12,full,24
1,3288.0,102.81398008566877,30.276201244208373,102.81398008566877,30.276201244208373,2.2443567737801686,644.0863794121506,151.93394830674464,248.58156703440406,176.85423265003075,125.25535875989547,Sanyo,Alice2018Test,Original,12,full,24
2,3432.0,126.18381720770219,39.08892065265865,126.18381720770219,39.08892065265865,5.7465525113010125,702.3051334668926,241.13141007354426,293.2914856985421,193.2169130922627,164.80754134716514,Sanyo,Alice2018Test,Original,12,full,24
3,3456.0,212.04527220138564,67.15100034054653,212.04527220138564,67.15100034054653,17.278663994979947,746.5585145487937,232.80413629809752,280.0628320190251,178.66960234672652,131.4941858864642,Sanyo,Alice2018Test,Original,12,full,24
4,3456.0,168.51093279740596,60.49581030136202,168.51093279740596,60.49581030136202,5.913940754909189,742.7542519031824,289.5360806497084,269.7096208277576,169.61350533717635,162.72768222722075,Sanyo,Alice2018Test,Original,12,full,24
5,3288.0,108.17387181635401,34.620170943723885,108.17387181635401,34.620170943723885,1.764583111290898,686.1341663006675,175.2033783365933,240.75936505457574,136.21904679718298,136.59666727316227,Sanyo,Alice2018Test,Original,12,full,24
6,3288.0,100.62214095344706,51.53592115953633,100.62214095344706,51.53592115953633,10.422947622345308,661.4596005840114,139.06058339079007,206.54230681938958,136.06828248414251,119.5928664842881,Sanyo,Alice2018Test,Original,12,full,24
7,3299.0,167.1401362342728,62.898708937375474,167.1401362342728,62.898708937375474,5.502297975931997,654.0700859357582,206.63939198541362,364.2738747525277,258.2608656100561,190.69085856469104,Sanyo,Alice2018Test,Original,12,full,24
8,3300.0,174.34747771463907,47.5986119539791,174.34747771463907,47.5986119539791,7.085822454926373,638.499794147054,209.61829726516606,412.69937196769183,290.0621629220691,205.55303798903142,Sanyo,Alice2018Test,Original,12,full,24
9,3300.0,170.0557156332548,44.46726375644739,170.0557156332548,44.46726375644739,7.0542002600738485,653.6552829735394,217.5892024777129,324.1624978989498,224.40414927734756,167.90991093293545,Sanyo,Alice2018Test,Original,12,full,24
