site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Sanyo,Alice2018Test,Original,12,full,Original A,accepted,0.2058401515472465,0.11483517563902625,0.009041640469907259,3347.4551219704244,79005
Sanyo,Alice2018Test,Original,12,full,Original B,accepted,0.13656544855437286,0.07998094623927361,0.010280196701698918,1473.4528679784019,79005
Sanyo,Alice2018Test,Original,12,full,Expanded A,accepted,0.2058401515472465,0.11483517563902625,0.009041640469907259,3347.4551219704244,79005
Sanyo,Alice2018Test,Original,12,full,Expanded B,accepted,0.13656544855437286,0.07998094623927361,0.010280196701698918,1473.4528679784019,79005
Sanyo,Alice2018Test,Original,12,full,Daily,accepted,0.17521872293338112,0.0441210997111909,-0.004508690471973801,2425.579976450325,79005
Sanyo,Alice2018Test,Original,12,full,Last-value,accepted,0.46369503381716204,0.24355979370946246,-0.011422661410119644,16987.10873197116,79005
Sanyo,Alice2018Test,Original,12,full,Depthwise convolutional TCN42,diagnostic,0.23355763950345979,0.17242060549305277,-0.06690108757378739,4309.65725251867,79005
Sanyo,Alice2018Test,Original,12,full,Depthwise convolutional TCN43,diagnostic,0.17555446152346138,0.11430234124366775,0.038946360917074076,2434.8842447474103,79005
Sanyo,Alice2018Test,Original,12,full,Depthwise convolutional TCN44,diagnostic,0.2544256674431941,0.2003677143159089,0.16605024209336422,5114.18486216054,79005
Sanyo,Alice2018Test,Original,12,full,Discrete recurrent decoder42,diagnostic,0.20706110832069258,0.13589801308400992,-0.014910988291027466,3387.284275253388,79005
Sanyo,Alice2018Test,Original,12,full,Discrete recurrent decoder43,diagnostic,0.21179585042398352,0.12120915852924236,0.025195311257384768,3543.965385699938,79005
Sanyo,Alice2018Test,Original,12,full,Discrete recurrent decoder44,diagnostic,0.20287665809453298,0.12192433057434889,-0.019335964653577436,3251.761928260875,79005
Sanyo,Alice2018Test,Original,12,full,Inverted42,accepted,0.2650887684009845,0.20600211749140254,0.0598326025946299,5551.843715731375,79005
Sanyo,Alice2018Test,Original,12,full,Inverted43,diagnostic,0.2758110724695514,0.2090427684237581,0.08288265109959479,6010.048426786011,79005
Sanyo,Alice2018Test,Original,12,full,Inverted44,diagnostic,0.22715486898409462,0.15955887378507724,-0.004647706065566289,4076.6054224238296,79005
Sanyo,Alice2018Test,Original,12,full,Joint-patch Transformer42,accepted,0.2930856489204099,0.213010275739018,0.053069475418760594,6786.466106632737,79005
Sanyo,Alice2018Test,Original,12,full,Joint-patch Transformer43,accepted,0.24803416019475347,0.17454941414173167,0.07960119407430485,4860.462229980931,79005
Sanyo,Alice2018Test,Original,12,full,Joint-patch Transformer44,accepted,0.21938930369020732,0.16181835958532736,0.05266472900372175,3802.642317653115,79005
Sanyo,Alice2018Test,Original,12,power-active,Original A,accepted,0.28493568337698544,0.18677212251858172,-0.008939465635519993,2938.2061571100357,36190
Sanyo,Alice2018Test,Original,12,power-active,Original B,accepted,0.18376087758690351,0.12577495437243572,0.013456193771945318,1222.0660961593085,36190
Sanyo,Alice2018Test,Original,12,power-active,Expanded A,accepted,0.28493568337698544,0.18677212251858172,-0.008939465635519993,2938.2061571100357,36190
Sanyo,Alice2018Test,Original,12,power-active,Expanded B,accepted,0.18376087758690351,0.12577495437243572,0.013456193771945318,1222.0660961593085,36190
Sanyo,Alice2018Test,Original,12,power-active,Daily,accepted,0.2588756697513815,0.09611871096333534,-0.00985053949391816,2425.331202366101,36190
Sanyo,Alice2018Test,Original,12,power-active,Last-value,accepted,0.6671094245200004,0.5124928517285636,-0.0439796784288438,16105.81608121647,36190
Sanyo,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN42,diagnostic,0.31122610032295145,0.25913950886658094,-0.2297725015365992,3505.42439904957,36190
Sanyo,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN43,diagnostic,0.24041430219709603,0.1744805018214701,0.06246609237443404,2091.747138206172,36190
Sanyo,Alice2018Test,Original,12,power-active,Depthwise convolutional TCN44,diagnostic,0.320508905559024,0.2571224671177325,0.1850836539493308,3717.652439658264,36190
Sanyo,Alice2018Test,Original,12,power-active,Discrete recurrent decoder42,diagnostic,0.29600559194110526,0.22631714452579735,-0.09489963283813056,3170.942845562025,36190
Sanyo,Alice2018Test,Original,12,power-active,Discrete recurrent decoder43,diagnostic,0.30674506186054307,0.21644302065839774,0.04304637306995282,3405.2087683952295,36190
