site,period,support,horizon,scope,candidate_origins,origins,points,unique_targets,active_points,active_fraction
Sanyo,Alice2018Test,Original,12,full,6840,6589,79005,6790,36190,0.4580722739067148
Sanyo,Alice2018Test,Original,12,power-active,6840,3201,36190,3051,36190,1.0
Sanyo,Alice2018Test,Original,12,low-power,6840,3802,42815,3739,0,0.0
Sanyo,Alice2018Test,S1,12,full,6840,6816,81337,6807,36612,0.45012724836175416
Sanyo,Alice2018Test,S1,12,power-active,6840,3315,36612,3051,36612,1.0
Sanyo,Alice2018Test,S1,12,low-power,6840,4029,44725,3756,0,0.0
Sanyo,Alice2018Test,S2,12,full,6840,6816,81442,6816,36612,0.449546916824243
Sanyo,Alice2018Test,S2,12,power-active,6840,3315,36612,3051,36612,1.0
Sanyo,Alice2018Test,S2,12,low-power,6840,4029,44830,3765,0,0.0
Sanyo,Alice2018Test,S1_new_origins,12,full,6840,227,2332,397,422,0.18096054888507718
Sanyo,Alice2018Test,S1_new_origins,12,power-active,6840,114,422,114,422,1.0
Sanyo,Alice2018Test,S1_new_origins,12,low-power,6840,227,1910,283,0,0.0
Sanyo,Alice2018Test,S2_new_origins,12,full,6840,227,2437,406,422,0.17316372589249077
Sanyo,Alice2018Test,S2_new_origins,12,power-active,6840,114,422,114,422,1.0
Sanyo,Alice2018Test,S2_new_origins,12,low-power,6840,227,2015,292,0,0.0
Sanyo,Alice2018Test,Original,144,full,6840,4160,598317,6726,259345,0.4334575149962311
Sanyo,Alice2018Test,Original,144,power-active,6840,3869,259345,3051,259345,1.0
Sanyo,Alice2018Test,Original,144,low-power,6840,4160,338972,3675,0,0.0
Sanyo,Alice2018Test,S1,144,full,6840,6816,966542,6807,431594,0.4465341392303697
Sanyo,Alice2018Test,S1,144,power-active,6840,6359,431594,3051,431594,1.0
Sanyo,Alice2018Test,S1,144,low-power,6840,6816,534948,3756,0,0.0
Sanyo,Alice2018Test,S2,144,full,6840,6816,967835,6816,431594,0.44593758233583203
Sanyo,Alice2018Test,S2,144,power-active,6840,6359,431594,3051,431594,1.0
Sanyo,Alice2018Test,S2,144,low-power,6840,6816,536241,3765,0,0.0
Sanyo,Alice2018Test,S1_new_origins,144,full,6840,2656,368225,5060,172249,0.467781926811053
Sanyo,Alice2018Test,S1_new_origins,144,power-active,6840,2490,172249,2291,172249,1.0
Sanyo,Alice2018Test,S1_new_origins,144,low-power,6840,2656,195976,2769,0,0.0
Sanyo,Alice2018Test,S2_new_origins,144,full,6840,2656,369518,5069,172249,0.46614508630161455
Sanyo,Alice2018Test,S2_new_origins,144,power-active,6840,2490,172249,2291,172249,1.0
Sanyo,Alice2018Test,S2_new_origins,144,low-power,6840,2656,197269,2778,0,0.0
