site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
YULARA_COMBINED,2017,complete_H144,144,full,Original A,accepted,119.11471754606998,38.77239377029557,-3.803680133880855,54134441142.10222,3815424
YULARA_COMBINED,2017,complete_H144,144,full,Original B,accepted,35.843097366383844,13.647268111902996,-7.354519525463759,4901780628.447934,3815424
YULARA_COMBINED,2017,complete_H144,144,full,Expanded A,accepted,29.791475715079965,23.56201471951278,-4.899044557249153,3386310990.03031,3815424
YULARA_COMBINED,2017,complete_H144,144,full,Expanded B,accepted,15.85564408286929,11.018875893955494,-3.284608334687751,959203123.2277213,3815424
YULARA_COMBINED,2017,complete_H144,144,full,Inverted42,accepted,16.000498049926364,10.305330487172837,-2.595616186460525,976809353.6389822,3815424
YULARA_COMBINED,2017,complete_H144,144,full,Inverted43,accepted,15.763754813164729,10.150897382460856,-2.556906198266191,948117471.8530285,3815424
YULARA_COMBINED,2017,complete_H144,144,full,Inverted44,accepted,15.718183324932006,10.238527093900194,-1.1517586727179787,942643564.028694,3815424
YULARA_COMBINED,2017,complete_H144,144,full,Daily,accepted,16.12741201874661,7.0164566253127765,-0.16957417173099365,992366670.8909152,3815424
YULARA_COMBINED,2017,complete_H144,144,full,Last-value,accepted,48.01295656509452,34.59659748799872,-0.004693386527099607,8795483276.28931,3815424
YULARA_COMBINED,2017,complete_H144,144,power-active,Original A,accepted,121.19737166836234,43.04850707944285,-8.793885301262934,29030876606.199883,1976395
YULARA_COMBINED,2017,complete_H144,144,power-active,Original B,accepted,37.88331782097771,18.36755334434342,-7.958054636989296,2836414922.370214,1976395
YULARA_COMBINED,2017,complete_H144,144,power-active,Expanded A,accepted,38.11890304567944,31.30582809929209,-23.58706920717323,2871802275.399992,1976395
YULARA_COMBINED,2017,complete_H144,144,power-active,Expanded B,accepted,20.655086946401056,16.687108580531707,-6.495857455332213,843194570.6080749,1976395
YULARA_COMBINED,2017,complete_H144,144,power-active,Inverted42,accepted,21.463270049663976,16.823504811250004,-6.172565829447045,910469760.8048937,1976395
YULARA_COMBINED,2017,complete_H144,144,power-active,Inverted43,accepted,21.230201275858317,16.57187097772089,-5.856994011676567,890803612.6890435,1976395
YULARA_COMBINED,2017,complete_H144,144,power-active,Inverted44,accepted,21.01755584148617,16.214342090216242,-4.214965715098889,873048089.7879314,1976395
YULARA_COMBINED,2017,complete_H144,144,power-active,Daily,accepted,22.30752320739525,13.41657987666309,-0.44545073111276917,983504731.2060928,1976395
YULARA_COMBINED,2017,complete_H144,144,power-active,Last-value,accepted,52.28090877010607,42.524382698595346,-24.250671646624976,5402067452.434055,1976395
YULARA_COMBINED,2017,complete_H144,144,low-power,Original A,accepted,116.83511960414944,34.17687680801158,1.5592676726997385,25103564535.902363,1839029
YULARA_COMBINED,2017,complete_H144,144,low-power,Original B,accepted,33.512296663984394,8.574401870006268,-6.705903447770851,2065365706.0777233,1839029
YULARA_COMBINED,2017,complete_H144,144,low-power,Expanded A,accepted,16.726384604835726,15.239778341114757,15.184879338451617,514508714.63031715,1839029
YULARA_COMBINED,2017,complete_H144,144,low-power,Expanded B,accepted,7.942380976998807,4.927255402606094,0.16650456554172383,116008552.61964639,1839029
YULARA_COMBINED,2017,complete_H144,144,low-power,Inverted42,accepted,6.0060938200903236,3.3002820930287036,1.24851318270676,66339592.834088564,1839029
YULARA_COMBINED,2017,complete_H144,144,low-power,Inverted43,accepted,5.582587479295849,3.250310111241122,0.9896811877865578,57313859.163985014,1839029
YULARA_COMBINED,2017,complete_H144,144,low-power,Inverted44,accepted,6.151715047821375,3.8163494775363067,2.140254168040062,69595474.24076243,1839029
YULARA_COMBINED,2017,complete_H144,144,low-power,Daily,accepted,2.1951798423085402,0.13827711136682916,0.12690894657727875,8861939.684824642,1839029
YULARA_COMBINED,2017,complete_H144,144,low-power,Last-value,accepted,42.95604131929518,26.07664753000615,26.05233464476884,3393415823.855255,1839029
YULARA_COMBINED,2017,pointwise_finite,144,full,Original A,accepted,119.11471754606998,38.77239377029557,-3.803680133880855,54134441142.10222,3815424
YULARA_COMBINED,2017,pointwise_finite,144,full,Original B,accepted,35.843097366383844,13.647268111902996,-7.354519525463759,4901780628.447934,3815424
YULARA_COMBINED,2017,pointwise_finite,144,full,Expanded A,accepted,29.791475715079965,23.56201471951278,-4.899044557249153,3386310990.03031,3815424
YULARA_COMBINED,2017,pointwise_finite,144,full,Expanded B,accepted,15.85564408286929,11.018875893955494,-3.284608334687751,959203123.2277213,3815424
YULARA_COMBINED,2017,pointwise_finite,144,full,Inverted42,accepted,16.000498049926364,10.305330487172837,-2.595616186460525,976809353.6389822,3815424
YULARA_COMBINED,2017,pointwise_finite,144,full,Inverted43,accepted,15.763754813164729,10.150897382460856,-2.556906198266191,948117471.8530285,3815424
YULARA_COMBINED,2017,pointwise_finite,144,full,Inverted44,accepted,15.718183324932006,10.238527093900194,-1.1517586727179787,942643564.028694,3815424
YULARA_COMBINED,2017,pointwise_finite,144,full,Daily,accepted,16.12741201874661,7.0164566253127765,-0.16957417173099365,992366670.8909152,3815424
YULARA_COMBINED,2017,pointwise_finite,144,full,Last-value,accepted,48.01295656509452,34.59659748799872,-0.004693386527099607,8795483276.28931,3815424
YULARA_COMBINED,2017,pointwise_finite,144,power-active,Original A,accepted,121.19737166836234,43.04850707944285,-8.793885301262934,29030876606.199883,1976395
