block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
0,41472.0,10236112.13408465,1577579.513672575,33515392.7825795,5045573.248668423,4973426.148873683,4435566.645727337,5167144.246106746,4290529.566782471,91785040.27538106,YULARA_COMBINED,2018,complete_H144,144,full,24
1,41472.0,11630364.124608144,252551.89584916361,35329558.502516,3279001.0419239257,6510920.552580045,5567576.95539135,6489252.308715481,50329.58765114126,94524581.57404894,YULARA_COMBINED,2018,complete_H144,144,full,24
2,41472.0,13566250.825038323,414975.27648189536,37260408.19348115,3741801.015222148,5092886.2157675475,4894073.8593854625,5490641.600547356,210560.4473381447,98840504.89720474,YULARA_COMBINED,2018,complete_H144,144,full,24
3,41472.0,10586053.524517976,462419.00884722354,34777630.847738415,2984903.073001428,5650531.45466217,4052307.445536761,4649196.635604458,512058.6586085601,94741465.85573283,YULARA_COMBINED,2018,complete_H144,144,full,24
4,41472.0,17869821.081428047,2398471.2547696773,33907405.826257214,4221650.207717366,8447664.288530856,7738326.152311723,8375335.341441577,2200713.2923339666,91752378.00857651,YULARA_COMBINED,2018,complete_H144,144,full,24
5,41472.0,14253197.739077365,459446.22064829594,35092872.23148105,3728272.037736667,6237170.763382969,5485130.400630325,5988397.991576951,1975038.023936137,94963733.39199407,YULARA_COMBINED,2018,complete_H144,144,full,24
6,41472.0,9461654.18991315,145608.83546807367,33661339.01397687,2759487.9514747034,5308452.714491542,4941896.279410835,5619916.270923775,50598.887070205325,92590422.27483946,YULARA_COMBINED,2018,complete_H144,144,full,24
7,41472.0,13507502.2036433,284736.9072579969,31443525.595024873,2640067.6088096397,8800953.750766529,9166385.895381946,10133004.845780533,329550.325540424,87226601.00143985,YULARA_COMBINED,2018,complete_H144,144,full,24
8,41472.0,11244475.262944316,394212.0937328975,32732447.26414777,3027636.3587795603,5040550.061553004,4553670.252386305,5272996.757314863,278305.7081681327,90490189.17184131,YULARA_COMBINED,2018,complete_H144,144,full,24
9,41472.0,11026982.049221268,3338239.5945315007,33248428.458956227,5411523.679626168,8536549.865085222,7652402.434285547,8682799.381441325,3370549.423796869,87428167.00145972,YULARA_COMBINED,2018,complete_H144,144,full,24
10,41472.0,19650014.398170933,7456268.340314261,30279522.661354292,8068569.471617639,18796699.356150977,16016377.263345802,18108687.43715311,10703548.838258639,75808929.27921057,YULARA_COMBINED,2018,complete_H144,144,full,24
11,41472.0,14002935.057103945,2922300.06443312,31952164.06853868,5751235.777371045,10451117.054675795,9128628.282287613,10465657.086285967,5524502.908274303,84965273.42197202,YULARA_COMBINED,2018,complete_H144,144,full,24
12,41472.0,14378367.515839348,992394.8819655163,32366638.419658072,3611834.904975277,8530843.556868399,8234265.456327479,8999743.996088123,1600430.3167293184,87468530.75294359,YULARA_COMBINED,2018,complete_H144,144,full,24
