site,period,support,horizon,scope,method,RMSE,RMSE_seed_SD,MAE,bias,SSE,points,seed_count
Hanwha,Alice2018Test,Original,12,full,Original A,0.1768113926020671,,0.1081517771854243,-0.0111874717682739,2481.974025029826,79392,0
Hanwha,Alice2018Test,Original,12,full,Original B,0.1214373878689766,,0.0697571407061032,-0.0046737684581896,1170.796933978379,79392,0
Hanwha,Alice2018Test,Original,12,full,Expanded A,0.1768113926020671,,0.1081517771854243,-0.0111874717682739,2481.974025029826,79392,0
Hanwha,Alice2018Test,Original,12,full,Expanded B,0.1214373878689766,,0.0697571407061032,-0.0046737684581896,1170.796933978379,79392,0
Hanwha,Alice2018Test,Original,12,full,Daily,0.1851966516577388,,0.0499581438221991,-0.0045715543670801,2722.9709205496038,79392,0
Hanwha,Alice2018Test,Original,12,full,Last-value,0.4339292434436954,,0.2247218029182162,-0.0092028247449372,14949.083955553531,79392,0
Hanwha,Alice2018Test,Original,12,full,Inverted mean,0.2060954927934684,0.01103952050197044,0.14931161852798494,-0.0131756692437347,3378.6535468470215,79392,3
Hanwha,Alice2018Test,Original,12,low-power,Original A,0.1006184368593845,,0.0667587922189946,0.0205774323276734,435.0414049238713,42971,0
Hanwha,Alice2018Test,Original,12,low-power,Original B,0.0589639451770119,,0.0370354775655289,0.0021180393142,149.39928806792554,42971,0
Hanwha,Alice2018Test,Original,12,low-power,Expanded A,0.1006184368593845,,0.0667587922189946,0.0205774323276734,435.0414049238713,42971,0
Hanwha,Alice2018Test,Original,12,low-power,Expanded B,0.0589639451770119,,0.0370354775655289,0.0021180393142,149.39928806792554,42971,0
Hanwha,Alice2018Test,Original,12,low-power,Daily,0.0015289376569212,,0.0001971414334294,-9.488024417117276e-05,0.1004511735659191,42971,0
Hanwha,Alice2018Test,Original,12,low-power,Last-value,0.1139056266090517,,0.0135737846118128,0.0123785632273346,557.5268859862081,42971,0
Hanwha,Alice2018Test,Original,12,low-power,Inverted mean,0.11838259598517457,0.004200328164213336,0.09251517871005477,0.019015174556077902,602.7198775839307,42971,3
Hanwha,Alice2018Test,Original,12,power-active,Original A,0.2370695855992227,,0.1569889303935308,-0.0486650175222882,2046.9326201059544,36421,0
Hanwha,Alice2018Test,Original,12,power-active,Original B,0.1674640126835216,,0.1083635102954505,-0.0126870237720844,1021.3976459104532,36421,0
Hanwha,Alice2018Test,Original,12,power-active,Expanded A,0.2370695855992227,,0.1569889303935308,-0.0486650175222882,2046.9326201059544,36421,0
Hanwha,Alice2018Test,Original,12,power-active,Expanded B,0.1674640126835216,,0.1083635102954505,-0.0126870237720844,1021.3976459104532,36421,0
Hanwha,Alice2018Test,Original,12,power-active,Daily,0.2734245827033721,,0.1086682295872199,-0.0098533193854904,2722.8704693760374,36421,0
Hanwha,Alice2018Test,Original,12,power-active,Last-value,0.6286051853090959,,0.4738429554028943,-0.0346654375934722,14391.557069567323,36421,0
Hanwha,Alice2018Test,Original,12,power-active,Inverted mean,0.2757662060333311,0.01601288751535452,0.2163224039379484,-0.051155756251827535,2775.9336692630914,36421,3
Hanwha,Alice2018Test,Original,144,full,Original A,0.844085434509359,,0.5713743822713789,-0.1900534266370806,462923.3362295558,649735,0
Hanwha,Alice2018Test,Original,144,full,Original B,0.2480242169977098,,0.1662451237855041,-0.0987809192472361,39969.10619802498,649735,0
Hanwha,Alice2018Test,Original,144,full,Expanded A,0.844085434509359,,0.5713743822713789,-0.1900534266370806,462923.3362295558,649735,0
Hanwha,Alice2018Test,Original,144,full,Expanded B,0.2480242169977098,,0.1662451237855041,-0.0987809192472361,39969.10619802498,649735,0
Hanwha,Alice2018Test,Original,144,full,Daily,0.2030694361600664,,0.053088450850752,-0.0026523253931581,26793.249479624625,649735,0
Hanwha,Alice2018Test,Original,144,full,Last-value,2.559745429211405,,1.7253270461705237,-0.5907905013187654,4257256.471924115,649735,0
Hanwha,Alice2018Test,Original,144,full,Inverted mean,0.8054422735217686,0.02067675459433376,0.5141341599727139,-0.28707935917509714,421692.4876931063,649735,3
Hanwha,Alice2018Test,Original,144,low-power,Original A,0.5131949256651154,,0.3368984908900937,0.117253694115236,95436.24592033356,362367,0
Hanwha,Alice2018Test,Original,144,low-power,Original B,0.1154249414574941,,0.0871627220554701,-0.0194147562468685,4827.785504568213,362367,0
Hanwha,Alice2018Test,Original,144,low-power,Expanded A,0.5131949256651154,,0.3368984908900937,0.117253694115236,95436.24592033356,362367,0
Hanwha,Alice2018Test,Original,144,low-power,Expanded B,0.1154249414574941,,0.0871627220554701,-0.0194147562468685,4827.785504568213,362367,0
Hanwha,Alice2018Test,Original,144,low-power,Daily,0.0016356166999813,,0.000235896789593,-9.997072284097964e-05,0.9694194139214436,362367,0
Hanwha,Alice2018Test,Original,144,low-power,Last-value,1.8043687440055949,,0.8343225689498501,0.8326189289992647,1179775.115281761,362367,0
Hanwha,Alice2018Test,Original,144,low-power,Inverted mean,0.3609151257018393,0.03695025827993482,0.22935208051178488,-0.0096707508346309,47531.658500150166,362367,3
Hanwha,Alice2018Test,Original,144,power-active,Original A,1.1308417677632705,,0.8670451783661499,-0.5775633770339751,367487.09030922217,287368,0
Hanwha,Alice2018Test,Original,144,power-active,Original B,0.3496953335070539,,0.265966918375393,-0.1988605328018218,35141.320693456764,287368,0
Hanwha,Alice2018Test,Original,144,power-active,Expanded A,1.1308417677632705,,0.8670451783661499,-0.5775633770339751,367487.09030922217,287368,0
Hanwha,Alice2018Test,Original,144,power-active,Expanded B,0.3496953335070539,,0.265966918375393,-0.1988605328018218,35141.320693456764,287368,0
Hanwha,Alice2018Test,Original,144,power-active,Daily,0.3053413591480325,,0.1197347770160871,-0.0058708086787669,26792.2800602107,287368,0
Hanwha,Alice2018Test,Original,144,power-active,Last-value,3.272491390245588,,2.848871140840159,-2.385689742139085,3077481.356642357,287368,0
Hanwha,Alice2018Test,Original,144,power-active,Inverted mean,1.1409658958224078,0.018313756865021732,0.8732403505994312,-0.6368877065850724,374160.82919295575,287368,3
Hanwha,Alice2018Test,S1,12,full,Original A,0.177199048204077,,0.1092725552576666,-0.0116850538092271,2554.0041488489187,81339,0
Hanwha,Alice2018Test,S1,12,full,Original B,0.1223493882210563,,0.0711140305614669,-0.0043068551917545,1217.593814021952,81339,0
Hanwha,Alice2018Test,S1,12,full,Expanded A,0.177199048204077,,0.1092725552576666,-0.0116850538092271,2554.0041488489187,81339,0
Hanwha,Alice2018Test,S1,12,full,Expanded B,0.1223493882210563,,0.0711140305614669,-0.0043068551917545,1217.593814021952,81339,0
Hanwha,Alice2018Test,S1,12,full,Daily,0.1829846786172437,,0.0489227871948434,-0.0044827271477595,2723.505671395468,81339,0
Hanwha,Alice2018Test,S1,12,full,Last-value,0.4344693140495156,,0.2268710480083406,-0.0017945667513893,15353.841228167565,81339,0
Hanwha,Alice2018Test,S1,12,full,Inverted mean,0.2056352641203968,0.011381240859069865,0.14927352561376953,-0.012202080261701767,3446.513754132205,81339,3
Hanwha,Alice2018Test,S1,12,low-power,Original A,0.1054495930022025,,0.0700688389900611,0.0178184182702429,493.7220995129238,44401,0
Hanwha,Alice2018Test,S1,12,low-power,Original B,0.0643108852564817,,0.0399456640057674,0.0019557845346196,183.63765022373556,44401,0
Hanwha,Alice2018Test,S1,12,low-power,Expanded A,0.1054495930022025,,0.0700688389900611,0.0178184182702429,493.7220995129238,44401,0
Hanwha,Alice2018Test,S1,12,low-power,Expanded B,0.0643108852564817,,0.0399456640057674,0.0019557845346196,183.63765022373556,44401,0
Hanwha,Alice2018Test,S1,12,low-power,Daily,0.0015584518155926,,0.0002241135150261,-0.0001049630750028,0.1078399083037349,44401,0
Hanwha,Alice2018Test,S1,12,low-power,Last-value,0.1361266121633113,,0.0218291929342963,0.0206393070211677,822.7707119888289,44401,0
Hanwha,Alice2018Test,S1,12,low-power,Inverted mean,0.12058108412169977,0.005362484460289547,0.0940571491400144,0.018519790360631366,646.4327681100666,44401,3
Hanwha,Alice2018Test,S1,12,power-active,Original A,0.2361710447847393,,0.1563970396909861,-0.0471494445125827,2060.282049335995,36938,0
Hanwha,Alice2018Test,S1,12,power-active,Original B,0.1673071012772749,,0.1085796931160074,-0.0118348065288799,1033.9561637982165,36938,0
Hanwha,Alice2018Test,S1,12,power-active,Expanded A,0.2361710447847393,,0.1563970396909861,-0.0471494445125827,2060.282049335995,36938,0
Hanwha,Alice2018Test,S1,12,power-active,Expanded B,0.1673071012772749,,0.1085796931160074,-0.0118348065288799,1033.9561637982165,36938,0
Hanwha,Alice2018Test,S1,12,power-active,Daily,0.27153064745756,,0.1074606021836779,-0.0097449801824248,2723.3978314871647,36938,0
Hanwha,Alice2018Test,S1,12,power-active,Last-value,0.6272087619118298,,0.4733398174907879,-0.0287610086100526,14531.070516178732,36938,0
Hanwha,Alice2018Test,S1,12,power-active,Inverted mean,0.27501226237566095,0.01611572703254143,0.21564588827041567,-0.04913103628266171,2800.0809860221384,36938,3
Hanwha,Alice2018Test,S1,144,full,Original A,0.8353855875248034,,0.5679515258302181,-0.1765539568656624,674467.4359897468,966467,0
Hanwha,Alice2018Test,S1,144,full,Original B,0.2296003637186288,,0.1592266012397701,-0.0826241052390327,50948.590425774186,966467,0
Hanwha,Alice2018Test,S1,144,full,Expanded A,0.8353855875248034,,0.5679515258302181,-0.1765539568656624,674467.4359897468,966467,0
Hanwha,Alice2018Test,S1,144,full,Expanded B,0.2296003637186288,,0.1592266012397701,-0.0826241052390327,50948.590425774186,966467,0
Hanwha,Alice2018Test,S1,144,full,Daily,0.1837697678260572,,0.0489915825184627,-0.0048612282442643,32638.87363954404,966467,0
