site,model,seed,mode,batch_size,origin,reference,max_difference_kW,max_difference_W,RMS_difference_W,passes_original_tolerance,focus_lead_min,focus_prediction_kW,focus_reference_kW
Qcells,Depthwise convolutional TCN,44,original_batch,256,2018-08-19 09:45:00,original frozen prediction,0.0012869834899902344,1.2869834899902344,0.7452708277034243,False,110,4.772085189819336,4.773372173309326
Qcells,Depthwise convolutional TCN,44,mixed_batch,256,2018-08-19 09:45:00,original frozen prediction,0.0012869834899902344,1.2869834899902344,0.7452708277034243,False,110,4.772085189819336,4.773372173309326
Qcells,Depthwise convolutional TCN,44,singleton,1,2018-08-19 09:45:00,original frozen prediction,0.0015229396522045135,1.5229396522045135,1.0246760649581235,False,110,4.772309303283691,4.773372173309326
Qcells,Depthwise convolutional TCN,44,original_last_incomplete,63,2018-08-31 22:55:00,original frozen prediction,0.0,0.0,0.0,True,110,0.0396445207297802,0.0396445207297802
Qcells,Depthwise convolutional TCN,44,mixed_last_incomplete,184,2018-08-31 23:50:00,prior mixed-origin array,0.0,0.0,0.0,True,110,0.023860517889261246,0.023860517889261246
Sanyo,Depthwise convolutional TCN,42,original_batch,256,2018-08-22 13:25:00,original frozen prediction,0.00024771690368652344,0.24771690368652344,0.1403049630959237,False,95,3.9607036113739014,3.960951328277588
Sanyo,Depthwise convolutional TCN,42,mixed_batch,256,2018-08-22 13:25:00,original frozen prediction,0.00024771690368652344,0.24771690368652344,0.1403049630959237,False,95,3.9607036113739014,3.960951328277588
Sanyo,Depthwise convolutional TCN,42,singleton,1,2018-08-22 13:25:00,original frozen prediction,0.0007509291172027588,0.7509291172027588,0.30998368116052294,False,95,3.960754156112671,3.960951328277588
Sanyo,Depthwise convolutional TCN,42,original_last_incomplete,189,2018-08-31 22:55:00,original frozen prediction,1.887977123260498e-05,0.01887977123260498,0.007758807091181259,True,95,-0.04846003279089928,-0.048455171287059784
Sanyo,Depthwise convolutional TCN,42,mixed_last_incomplete,184,2018-08-31 23:50:00,prior mixed-origin array,0.0,0.0,0.0,True,95,0.049226194620132446,0.049226194620132446
Sanyo,Inverted-variate Transformer,43,original_batch,256,2018-08-10 13:00:00,original frozen prediction,2.7805566787719727e-05,0.027805566787719727,0.01464765583437143,False,335,0.15454000234603882,0.1545121967792511
Sanyo,Inverted-variate Transformer,43,mixed_batch,256,2018-08-10 13:00:00,original frozen prediction,2.7805566787719727e-05,0.027805566787719727,0.01464765583437143,False,335,0.15454000234603882,0.1545121967792511
Sanyo,Inverted-variate Transformer,43,singleton,1,2018-08-10 13:00:00,original frozen prediction,2.785027027130127e-05,0.02785027027130127,0.014367240266160843,False,335,0.1545400470495224,0.1545121967792511
Sanyo,Inverted-variate Transformer,43,original_last_incomplete,189,2018-08-31 22:55:00,original frozen prediction,1.0654330253601074e-05,0.010654330253601074,0.0051806011283344845,True,335,0.1428394764661789,0.1428481489419937
Sanyo,Inverted-variate Transformer,43,mixed_last_incomplete,184,2018-08-31 23:50:00,prior mixed-origin array,0.0,0.0,0.0,True,335,0.29740652441978455,0.29740652441978455
Sanyo,Inverted-variate Transformer,44,original_batch,256,2018-08-27 12:50:00,original frozen prediction,3.0055642127990723e-05,0.030055642127990723,0.016718851267765303,False,375,-0.24658267199993134,-0.24661272764205933
Sanyo,Inverted-variate Transformer,44,mixed_batch,256,2018-08-27 12:50:00,original frozen prediction,3.0055642127990723e-05,0.030055642127990723,0.016718851267765303,False,375,-0.24658267199993134,-0.24661272764205933
Sanyo,Inverted-variate Transformer,44,singleton,1,2018-08-27 12:50:00,original frozen prediction,3.1054019927978516e-05,0.031054019927978516,0.016796695623012347,False,375,-0.2465820014476776,-0.24661272764205933
Sanyo,Inverted-variate Transformer,44,original_last_incomplete,189,2018-08-31 22:55:00,original frozen prediction,4.06801700592041e-06,0.00406801700592041,0.0015642464998192177,True,375,-0.038815937936306,-0.03881751745939255
Sanyo,Inverted-variate Transformer,44,mixed_last_incomplete,184,2018-08-31 23:50:00,prior mixed-origin array,0.0,0.0,0.0,True,375,-0.09568917751312256,-0.09568917751312256
Qcells,Inverted-variate Transformer,42,original_batch,256,2018-08-14 05:15:00,original frozen prediction,1.0967254638671875e-05,0.010967254638671875,0.004874630510814848,True,355,3.172109365463257,3.1721203327178955
Qcells,Inverted-variate Transformer,42,mixed_batch,256,2018-08-14 05:15:00,original frozen prediction,1.0967254638671875e-05,0.010967254638671875,0.004874630510814848,True,355,3.172109365463257,3.1721203327178955
Qcells,Inverted-variate Transformer,42,singleton,1,2018-08-14 05:15:00,original frozen prediction,9.775161743164062e-06,0.009775161743164062,0.00458130685222199,True,355,3.1721112728118896,3.1721203327178955
Qcells,Inverted-variate Transformer,42,original_last_incomplete,63,2018-08-31 22:55:00,original frozen prediction,4.857778549194336e-06,0.004857778549194336,0.0019078134280410325,True,355,0.22746145725250244,0.22745731472969055
Qcells,Inverted-variate Transformer,42,mixed_last_incomplete,184,2018-08-31 23:50:00,prior mixed-origin array,0.0,0.0,0.0,True,355,-0.03805888071656227,-0.03805888071656227
