site,period,support,horizon,method,scope,points,full_points,weighted_MSE_delta
NIST_GROUND,2017,complete_H144,144,Inverted mean,full,3158261,3158261,233.37708274743198
NIST_GROUND,2017,complete_H144,144,Inverted mean,power-active,1107575,3158261,-418.95486817814515
NIST_GROUND,2017,complete_H144,144,Inverted mean,low-power,2050686,3158261,652.3319509255751
NIST_GROUND,2017,complete_H144,144,Original B,full,3158261,3158261,-526.357897532136
NIST_GROUND,2017,complete_H144,144,Original B,power-active,1107575,3158261,-651.2741527064719
NIST_GROUND,2017,complete_H144,144,Original B,low-power,2050686,3158261,124.91625517434132
NIST_GROUND,2017,complete_H144,144,Expanded B,full,3158261,3158261,-526.357897532136
NIST_GROUND,2017,complete_H144,144,Expanded B,power-active,1107575,3158261,-651.2741527064719
NIST_GROUND,2017,complete_H144,144,Expanded B,low-power,2050686,3158261,124.91625517434132
NIST_GROUND,2017,pointwise_finite,144,Inverted mean,full,3663144,3663144,221.28596532478477
NIST_GROUND,2017,pointwise_finite,144,Inverted mean,power-active,1318674,3663144,-411.04928184827065
NIST_GROUND,2017,pointwise_finite,144,Inverted mean,low-power,2344470,3663144,632.3352471730494
NIST_GROUND,2017,pointwise_finite,144,Original B,full,3663144,3663144,-528.0862305370836
NIST_GROUND,2017,pointwise_finite,144,Original B,power-active,1318674,3663144,-650.2582009852474
NIST_GROUND,2017,pointwise_finite,144,Original B,low-power,2344470,3663144,122.17197044816479
NIST_GROUND,2017,pointwise_finite,144,Expanded B,full,3663144,3663144,-528.0862305370836
NIST_GROUND,2017,pointwise_finite,144,Expanded B,power-active,1318674,3663144,-650.2582009852474
NIST_GROUND,2017,pointwise_finite,144,Expanded B,low-power,2344470,3663144,122.17197044816479
NIST_GROUND,2018,complete_H144,144,Inverted mean,full,2514247,2514247,-1067.0006135417386
NIST_GROUND,2018,complete_H144,144,Inverted mean,power-active,1196270,2514247,-1241.0303255955753
NIST_GROUND,2018,complete_H144,144,Inverted mean,low-power,1317977,2514247,174.02971205382804
NIST_GROUND,2018,complete_H144,144,Original B,full,2514247,2514247,-912.7949502982947
NIST_GROUND,2018,complete_H144,144,Original B,power-active,1196270,2514247,-1022.1290580652718
NIST_GROUND,2018,complete_H144,144,Original B,low-power,1317977,2514247,109.33410776697107
NIST_GROUND,2018,complete_H144,144,Expanded B,full,2514247,2514247,-912.7949502982947
NIST_GROUND,2018,complete_H144,144,Expanded B,power-active,1196270,2514247,-1022.1290580652718
NIST_GROUND,2018,complete_H144,144,Expanded B,low-power,1317977,2514247,109.33410776697107
NIST_GROUND,2018,pointwise_finite,144,Inverted mean,full,3502466,3502466,-1145.6545967746663
NIST_GROUND,2018,pointwise_finite,144,Inverted mean,power-active,1753131,3502466,-1275.7469832638183
NIST_GROUND,2018,pointwise_finite,144,Inverted mean,low-power,1749335,3502466,130.09238648913416
NIST_GROUND,2018,pointwise_finite,144,Original B,full,3502466,3502466,-941.0780017341555
NIST_GROUND,2018,pointwise_finite,144,Original B,power-active,1753131,3502466,-1041.0893766861527
NIST_GROUND,2018,pointwise_finite,144,Original B,low-power,1749335,3502466,100.01137495198316
NIST_GROUND,2018,pointwise_finite,144,Expanded B,full,3502466,3502466,-941.0780017341555
NIST_GROUND,2018,pointwise_finite,144,Expanded B,power-active,1753131,3502466,-1041.0893766861527
NIST_GROUND,2018,pointwise_finite,144,Expanded B,low-power,1749335,3502466,100.01137495198316
YULARA_COMBINED,2017,complete_H144,144,Inverted mean,full,3815424,3815424,-9.569021525265223
YULARA_COMBINED,2017,complete_H144,144,Inverted mean,power-active,1976395,3815424,-24.129492146998597
YULARA_COMBINED,2017,complete_H144,144,Inverted mean,low-power,1839029,3815424,14.560470621732742
YULARA_COMBINED,2017,complete_H144,144,Original B,full,3815424,3815424,1024.63421039366
YULARA_COMBINED,2017,complete_H144,144,Original B,power-active,1976395,3815424,485.63677094973485
YULARA_COMBINED,2017,complete_H144,144,Original B,low-power,1839029,3815424,538.9974394439251
YULARA_COMBINED,2017,complete_H144,144,Expanded B,full,3815424,3815424,-8.69196913978471
YULARA_COMBINED,2017,complete_H144,144,Expanded B,power-active,1976395,3815424,-36.774460871981184
YULARA_COMBINED,2017,complete_H144,144,Expanded B,low-power,1839029,3815424,28.082491732195887
YULARA_COMBINED,2017,pointwise_finite,144,Inverted mean,full,3815424,3815424,-9.569021525265223
YULARA_COMBINED,2017,pointwise_finite,144,Inverted mean,power-active,1976395,3815424,-24.129492146998597
YULARA_COMBINED,2017,pointwise_finite,144,Inverted mean,low-power,1839029,3815424,14.560470621732742
YULARA_COMBINED,2017,pointwise_finite,144,Original B,full,3815424,3815424,1024.63421039366
YULARA_COMBINED,2017,pointwise_finite,144,Original B,power-active,1976395,3815424,485.63677094973485
YULARA_COMBINED,2017,pointwise_finite,144,Original B,low-power,1839029,3815424,538.9974394439251
YULARA_COMBINED,2017,pointwise_finite,144,Expanded B,full,3815424,3815424,-8.69196913978471
YULARA_COMBINED,2017,pointwise_finite,144,Expanded B,power-active,1976395,3815424,-36.774460871981184
YULARA_COMBINED,2017,pointwise_finite,144,Expanded B,low-power,1839029,3815424,28.082491732195887
YULARA_COMBINED,2018,complete_H144,144,Inverted mean,full,3690097,3690097,101.10782214197403
YULARA_COMBINED,2018,complete_H144,144,Inverted mean,power-active,1595322,3690097,54.225981924826975
YULARA_COMBINED,2018,complete_H144,144,Inverted mean,low-power,2094775,3690097,46.88184021714684
YULARA_COMBINED,2018,complete_H144,144,Original B,full,3690097,3690097,-26.981464601603474
YULARA_COMBINED,2018,complete_H144,144,Original B,power-active,1595322,3690097,-29.43923506739153
YULARA_COMBINED,2018,complete_H144,144,Original B,low-power,2094775,3690097,2.4577704657879393
YULARA_COMBINED,2018,complete_H144,144,Expanded B,full,3690097,3690097,26.04017628269771
YULARA_COMBINED,2018,complete_H144,144,Expanded B,power-active,1595322,3690097,0.8194976047175588
YULARA_COMBINED,2018,complete_H144,144,Expanded B,low-power,2094775,3690097,25.220678677980075
YULARA_COMBINED,2018,pointwise_finite,144,Inverted mean,full,3772226,3772226,100.78622922769401
YULARA_COMBINED,2018,pointwise_finite,144,Inverted mean,power-active,1646503,3772226,54.43383008678087
YULARA_COMBINED,2018,pointwise_finite,144,Inverted mean,low-power,2125723,3772226,46.35239914091302
YULARA_COMBINED,2018,pointwise_finite,144,Original B,full,3772226,3772226,-27.08665209174042
YULARA_COMBINED,2018,pointwise_finite,144,Original B,power-active,1646503,3772226,-29.53120377878416
YULARA_COMBINED,2018,pointwise_finite,144,Original B,low-power,2125723,3772226,2.4445516870437047
YULARA_COMBINED,2018,pointwise_finite,144,Expanded B,full,3772226,3772226,26.01057036432582
YULARA_COMBINED,2018,pointwise_finite,144,Expanded B,power-active,1646503,3772226,1.00676814813028
YULARA_COMBINED,2018,pointwise_finite,144,Expanded B,low-power,2125723,3772226,25.003802216195552
